"","country","ccias.rich","ccias.poor","ccias.fatal","Between.Inequality.Wide","Between.Redistribution","Between.Migration","Between.Fairness","Moralization","Moral.Outrage","Position.Own.Country","General.Trust.Inst","trust.institution","Horizontal.Trust","zero.sum","meritocracy","social.dominance","eco.system.just","identif.country","identif.world","subjective.ses","Pol.Orientation","Age","Gender","Education","Gender_fac"
"37","uk",3,3,1,4,2,5,2,4,3,3,2,45,4,3,4,1,29,5,5,5,6,30,1,15,2
"38","uk",5,2,3,5,3,5,2,5,5,4,5,NA,4,4,4,1,26,5,2,7,9,43,1,11,2
"39","za",4,3,2,4,3,3,3,3,4,3,4,275,3,3,3,1,24,5,3,3,3,23,2,15,1
"40","uk",3,1,3,5,5,5,1,4,4,3,5,325,2,2,3,1,35,6,4,6,3,37,2,12,1
"41","uk",5,2,2,4,2,3,2,4,5,5,4,4,1,3,3,1,21,5,5,6,4,27,1,16,2
"42","za",4,4,3,5,3,4,2,4,4,4,5,325,1,5,2,25,19,6,3,7,11,42,2,14,1
"43","ita",5,2,1,4,5,1,4,3,3,1,4,325,3,3,3,175,19,5,1,6,5,25,1,18,1
"44","za",5,3,1,5,5,5,2,5,4,3,4,3,3,3,3,125,22,7,3,5,6,26,1,17,2
"45","ita",4,2,4,5,4,4,1,5,4,5,4,NA,3,4,4,1,19,2,3,7,6,23,2,18,2
"46","uk",5,3,1,5,1,5,1,5,5,5,5,325,1,4,2,15,22,1,6,6,4,23,2,18,2
"47","za",5,3,2,5,4,5,1,5,4,1,3,3,1,5,2,1,21,5,4,6,7,28,1,12,2
"48","uk",5,3,1,5,3,5,1,4,3,5,4,225,1,4,4,225,13,3,5,7,6,30,1,14,1
"49","ita",5,4,2,4,2,2,1,5,3,2,5,3,1,4,3,1,23,5,3,7,6,37,1,16,2
"50","ita",5,2,2,5,1,5,1,3,3,3,5,35,2,5,4,275,25,5,5,2,4,21,1,16,1
"51","ita",4,2,2,5,4,4,2,5,4,3,4,325,3,5,4,15,25,3,2,7,9,33,2,9,1
"52","uk",4,3,2,5,3,3,3,3,5,3,4,4,4,4,4,175,22,5,4,2,4,30,1,6,1
"53","uk",3,2,3,5,2,4,1,5,4,5,1,325,2,3,3,125,18,2,2,5,6,30,2,19,2
"54","ita",4,2,2,2,3,5,2,5,1,1,5,35,5,3,1,1,15,6,2,7,3,37,2,13,2
"55","za",3,4,2,5,2,4,1,5,3,5,5,425,2,4,4,25,12,3,5,6,6,23,2,11,2
"56","ita",5,3,1,5,4,4,4,4,4,5,5,225,3,4,4,175,21,2,4,4,11,31,1,19,2
"57","ita",5,2,2,5,3,5,3,4,2,2,5,425,2,4,5,15,17,4,2,5,3,21,2,16,1
"58","za",4,1,1,5,3,5,3,4,3,2,4,1,2,3,4,2,26,7,7,5,5,19,2,15,1
"59","za",4,1,2,4,4,3,2,4,5,5,4,325,1,5,4,3,21,4,2,4,1,21,1,15,2
"60","uk",4,1,1,5,5,3,1,4,3,5,4,15,3,3,2,15,22,2,3,3,1,41,2,13,2
"61","ita",5,3,2,5,4,5,1,1,4,2,5,375,1,2,2,2,21,5,1,5,11,28,2,18,2
"62","uk",5,3,1,5,4,4,2,5,5,4,4,NA,3,4,3,1,18,6,2,7,1,22,2,15,1
"63","za",4,3,1,4,3,3,1,4,3,4,4,NA,4,5,4,2,27,2,2,5,4,27,2,16,1
"64","za",4,2,1,5,2,4,1,5,3,5,5,3,2,4,3,2,19,3,4,5,6,40,1,10,2
"65","ita",5,3,1,5,4,3,2,4,2,3,5,35,1,3,2,125,28,2,1,6,8,28,2,16,2
"66","uk",4,1,2,5,4,2,1,5,4,5,5,225,3,2,4,175,24,4,4,3,5,25,2,13,2
"67","ita",4,2,1,5,2,5,1,3,4,4,5,1,3,3,4,1,19,2,2,7,1,24,2,16,2
"68","za",3,3,1,5,5,4,3,5,4,5,5,225,3,3,3,125,29,1,4,6,4,34,1,15,2
"69","za",3,4,4,5,4,1,4,4,5,4,2,3,1,4,2,225,18,5,1,3,4,23,2,15,1
"70","ita",4,3,1,5,4,3,2,3,3,4,4,125,3,5,2,1,14,4,3,6,3,52,2,16,2
"71","za",4,1,2,5,3,4,5,4,3,3,3,175,4,3,3,125,24,1,4,5,4,44,2,15,2
"72","uk",4,2,1,5,5,4,3,1,4,2,5,375,3,3,4,2,18,4,4,3,6,23,2,15,1
"73","ita",4,2,4,5,5,4,1,3,5,3,5,25,1,4,3,125,3,3,1,2,6,54,1,23,1
"74","ita",5,3,2,5,4,5,3,4,3,5,5,1,2,4,2,15,23,5,5,5,3,26,2,18,1
"75","uk",5,2,2,5,1,3,2,4,5,4,5,35,5,4,5,25,18,5,4,4,5,26,2,15,2
"76","ita",5,3,2,5,5,4,1,4,2,1,5,325,2,3,3,175,19,4,4,3,6,28,2,20,1
"77","za",4,5,3,5,2,3,2,5,3,4,2,3,2,4,4,125,28,2,6,4,3,20,2,17,2
"78","ita",5,3,1,5,4,4,2,4,3,3,4,1,3,4,3,175,29,2,2,4,6,20,1,18,1
"79","za",5,4,1,4,4,5,1,4,3,4,4,NA,1,3,3,15,25,2,2,7,2,32,1,17,1
"80","uk",4,3,4,4,3,4,1,3,3,4,4,225,2,2,3,225,22,2,4,6,5,29,2,18,2
"81","uk",5,3,1,5,4,5,1,5,4,4,1,225,3,5,3,225,13,5,2,5,6,29,2,17,1
"82","za",4,1,3,5,5,2,3,4,2,4,4,3,1,3,4,1,37,1,3,7,3,28,1,18,2
"83","za",4,2,1,5,4,5,1,5,3,3,5,35,3,4,4,2,29,7,2,6,4,34,1,15,2
"84","za",5,3,3,5,3,4,1,3,4,5,4,35,1,3,4,1,32,6,2,2,1,21,1,18,2
"85","za",4,3,2,5,3,4,4,3,4,1,1,275,4,4,3,125,39,4,2,4,3,33,2,12,2
"86","za",4,4,2,5,4,4,1,4,5,3,5,325,4,2,4,2,14,6,3,4,7,24,2,17,1
"87","ita",4,4,1,5,4,5,1,5,3,5,5,325,3,2,4,275,33,3,3,5,8,25,2,16,1
"88","za",5,3,2,4,3,4,3,3,4,2,5,3,3,4,3,1,21,5,3,7,4,22,1,16,2
"89","uk",4,2,1,5,5,4,2,5,5,5,3,275,1,4,3,125,11,5,3,7,4,44,2,15,1
"90","za",3,2,1,4,3,4,2,4,2,3,4,3,4,3,5,275,16,2,2,8,7,51,2,11,1
"91","ita",3,2,4,5,4,4,2,3,5,5,5,25,3,3,3,225,26,2,3,5,11,22,1,18,1
"92","za",5,3,1,5,5,5,4,4,2,1,4,1,3,2,2,275,24,5,4,6,7,32,2,20,2
"93","uk",4,2,2,5,1,5,1,5,5,5,5,3,1,3,3,175,2,4,4,5,1,27,1,18,2
"94","za",5,2,2,3,5,3,3,3,4,3,4,5,3,1,3,225,19,5,5,6,6,27,2,15,2
"95","za",3,5,3,5,5,4,1,5,4,5,4,4,2,4,3,225,4,7,6,3,3,26,1,14,3
"96","za",5,1,2,5,3,3,2,4,3,3,5,325,3,5,2,1,28,5,3,7,6,28,2,15,1
"97","uk",5,2,3,5,5,3,5,3,2,4,4,175,4,4,3,175,27,1,4,5,1,24,2,16,1
"98","ita",5,3,4,4,4,4,5,5,4,5,4,475,3,4,3,275,21,7,2,7,5,23,1,11,2
"99","ita",5,4,2,5,3,4,2,4,4,3,4,375,2,2,4,1,22,5,4,7,7,48,3,12,2
"100","za",4,3,2,5,5,5,1,5,2,1,5,275,4,4,2,1,32,2,5,5,7,33,1,18,2
"101","ita",4,1,3,5,1,5,3,5,3,3,3,45,4,4,3,225,34,4,4,3,6,30,2,20,1
"102","uk",4,2,2,4,5,4,1,4,4,5,5,375,4,4,4,1,12,4,2,7,6,37,2,11,1
"103","uk",4,4,3,5,1,5,1,4,4,4,4,3,3,4,2,175,2,4,6,4,7,28,1,18,2
"104","za",5,3,2,5,3,3,3,5,2,5,3,1,4,4,3,1,25,5,5,7,4,22,1,19,2
"105","uk",4,2,3,5,4,3,3,4,4,4,4,3,4,3,2,1,15,4,4,3,4,37,1,20,1
"106","uk",4,2,2,4,5,3,4,4,4,3,4,2,1,5,2,1,17,4,3,6,4,24,1,15,1
"107","uk",5,2,3,4,4,4,2,5,4,4,5,1,2,2,4,2,2,4,3,7,6,23,2,22,2
"108","ita",5,1,1,5,4,2,4,5,4,2,4,15,4,3,3,2,21,2,4,4,7,38,2,15,1
"109","uk",5,1,1,5,2,5,2,4,5,4,3,275,3,5,3,225,32,1,3,3,9,21,2,14,2
"110","za",5,3,1,4,1,4,2,4,5,2,5,45,3,2,2,1,24,4,5,7,6,37,2,16,2
"111","ita",4,3,1,5,3,4,3,4,3,5,3,NA,2,5,4,125,1,3,3,6,9,23,1,18,1
"112","ita",5,1,1,4,5,4,3,4,5,3,5,1,2,3,3,125,16,7,2,4,6,21,1,21,1
"113","za",4,4,3,5,3,5,1,5,4,4,1,NA,3,5,4,15,3,4,3,6,3,41,2,11,1
"114","za",4,3,1,5,4,3,2,5,5,3,5,3,3,4,3,125,26,4,2,4,5,24,1,18,1
"115","za",4,3,3,4,4,5,2,4,4,4,5,3,4,4,2,275,21,4,4,3,6,21,2,20,2
"116","uk",4,4,1,4,1,5,4,4,3,4,5,3,2,5,4,1,22,2,2,5,6,33,1,18,2
"117","ita",5,4,4,4,3,1,1,3,3,5,2,175,1,4,1,2,27,5,5,6,6,64,1,15,2
"118","za",5,2,2,4,1,3,1,3,4,3,4,275,4,4,3,125,32,5,2,5,5,23,1,18,2
"119","uk",4,3,3,5,4,5,2,4,3,3,4,4,1,5,5,2,3,5,3,4,6,22,1,14,2
"120","za",5,2,3,5,3,5,1,4,3,2,4,275,1,3,4,225,21,2,6,4,3,64,2,18,1
"121","za",3,2,1,5,5,3,2,4,5,2,4,1,2,3,4,1,17,3,5,5,4,37,3,20,1
"122","uk",4,4,2,5,5,5,2,4,5,1,5,1,3,4,1,1,19,5,2,7,6,21,1,15,1
"123","uk",5,2,1,5,4,5,2,3,3,3,5,3,1,5,3,35,28,3,4,5,4,22,1,18,2
"124","ita",5,2,1,5,3,5,2,5,2,3,4,325,2,3,3,2,22,5,5,3,2,35,2,14,2
"125","za",5,2,3,5,3,3,2,5,5,2,5,3,3,5,3,2,17,4,1,5,6,32,2,18,1
"126","za",5,1,2,5,4,5,1,4,4,4,5,175,2,2,4,225,26,5,4,6,8,23,2,13,2
"127","za",5,1,2,5,5,1,1,3,4,4,4,35,4,4,3,15,13,6,3,7,1,36,2,16,2
"128","za",3,3,1,4,4,4,2,4,1,5,5,NA,1,5,4,15,15,2,4,2,9,27,2,16,1
"129","za",5,4,1,5,3,5,1,4,1,3,1,35,4,4,3,1,3,3,4,7,1,24,1,15,1
"130","za",4,2,2,5,5,5,3,5,3,2,5,NA,4,3,3,2,13,3,4,4,4,41,2,18,1
"131","za",3,2,1,3,2,4,3,4,5,3,4,5,2,5,1,1,28,7,6,6,7,26,2,12,1
"132","za",2,3,4,4,3,3,1,1,4,1,4,4,1,3,4,1,19,6,6,7,3,22,1,18,2
"133","uk",5,1,1,5,2,2,1,3,2,5,1,35,1,4,4,2,27,3,3,6,4,38,1,12,1
"134","uk",5,2,2,5,3,4,1,5,4,5,4,25,3,5,3,3,24,7,5,6,8,33,2,22,2
"135","za",3,2,3,5,4,3,3,5,4,1,4,NA,3,3,3,15,22,3,3,4,4,23,1,18,1
"136","uk",4,2,2,5,3,5,1,4,4,1,5,4,4,3,4,175,23,4,3,6,8,39,1,18,2
"137","ita",4,3,2,5,2,4,2,4,3,4,5,4,3,3,3,1,24,2,5,4,6,63,1,12,2
"138","ita",3,1,2,4,2,4,1,4,5,3,3,3,4,5,4,2,27,3,5,3,4,23,1,16,2
"139","uk",4,1,2,4,3,2,1,2,3,5,3,1,3,2,3,125,27,5,5,7,1,33,2,14,1
"140","za",4,3,4,5,5,3,1,4,3,5,4,425,1,4,4,1,23,6,4,6,7,28,2,16,1
"141","ita",5,3,3,5,5,4,3,4,3,1,5,325,3,5,3,15,26,2,1,6,8,23,2,15,1
"142","uk",4,3,2,5,3,4,2,4,3,5,1,NA,3,4,3,1,24,2,4,6,6,24,2,13,1
"143","za",4,1,3,5,2,5,1,3,2,3,5,325,3,3,4,175,25,4,4,6,8,33,2,17,2
"144","ita",5,3,3,5,4,5,1,2,3,3,3,1,1,5,3,275,28,4,3,7,4,26,1,15,1
"145","ita",4,2,3,5,3,4,5,4,5,3,5,325,3,4,4,1,22,3,3,4,8,34,1,15,1
"146","uk",4,3,1,5,4,5,1,4,4,5,5,125,3,5,3,175,35,4,2,7,7,22,2,17,2
"147","za",4,3,1,5,1,4,2,5,3,3,5,NA,3,2,5,1,19,7,4,6,6,65,1,16,1
"148","za",5,2,1,5,2,5,2,5,2,3,4,45,4,4,2,125,41,7,3,4,4,26,2,16,2
"149","ita",3,1,1,5,3,2,1,5,3,5,5,325,2,3,3,175,28,7,3,3,6,35,2,18,1
"150","ita",4,3,1,4,4,5,1,5,4,3,5,225,5,2,3,225,3,6,3,2,5,63,2,19,2
"151","za",3,2,3,5,4,4,1,3,4,4,4,15,3,3,3,275,3,5,3,7,7,47,1,17,2
"152","ita",4,1,2,5,3,5,2,3,2,3,3,375,2,2,4,1,27,5,2,5,1,22,2,23,1
"153","za",3,2,2,5,2,5,3,5,4,4,3,45,3,2,4,125,12,7,3,1,6,33,2,17,1
"154","uk",4,4,2,5,5,4,1,5,3,4,4,275,2,3,3,3,3,4,6,5,7,40,2,16,1
"155","ita",5,2,2,5,4,4,2,4,4,3,5,NA,2,3,3,125,14,4,5,7,3,24,1,16,1
"156","ita",5,1,4,5,4,3,2,3,4,5,4,35,3,3,3,1,26,4,4,3,3,33,1,16,1
"157","ita",4,2,1,5,1,4,2,4,5,4,2,325,4,3,3,15,17,6,5,5,3,30,2,15,1
"158","za",4,1,1,4,4,3,2,4,2,5,3,4,2,5,2,225,26,4,2,7,6,26,2,12,1
"159","uk",2,2,1,5,4,5,1,5,2,2,4,35,2,2,4,1,33,5,3,3,3,20,2,16,1
"160","uk",4,3,2,4,2,1,4,5,4,4,4,25,2,3,3,1,28,5,4,2,4,47,1,19,1
"161","ita",4,3,2,5,4,4,1,5,4,3,4,1,3,3,2,25,12,2,2,3,6,22,1,20,1
"162","za",5,1,2,4,4,5,2,3,3,2,4,275,3,4,3,225,27,4,2,6,9,61,2,18,2
"163","ita",4,2,2,5,5,5,2,4,4,4,4,275,3,3,3,175,15,6,2,7,3,42,1,14,2
"164","uk",4,1,3,5,4,5,3,3,3,5,4,3,2,3,4,1,26,5,3,7,6,28,2,19,1
"165","za",4,3,2,4,1,4,2,3,4,3,5,325,2,4,4,1,42,4,3,6,3,57,2,20,2
"166","uk",5,2,1,3,4,5,1,5,1,1,5,425,2,3,3,125,21,4,1,8,8,27,2,16,2
"167","uk",5,3,3,4,2,3,2,4,4,2,4,175,1,2,3,1,29,2,1,4,10,35,2,20,2
"168","ita",5,3,3,5,5,4,2,4,4,2,4,325,2,4,3,1,21,7,3,7,4,40,1,14,1
"169","uk",5,2,2,5,4,3,2,5,3,4,4,175,4,2,3,1,18,3,4,6,4,28,1,17,1
"170","ita",5,4,1,4,4,5,2,4,4,3,3,45,4,4,4,175,16,6,2,6,2,22,2,19,2
"171","ita",5,5,1,4,5,5,3,4,4,1,5,2,1,5,4,175,18,3,7,4,7,31,1,19,2
"172","ita",4,2,2,4,5,4,3,4,3,5,5,1,4,4,3,1,26,1,2,5,6,22,1,17,1
"173","ita",4,2,1,5,5,4,1,3,3,3,5,325,3,4,3,1,24,3,4,7,8,36,1,15,2
"174","ita",4,2,1,4,5,4,1,4,3,2,5,NA,1,4,2,25,3,6,3,7,4,26,1,8,2
"175","uk",5,2,3,4,3,4,5,4,2,4,5,NA,3,5,2,1,18,7,5,5,5,42,2,12,2
"176","uk",5,2,1,4,4,3,1,4,3,4,1,425,2,3,4,1,23,6,7,5,2,27,2,15,1
"177","uk",4,3,2,5,5,5,2,4,4,4,4,325,2,4,4,125,2,3,7,6,9,27,1,19,2
"178","za",5,1,2,5,1,5,1,5,4,4,5,NA,2,5,3,175,21,6,3,5,1,31,2,18,1
"179","za",5,3,3,4,5,4,1,4,4,5,5,2,4,3,3,15,3,6,4,4,4,31,1,18,1
"180","uk",4,1,2,5,5,5,2,3,3,5,4,NA,2,3,4,225,31,3,3,5,1,24,2,18,1
"181","uk",4,3,2,4,5,5,2,5,4,3,3,35,4,3,3,25,23,4,1,6,3,25,1,15,1
"182","za",3,3,1,5,2,5,1,4,5,3,5,25,2,4,3,1,17,5,4,4,1,28,2,18,1
"183","za",3,2,3,5,5,5,1,3,3,3,3,3,3,4,5,1,25,4,3,3,2,31,2,14,2
"184","uk",5,2,3,5,2,5,1,4,4,3,5,325,1,5,2,125,16,3,3,4,3,26,2,12,1
"185","ita",4,2,2,4,3,4,2,4,4,5,4,NA,3,3,4,1,28,3,6,7,4,20,1,16,2
"186","za",3,4,1,4,4,5,3,5,4,1,5,3,2,3,3,225,27,3,3,7,5,23,1,16,2
"187","ita",4,3,3,5,3,5,3,5,3,3,4,NA,3,4,3,1,33,2,5,4,2,54,2,4,2
"188","ita",5,1,2,5,2,4,1,5,4,2,3,325,3,1,4,175,22,4,1,5,4,57,1,17,1
"189","za",5,2,2,5,2,5,1,3,3,3,4,4,4,4,2,1,21,5,4,4,4,27,2,16,1
"190","ita",5,1,2,4,4,5,2,5,4,5,5,225,1,1,3,225,24,5,5,4,6,22,1,16,1
"191","za",5,1,2,5,1,5,1,5,3,3,5,NA,1,4,4,1,2,2,4,7,5,23,1,11,1
"192","uk",5,3,1,5,5,5,3,5,5,4,4,325,1,2,4,225,31,5,3,7,7,22,1,19,1
"193","za",3,3,2,5,1,5,1,5,4,3,5,375,2,3,3,1,21,5,2,7,4,31,2,18,2
"194","uk",5,3,3,5,4,2,2,5,2,5,5,375,1,4,1,1,18,4,5,3,3,21,1,13,1
"195","ita",5,3,2,5,5,5,2,4,4,3,5,375,1,5,3,125,26,5,5,5,6,23,1,6,1
"196","uk",4,3,1,4,2,5,1,5,1,3,3,325,2,3,2,275,28,5,4,5,2,30,1,18,1
"197","uk",3,3,2,4,5,5,1,5,5,3,3,175,4,5,3,2,24,5,5,7,7,75,1,18,1
"198","za",3,2,4,5,1,4,1,4,2,2,4,25,3,4,1,1,25,6,4,7,3,22,1,21,2
"199","za",5,4,1,5,2,5,3,3,5,3,3,NA,3,3,4,15,14,5,7,6,6,24,2,19,1
"200","uk",4,4,3,4,4,3,5,5,2,2,5,2,1,3,3,225,16,3,2,4,3,45,1,17,1
"201","ita",4,1,2,5,3,5,3,5,2,5,3,45,1,4,1,15,29,7,3,6,4,28,1,18,1
"202","ita",4,1,1,5,4,5,2,5,4,4,5,375,3,5,4,125,17,6,2,5,4,20,2,16,1
"203","uk",4,3,2,5,3,3,1,3,5,1,4,NA,2,4,2,1,28,4,2,7,3,25,1,13,1
"204","uk",4,2,2,4,4,5,3,4,3,2,4,3,3,4,4,15,17,4,4,5,2,26,1,12,1
"205","uk",2,3,1,4,4,5,3,3,5,5,4,45,3,4,4,2,27,5,3,5,5,63,2,12,2
"206","ita",5,3,1,4,1,5,1,5,4,4,4,375,4,4,3,125,29,1,2,7,2,32,1,13,1
"207","ita",5,1,4,5,1,5,2,5,5,5,3,NA,3,4,4,125,29,7,2,5,4,22,1,15,1
"208","uk",4,3,1,4,1,5,1,5,4,5,5,2,4,5,3,1,2,4,5,5,8,38,2,14,1
"209","uk",5,3,3,4,4,5,1,5,5,5,1,275,1,2,3,15,23,2,2,5,8,32,1,13,1
"210","za",4,3,4,5,4,4,3,5,4,2,3,3,2,4,3,125,29,2,4,4,8,55,1,18,2
"211","uk",3,3,2,5,1,5,2,4,4,4,5,375,3,3,3,15,33,7,5,4,1,23,2,17,2
"212","za",4,1,2,5,3,4,1,5,4,5,5,325,2,2,3,1,22,4,2,5,4,42,2,19,1
"213","uk",4,2,3,5,3,3,2,5,3,3,3,NA,2,5,3,1,27,5,2,8,5,28,1,14,1
"214","za",5,2,1,5,4,5,2,5,3,1,5,4,4,3,4,1,15,5,5,7,5,22,1,17,2
"215","za",5,2,1,5,4,5,1,1,5,1,4,35,1,3,4,225,26,3,4,4,4,29,1,16,2
"216","uk",5,2,1,5,5,3,1,4,3,4,4,275,2,4,4,275,37,7,2,6,6,24,1,25,2
"217","ita",3,3,2,5,2,4,2,3,3,5,3,25,3,3,4,125,33,6,6,6,5,53,1,24,1
"218","uk",4,1,1,5,3,3,1,4,4,3,5,275,2,3,3,275,25,4,3,7,4,52,2,17,2
"219","za",4,3,2,5,1,4,2,5,5,2,5,45,2,2,4,1,16,3,2,4,9,30,1,24,1
"220","ita",5,3,3,5,4,5,2,5,5,1,4,325,2,3,2,1,33,7,4,7,5,30,2,18,1
"221","za",5,1,1,3,1,5,2,5,4,3,3,325,2,4,3,225,26,7,2,6,4,34,1,15,2
"222","za",4,3,2,5,5,5,1,4,5,5,4,25,2,3,3,125,18,6,5,4,7,36,1,19,1
"223","ita",5,3,1,5,2,4,2,5,5,5,5,4,3,5,4,15,32,7,6,5,7,31,2,16,1
"224","uk",4,1,2,4,4,5,2,3,1,4,4,NA,2,2,3,175,32,3,4,6,2,25,2,18,1
"225","za",4,2,1,4,1,2,2,4,4,4,3,25,3,5,3,15,14,2,3,6,6,33,1,16,2
"226","za",5,3,1,5,5,1,2,5,4,3,4,125,1,4,5,1,21,4,4,5,4,30,2,16,1
"227","uk",4,2,3,5,1,5,1,3,4,4,5,375,1,4,3,2,16,4,5,6,8,25,1,16,2
"228","za",5,3,3,5,2,5,1,2,3,4,5,1,3,4,3,1,21,4,4,7,5,24,2,15,1
"229","uk",4,2,2,4,4,2,1,3,4,3,3,1,4,2,4,15,18,5,6,7,6,31,1,21,1
"230","ita",3,2,2,5,5,4,1,5,3,1,4,NA,3,4,4,125,23,2,2,5,6,26,2,16,2
"231","uk",4,4,4,5,5,5,2,5,4,1,5,425,3,2,3,1,23,5,3,2,4,28,1,16,2
"232","ita",3,1,3,5,4,5,3,4,4,3,5,25,3,4,4,15,16,5,4,6,4,23,1,14,1
"233","uk",4,2,1,4,4,3,2,4,5,5,3,NA,1,2,3,1,17,5,7,4,6,21,2,15,1
"234","za",3,2,1,5,4,5,1,5,4,2,3,25,3,3,3,3,25,5,4,4,4,24,2,17,2
"235","uk",5,2,2,5,5,5,3,4,4,2,5,425,3,3,4,275,19,2,5,1,4,22,1,11,2
"236","za",4,2,2,5,4,4,2,4,4,4,5,375,2,5,4,2,27,6,5,6,7,30,1,18,1
"237","ita",2,3,2,5,4,5,2,5,3,5,4,3,3,5,2,1,15,3,4,4,4,36,1,20,2
"238","uk",2,2,1,4,4,5,1,4,1,5,5,4,1,4,3,1,27,1,4,7,3,24,2,15,2
"239","ita",5,4,1,5,5,4,1,4,3,3,4,2,3,4,4,125,24,4,4,7,1,38,2,15,2
"240","ita",5,1,3,5,4,2,1,4,3,5,5,325,3,4,3,1,41,4,2,7,6,47,1,17,2
"241","uk",5,2,2,4,1,5,2,4,5,5,4,3,4,3,2,175,21,4,2,4,6,28,2,15,1
"242","uk",4,1,3,5,2,4,1,4,4,3,5,35,2,2,2,1,15,3,5,7,6,21,2,17,2
"243","uk",5,2,3,4,5,4,1,3,2,1,4,4,3,5,3,15,25,3,4,8,11,20,1,15,2
"244","ita",5,3,3,5,5,4,1,5,3,1,2,325,3,3,4,2,22,7,4,6,8,24,2,19,1
