"country","ccias.rich","ccias.poor","ccias.fatal","Between.Inequality.Wide","Between.Redistribution","Between.Migration","Between.Fairness","Moralization","Moral.Outrage","Position.Own.Country","General.Trust.Inst","trust.institution","Horizontal.Trust","zero.sum","meritocracy","social.dominance","eco.system.just","identif.country","identif.world","subjective.ses","Pol.Orientation","Age","Gender","Education","Gender_fac"
"za",5,3,3,5,4,5,2,4,3,2,5,225,3,4,3,125,17,5,2,5,6,28,1,12,1
"za",5,2,4,4,4,5,2,5,4,3,5,1,2,4,3,15,29,6,2,3,6,33,1,14,1
"za",5,2,1,5,2,4,2,4,3,4,4,325,1,4,4,1,3,7,1,4,4,24,2,19,2
"uk",4,2,1,5,3,4,3,5,4,5,4,325,4,4,3,25,21,6,6,6,5,22,1,20,1
"uk",3,2,2,5,4,4,2,4,4,4,3,3,4,3,3,1,23,3,4,6,4,33,2,14,2
"za",4,3,2,5,2,4,1,5,3,3,5,NA,3,4,4,125,22,7,5,6,6,24,2,20,2
"uk",5,3,3,5,3,3,1,4,3,3,4,2,3,4,4,15,28,3,2,4,6,60,1,8,1
"uk",4,2,1,5,4,4,1,5,4,3,4,45,3,3,3,1,25,5,3,3,4,63,1,14,1
"za",3,4,1,5,3,5,2,5,4,3,3,2,1,4,4,1,21,7,2,4,6,26,2,16,2
"uk",4,3,1,5,2,4,3,4,1,5,5,5,4,4,4,1,25,2,1,6,4,40,1,15,1
"ita",4,2,2,5,4,4,2,4,4,4,5,375,2,3,3,225,21,5,3,8,6,34,2,15,2
"uk",4,3,3,5,5,5,1,3,4,3,4,325,3,3,4,225,26,6,5,7,6,48,2,15,2
"uk",4,4,3,5,5,4,3,4,5,5,5,325,2,4,4,15,27,3,1,6,5,41,2,18,2
"ita",5,1,2,5,5,5,1,5,3,3,5,25,1,5,3,1,2,1,2,4,3,23,2,15,2
"ita",4,2,2,5,5,4,2,4,5,4,4,375,4,3,2,225,17,4,7,7,1,23,2,17,2
"uk",4,3,2,4,3,3,2,4,3,5,3,2,3,3,4,225,26,2,5,7,4,24,1,16,1
"ita",5,2,1,5,3,5,1,5,4,5,4,NA,1,4,4,125,3,3,5,4,1,21,1,16,1
"uk",5,1,1,5,5,5,1,4,5,5,5,225,3,4,3,1,1,3,5,3,4,28,1,16,1
"za",5,2,2,5,3,4,1,5,4,1,5,35,1,5,2,1,22,2,2,3,3,20,2,18,2
"ita",4,2,2,5,4,4,2,3,3,4,3,35,3,3,4,1,35,7,6,6,7,22,2,17,2
"ita",4,1,3,5,5,5,1,5,4,4,5,NA,3,5,4,15,2,4,4,5,4,19,2,15,2
"ita",3,3,2,4,3,5,2,4,3,5,5,325,2,2,5,15,28,3,2,7,6,45,1,12,1
"za",4,3,2,4,1,3,2,3,4,3,4,2,3,1,3,275,33,6,4,8,8,55,1,12,1
"ita",4,1,2,5,2,3,2,5,3,3,5,225,3,3,3,1,2,5,5,5,3,27,2,20,2
"za",4,3,1,5,5,5,2,4,4,3,3,225,2,4,3,175,14,4,4,3,1,26,1,9,1
"uk",4,2,3,4,5,5,1,5,4,4,5,475,5,5,2,1,26,4,2,6,6,38,1,11,1
"uk",3,2,2,5,4,5,3,4,3,5,5,NA,4,2,4,1,16,6,5,7,5,43,1,14,1
"za",5,2,2,5,3,5,2,4,4,2,4,3,1,4,3,125,21,2,3,3,4,23,2,16,2
"ita",5,1,1,5,3,4,2,4,4,3,4,3,3,5,2,1,24,5,6,7,1,22,2,17,2
"ita",5,2,3,5,3,5,1,4,3,5,4,325,3,2,3,2,23,6,3,5,4,19,1,22,1
"uk",3,4,3,4,5,4,2,3,3,4,4,3,3,4,4,225,35,5,3,7,10,55,2,17,2
"ita",3,3,1,5,4,4,1,4,3,5,5,175,3,4,2,25,21,2,2,5,1,28,1,15,1
"uk",4,1,1,5,5,5,2,5,4,5,4,375,3,3,3,1,1,7,4,5,3,30,2,20,2
"uk",4,2,1,5,3,3,3,5,4,5,5,175,3,3,3,325,1,3,2,6,4,35,2,15,2
"uk",3,3,1,5,3,4,3,5,4,5,5,325,2,4,4,2,12,2,2,3,4,32,1,15,1
"ita",4,4,4,4,1,4,4,3,3,5,4,1,4,3,4,1,24,3,3,7,6,30,1,15,1
"uk",4,2,1,5,3,5,2,3,2,4,5,35,3,4,3,125,24,3,6,6,2,67,2,14,2
"za",4,2,1,5,4,4,2,5,4,3,4,4,3,4,3,3,25,4,1,5,4,47,2,16,2
"uk",3,4,2,4,5,3,3,4,2,5,4,45,3,1,4,325,34,5,4,5,7,57,1,19,1
"za",3,3,1,5,4,5,1,5,3,3,4,325,4,3,4,1,11,2,5,6,4,35,2,16,2
"uk",4,3,2,4,5,5,2,4,4,3,4,325,3,4,3,25,17,7,3,2,5,23,2,15,2
"za",5,2,3,5,5,5,1,5,5,3,5,NA,1,5,2,1,14,2,2,3,3,24,2,12,2
"ita",4,2,2,5,2,4,2,5,2,3,5,325,4,3,3,15,22,4,2,6,1,39,2,14,2
"uk",4,2,1,4,3,3,2,5,3,4,4,375,3,4,3,1,2,5,4,6,1,25,2,22,2
"ita",4,1,1,4,3,5,1,5,4,3,4,NA,4,4,3,15,21,5,2,7,1,19,1,16,1
"za",5,3,1,5,3,5,3,4,5,3,5,35,1,4,4,1,23,5,5,5,9,25,1,18,1
"uk",5,2,2,5,3,3,1,4,3,4,2,1,2,4,3,1,16,4,2,3,2,26,1,19,1
"za",5,2,1,5,4,5,2,4,3,3,4,1,4,4,3,3,24,5,2,3,3,40,2,16,2
"za",5,3,3,5,4,5,2,4,4,3,3,25,2,4,2,1,26,7,4,3,3,24,2,17,2
"ita",4,2,3,5,5,5,2,4,3,3,4,275,5,2,3,15,17,3,4,7,1,21,1,18,1
"za",4,2,3,5,4,5,1,5,3,3,5,275,1,2,4,1,18,4,2,4,8,23,2,15,2
"ita",5,2,3,5,5,5,3,4,4,5,4,NA,1,4,3,2,19,7,3,5,3,25,2,14,2
"za",4,3,3,5,4,5,3,4,3,3,5,1,2,5,3,1,16,3,2,4,7,34,2,16,2
"uk",3,3,2,5,4,4,3,5,4,4,3,275,3,2,3,275,29,5,4,6,7,59,2,13,2
"uk",4,2,1,5,4,3,1,5,4,4,3,175,1,4,3,15,27,4,4,4,2,32,1,25,1
"ita",5,2,3,5,3,4,1,4,4,4,4,325,4,4,4,175,24,2,5,6,3,38,2,16,2
"ita",4,3,1,4,3,4,2,4,4,5,3,3,2,2,3,175,2,5,6,7,1,28,1,18,1
"uk",4,3,3,5,4,3,1,4,3,5,5,275,2,3,3,175,26,5,3,5,2,24,1,16,1
"ita",5,2,1,5,4,2,1,5,5,4,3,NA,3,5,2,125,16,2,3,7,6,26,2,13,2
"za",5,3,3,4,3,5,3,4,3,3,5,35,4,4,5,25,27,7,2,4,7,36,1,14,1
"uk",4,3,2,4,4,4,2,5,4,5,5,375,4,5,3,1,28,4,3,5,3,59,1,17,1
"uk",3,2,1,5,5,5,3,5,3,5,5,3,3,3,3,3,25,4,3,5,8,66,1,17,1
"za",5,3,2,4,5,5,2,4,4,4,5,25,1,4,3,1,21,2,4,5,6,22,2,17,2
"ita",4,3,1,4,2,3,2,5,3,4,4,NA,3,3,4,3,23,4,2,6,5,21,1,18,1
"za",5,3,1,5,3,5,1,5,5,3,5,35,1,4,3,1,2,7,2,3,6,26,2,17,2
"ita",5,1,1,4,2,4,1,5,4,5,3,325,4,5,1,35,16,4,5,7,1,39,1,17,1
"uk",5,2,3,5,3,4,2,5,4,4,5,1,1,5,3,1,18,3,2,4,6,24,2,16,2
"uk",4,2,2,4,3,4,2,4,3,4,5,475,3,3,3,1,3,6,4,7,2,56,1,18,1
"za",4,2,2,5,4,5,1,4,4,2,5,NA,2,4,3,1,17,5,6,5,4,24,1,18,1
"za",5,3,3,5,4,4,1,5,3,5,5,3,2,4,4,225,19,4,4,5,10,23,2,21,2
"ita",5,1,1,5,5,5,1,4,4,2,4,325,2,3,2,175,2,3,2,4,1,23,2,14,2
"za",5,3,1,5,3,5,1,3,5,2,4,4,1,4,4,1,24,4,3,5,2,20,2,15,2
"za",5,3,1,4,4,4,2,4,5,2,5,325,2,4,4,15,23,2,3,4,4,22,2,16,2
"uk",4,4,1,4,3,3,2,3,3,3,3,25,3,4,4,2,28,3,7,6,3,23,1,17,1
"za",3,3,1,4,3,4,3,4,3,3,3,325,2,2,5,2,29,6,3,6,4,24,1,10,1
"za",5,3,1,5,4,5,3,3,5,3,5,3,2,5,3,1,27,6,4,7,6,23,2,16,2
"za",5,3,3,5,4,5,2,5,4,3,5,3,3,4,4,15,24,4,2,3,4,20,1,18,1
"ita",4,3,2,4,3,3,3,4,3,5,5,25,3,3,3,225,32,7,4,6,6,27,2,16,2
"uk",3,2,2,5,2,5,2,4,1,3,4,25,4,2,3,1,23,4,5,4,4,54,1,15,1
"uk",4,3,4,5,5,5,2,4,4,5,4,325,1,3,3,225,25,3,1,2,7,54,2,17,2
"ita",5,1,2,5,3,5,1,5,5,3,4,NA,2,3,2,1,15,2,5,7,3,19,2,21,2
"ita",3,1,3,5,2,3,2,3,2,3,2,15,3,2,3,175,2,6,4,7,5,26,2,18,2
"za",4,2,1,5,4,5,1,5,3,4,5,425,1,4,2,1,2,7,3,5,5,24,2,18,2
"uk",5,1,1,5,4,5,2,4,3,3,1,1,3,2,3,1,17,2,1,2,5,51,2,13,2
"uk",5,2,2,5,4,4,1,5,5,4,5,35,3,4,3,125,21,2,4,7,3,48,2,18,2
"uk",4,2,2,4,3,4,1,4,2,4,5,NA,3,4,4,125,22,2,2,6,2,34,2,16,2
"za",3,3,2,4,2,3,2,3,3,3,3,325,2,3,4,175,22,2,2,6,6,30,1,15,1
"uk",5,3,1,3,4,5,3,5,4,3,4,4,2,5,3,2,27,5,4,6,4,57,1,16,1
"za",5,3,2,5,2,4,2,4,3,2,4,425,1,4,2,15,15,2,3,2,1,46,1,16,1
"za",5,3,3,4,3,4,3,4,3,3,5,325,1,4,3,175,29,3,2,5,4,24,2,18,2
"ita",4,3,2,5,4,5,2,5,4,3,5,275,3,3,3,1,14,3,4,6,3,24,2,19,2
"ita",4,2,3,5,5,5,2,4,5,5,5,375,3,4,4,225,26,2,4,7,6,24,2,17,2
"uk",4,4,3,5,2,4,2,4,5,3,4,1,3,4,4,1,33,4,7,7,8,67,1,18,1
"ita",4,3,3,5,4,5,1,5,4,3,4,325,2,3,2,15,28,5,5,5,5,18,1,16,1
"za",5,2,2,5,3,5,2,5,4,3,5,325,1,3,4,175,18,5,3,6,4,27,2,22,2
"uk",4,2,4,4,4,3,2,4,3,4,5,175,3,3,3,125,23,5,5,7,5,66,2,17,2
"uk",5,2,4,3,4,5,2,3,3,5,5,275,4,3,3,125,24,3,3,6,1,33,2,17,2
"ita",5,1,1,5,4,5,1,5,4,5,4,325,2,4,3,1,15,2,2,7,6,21,2,19,2
"uk",4,3,4,5,3,5,1,4,3,4,5,325,4,4,3,175,39,5,1,6,6,52,1,16,1
"za",4,2,2,5,3,4,1,4,4,3,4,225,4,4,4,15,29,4,3,5,8,27,1,13,1
"ita",5,2,1,5,5,5,2,5,4,3,4,NA,3,4,3,225,28,2,2,4,3,28,2,12,2
"za",5,3,1,3,1,3,1,2,3,4,4,45,3,4,3,1,12,5,4,3,6,29,2,16,2
"ita",3,3,2,5,2,3,4,3,3,5,2,4,2,3,4,275,32,6,2,7,3,28,2,18,2
"za",5,2,2,5,4,4,2,4,5,3,5,5,3,5,3,1,14,5,2,5,6,23,1,13,1
"ita",5,3,3,5,4,3,1,3,4,5,5,325,2,4,2,275,24,7,7,9,9,35,1,17,1
"za",5,2,2,5,3,4,1,5,3,3,5,125,1,5,2,3,16,5,4,7,9,39,2,21,2
"ita",5,1,1,5,5,5,1,5,5,4,5,325,3,3,3,3,3,3,5,6,2,22,2,16,2
"uk",4,3,5,5,3,4,1,3,3,4,4,375,1,4,3,1,21,1,2,7,6,27,2,15,2
"za",5,4,1,5,4,4,1,4,5,5,5,4,1,5,3,1,25,7,3,5,6,52,2,16,2
"za",5,3,3,5,4,5,3,3,3,3,5,3,1,5,3,1,23,7,3,7,7,28,1,18,1
"ita",4,2,1,5,1,5,2,4,3,3,5,325,3,4,4,1,16,4,2,6,6,23,1,18,1
"uk",3,3,2,5,3,4,1,4,4,5,4,375,3,1,3,15,23,3,5,6,1,24,2,15,2
"uk",5,2,2,5,5,4,2,5,2,3,5,375,4,4,3,2,15,7,5,4,3,29,1,16,1
"ita",5,2,2,5,2,5,1,5,3,5,5,NA,4,5,3,125,26,5,5,8,8,20,2,16,2
"uk",5,2,1,5,3,5,2,5,3,5,5,325,3,5,2,1,13,3,5,4,6,33,1,19,1
"za",5,2,3,5,1,4,1,3,3,2,4,1,1,5,4,225,27,3,3,3,8,27,2,18,2
"ita",5,1,3,5,4,5,1,5,3,4,5,NA,3,4,3,1,2,1,4,6,1,26,1,18,1
"ita",5,2,2,4,2,3,2,4,4,4,5,3,2,4,4,2,16,5,4,7,4,29,1,18,1
"uk",4,2,2,4,3,3,1,4,1,4,3,45,2,3,3,125,17,3,2,7,2,54,1,17,1
"za",4,3,2,5,3,4,2,4,3,1,5,25,1,3,4,175,26,3,5,7,6,24,1,16,1
"ita",4,2,1,5,3,3,3,4,4,3,4,NA,2,4,3,15,1,3,2,6,5,21,2,15,2
"za",5,3,2,5,3,5,1,4,4,3,5,25,1,5,3,1,22,2,3,6,6,31,1,17,1
"uk",4,2,3,5,3,3,2,3,3,2,4,175,2,3,3,2,19,5,3,6,1,52,1,16,1
"za",5,2,3,4,5,5,1,4,4,3,4,3,1,4,2,125,22,3,3,7,2,23,1,20,1
"za",4,3,1,5,2,4,2,3,3,3,5,NA,2,3,4,225,29,6,6,6,3,22,1,19,1
"uk",3,3,1,4,3,3,2,4,2,5,3,1,2,4,3,275,34,4,4,6,8,28,1,15,1
"za",5,1,1,5,3,5,2,4,4,3,5,275,3,3,2,1,13,6,3,4,2,21,1,18,1
"za",4,2,1,5,4,5,1,4,4,2,5,325,1,5,3,2,11,5,3,5,4,30,2,15,2
"za",5,4,3,5,5,4,1,5,5,3,4,35,1,5,3,15,4,3,2,6,4,26,2,15,2
"ita",5,1,1,4,5,5,1,5,4,4,5,45,2,5,3,1,17,5,5,6,7,24,1,16,1
"uk",3,3,2,5,3,5,1,5,4,4,5,275,2,4,3,1,29,4,2,4,1,34,2,16,2
"ita",4,3,2,5,3,3,3,2,3,3,5,NA,2,3,4,25,14,5,6,7,4,21,2,16,2
"za",4,3,3,5,5,5,1,5,4,3,5,325,3,3,3,125,32,4,2,4,5,27,1,18,1
"ita",5,1,1,5,3,5,1,5,4,3,5,NA,1,3,3,225,15,2,2,7,4,31,2,16,2
"za",5,2,1,4,4,5,2,5,4,3,5,325,1,5,3,1,17,4,3,6,3,21,2,17,2
"za",4,3,3,5,4,5,3,4,4,3,4,NA,3,3,4,1,33,3,2,3,6,24,2,15,2
"ita",5,2,1,5,4,4,1,4,4,2,3,NA,1,5,2,2,13,4,1,3,6,31,2,12,2
"za",4,2,3,4,4,4,3,4,4,3,5,325,3,3,4,1,22,4,2,5,6,24,2,13,2
"uk",3,3,2,4,2,4,5,4,3,4,4,325,4,1,5,125,17,4,4,6,9,63,1,16,1
"za",4,3,3,5,5,5,3,3,5,2,5,425,3,4,3,15,19,2,3,6,7,22,1,20,1
"ita",5,2,1,5,1,3,3,4,3,3,4,NA,3,2,3,15,16,4,3,7,5,50,2,24,2
"uk",3,5,3,4,3,3,5,3,3,5,4,275,4,2,5,125,32,7,4,6,7,65,1,18,1
"uk",5,1,3,5,5,5,2,4,5,4,5,45,2,4,4,15,17,3,5,3,2,75,1,11,1
"uk",3,3,1,4,2,2,2,3,2,5,4,1,3,3,4,125,35,3,3,3,4,55,1,13,1
"za",4,2,2,4,3,5,3,3,3,3,5,NA,3,4,4,25,29,3,3,5,4,34,2,15,2
"za",4,3,3,5,3,4,2,5,4,3,4,NA,1,4,3,25,12,3,1,6,6,22,2,18,2
"uk",5,2,4,5,4,4,2,3,4,5,5,4,3,3,4,175,24,5,3,6,8,65,1,20,1
"za",5,3,2,5,5,5,1,4,4,3,5,NA,3,5,4,1,16,6,5,4,4,23,1,17,1
"za",5,4,1,5,5,4,3,5,5,3,3,1,1,5,3,15,2,3,1,4,4,57,2,13,2
"za",4,5,3,4,2,3,3,4,4,3,4,325,1,3,4,1,25,3,2,5,9,24,2,18,2
"ita",5,2,1,5,2,3,1,4,4,3,3,NA,1,5,3,1,19,5,4,5,4,33,1,18,1
"uk",4,2,2,5,4,4,1,5,5,4,5,325,2,5,4,2,41,6,3,7,4,29,2,18,2
"za",5,3,2,5,3,4,2,3,4,3,4,15,3,4,4,125,12,5,1,2,3,24,2,17,2
"ita",5,1,2,5,3,5,1,4,3,3,5,NA,4,4,3,15,3,4,4,6,1,29,2,17,2
"uk",5,2,1,5,2,4,2,3,3,5,4,3,3,5,3,25,28,4,3,4,8,28,2,15,2
"za",4,3,2,4,3,5,3,2,3,3,5,NA,1,3,4,175,26,2,2,3,6,41,1,14,1
"ita",4,2,1,5,4,4,2,5,4,3,5,NA,3,3,3,125,27,3,3,7,7,35,1,13,1
"za",5,3,2,4,4,3,2,2,4,2,3,35,2,4,4,2,22,2,3,4,7,27,1,14,1
"za",4,5,2,5,2,5,3,3,3,2,3,35,1,4,5,1,24,4,4,3,8,20,1,15,1
"ita",4,1,4,4,4,4,1,5,4,3,5,325,2,3,3,1,21,2,5,6,4,23,1,16,1
"za",4,4,2,5,3,4,1,4,4,1,4,425,2,4,4,1,21,5,2,3,6,27,2,17,2
"za",5,3,3,5,4,4,1,5,3,4,5,225,3,4,3,225,28,6,4,4,8,22,1,20,1
"uk",4,1,1,4,2,4,2,5,3,4,5,25,2,4,3,1,27,5,4,5,6,73,1,13,1
"za",5,3,2,5,4,5,1,4,4,2,4,4,3,5,4,25,21,4,4,4,6,24,2,11,2
"ita",4,2,3,5,4,4,1,4,4,4,5,325,1,2,3,1,19,3,5,2,3,27,1,16,1
"za",5,3,1,5,2,4,3,4,3,3,4,3,2,4,4,15,16,5,2,6,7,30,1,19,1
"ita",4,2,2,5,1,4,2,5,4,2,4,NA,3,3,3,1,28,4,5,6,7,22,2,23,2
"uk",4,2,3,4,3,1,4,3,1,5,4,425,4,2,4,125,22,4,5,7,4,41,1,14,1
"uk",4,2,2,4,1,3,3,3,4,5,4,325,2,4,3,225,21,2,2,4,3,33,1,17,1
"za",5,2,2,5,3,5,1,4,5,4,5,175,2,5,4,175,14,6,2,5,4,24,1,20,1
"za",5,3,1,5,5,5,1,3,4,2,4,2,2,5,2,15,17,6,2,2,2,29,1,18,1
"uk",4,2,2,5,4,4,1,4,4,5,5,375,4,5,3,25,28,2,3,6,1,33,2,19,2
"uk",4,2,2,4,2,5,2,4,4,4,5,325,2,4,4,225,19,5,2,4,6,61,2,15,2
"ita",4,3,2,5,5,5,1,4,5,5,5,275,2,3,4,2,25,3,3,7,2,23,2,19,2
"ita",5,3,2,4,3,4,2,3,4,4,4,1,3,4,4,175,26,7,4,6,7,22,1,19,1
"za",4,5,2,5,4,3,2,4,2,3,3,35,3,4,4,25,35,5,3,5,8,23,1,18,1
"uk",5,3,2,5,5,4,2,3,4,4,5,225,3,4,4,25,3,5,6,7,6,23,1,17,1
"ita",4,2,2,4,4,5,2,5,4,4,5,275,2,4,3,125,16,6,5,7,6,23,2,20,2
"za",5,2,1,5,5,5,1,5,4,4,5,1,3,3,4,25,2,5,4,7,4,35,1,17,1
"ita",4,1,1,4,3,4,1,5,5,1,1,3,2,3,1,1,2,2,3,5,2,24,2,12,2
"uk",5,2,3,5,3,4,2,5,4,5,5,175,2,4,3,1,17,5,1,6,6,35,1,16,1
"uk",4,1,2,3,2,3,2,4,3,5,5,175,2,3,2,15,2,6,4,6,8,43,1,15,1
"uk",5,3,2,5,4,5,1,5,5,4,5,3,3,5,3,1,23,3,2,4,4,55,2,16,2
"uk",4,1,2,5,5,5,1,5,5,4,4,25,2,5,1,1,1,1,5,4,4,62,2,18,2
"ita",4,2,3,5,4,4,2,4,4,4,4,2,3,3,2,2,22,4,3,5,6,32,2,17,2
"ita",4,3,1,5,2,3,1,4,3,3,4,1,2,4,3,1,21,4,5,7,4,22,1,15,1
"uk",4,2,2,5,2,3,2,5,3,5,4,325,2,3,3,125,35,2,3,7,6,28,2,14,2
"uk",4,1,2,3,4,5,3,4,4,4,4,375,3,4,3,15,22,3,3,4,4,28,1,13,1
"uk",4,1,1,4,1,3,1,4,3,4,4,275,2,2,3,2,17,4,4,6,1,31,1,16,1
"ita",4,3,1,4,3,5,3,4,5,3,4,NA,1,4,4,15,21,2,5,7,4,18,2,15,2
"za",5,3,2,5,2,3,1,2,3,4,5,NA,3,4,4,1,23,2,3,5,8,29,1,14,1
"za",5,3,3,5,4,5,1,4,4,2,5,375,1,4,4,1,18,7,2,4,6,36,1,16,1
"ita",4,1,2,5,1,4,1,3,4,3,4,NA,1,3,2,175,24,3,3,4,4,22,2,18,2
"uk",5,2,3,5,4,4,1,5,4,4,4,325,2,4,3,1,35,6,2,2,4,47,1,15,1
"za",4,4,3,4,2,3,2,3,4,3,2,1,1,2,4,15,22,3,2,6,7,33,1,12,1
"uk",4,2,3,3,1,3,1,3,1,5,4,125,2,4,4,225,29,3,4,7,6,25,1,12,1
"uk",5,2,2,4,1,3,2,3,2,5,4,225,4,5,4,1,22,6,3,5,9,35,1,15,1
"za",4,2,2,5,2,5,2,3,3,4,5,325,3,2,3,1,15,4,2,3,8,29,2,12,2
"za",4,4,1,5,3,5,2,4,3,3,5,325,1,4,3,3,16,3,4,2,6,21,2,25,2
"uk",4,2,4,5,3,4,3,3,2,4,5,15,4,3,4,375,23,4,3,6,7,34,1,15,1
"za",5,2,1,5,2,4,1,5,4,4,4,3,3,3,3,1,3,4,2,8,6,29,1,16,1
"uk",4,2,2,5,4,3,2,4,4,3,3,3,3,4,3,1,15,6,5,6,3,31,1,18,1
"ita",4,1,1,5,4,5,2,4,4,4,5,35,3,4,3,1,18,6,4,6,3,29,1,15,1
"ita",5,2,1,3,2,3,2,3,3,3,4,NA,2,4,3,25,3,7,5,6,4,51,2,17,2
"ita",5,3,1,5,4,4,2,4,4,4,5,375,3,4,4,15,2,2,3,5,3,25,2,17,2
"za",5,2,1,5,3,5,2,4,4,1,5,5,3,5,3,1,3,3,3,5,6,24,2,18,2
"za",5,4,1,5,3,5,2,5,4,4,5,4,3,5,4,125,2,5,3,8,4,25,2,18,2
"za",4,3,3,5,5,5,1,5,4,3,5,25,1,3,3,1,26,5,6,3,6,19,1,21,1
"uk",3,2,3,3,3,4,2,3,4,5,4,375,3,3,2,175,26,6,2,7,5,42,2,11,2
"ita",5,3,3,5,5,5,1,5,4,3,4,NA,3,4,3,225,16,5,4,6,6,33,2,16,2
"ita",2,4,3,3,1,4,4,1,1,4,5,NA,5,1,4,275,28,3,6,7,6,23,1,12,1
"za",4,3,3,5,4,5,2,4,3,3,4,225,2,4,4,125,25,5,5,7,6,44,1,17,1
"ita",4,2,1,5,2,2,2,4,3,3,4,15,3,3,4,25,19,2,3,7,5,51,1,13,1
"uk",3,2,1,5,4,4,2,5,2,4,3,325,3,3,3,3,12,2,4,3,4,34,1,16,1
"uk",4,1,2,5,3,5,2,4,4,5,4,375,3,4,3,2,14,3,2,5,6,23,2,15,2
"uk",5,1,3,4,4,5,2,4,3,4,4,35,4,5,2,1,12,6,2,3,3,20,1,15,1
"uk",4,3,3,3,4,5,2,4,4,5,2,3,2,3,2,275,21,4,4,7,5,25,1,20,1
"ita",5,2,2,4,2,4,2,4,4,2,4,25,2,5,3,175,21,5,3,7,4,28,1,22,1
"ita",3,4,1,4,1,3,1,3,2,5,2,4,1,2,4,225,33,1,3,6,6,23,2,17,2
"uk",5,2,2,5,2,4,2,4,3,5,5,35,2,4,3,25,31,3,2,7,4,22,2,16,2
"ita",5,1,2,5,4,4,1,5,3,2,3,1,2,4,3,1,2,6,5,5,4,39,2,17,2
"za",5,4,3,5,2,5,2,4,4,3,4,275,2,4,4,225,31,4,1,3,8,26,1,13,1
"uk",3,3,2,4,2,3,3,4,3,4,5,425,3,3,4,125,28,4,5,4,6,59,2,14,2
"uk",4,3,2,3,2,3,2,3,2,4,4,1,3,3,3,15,32,5,3,6,4,35,1,23,1
"za",5,4,1,5,3,4,3,4,5,3,5,25,3,5,3,1,23,3,2,5,4,22,2,18,2
"za",3,3,2,5,4,4,3,4,3,1,5,35,1,4,4,15,17,7,2,6,11,42,2,16,2
"za",4,2,1,5,4,5,3,5,4,3,4,NA,2,5,3,1,18,3,3,2,7,41,2,17,2
"ita",4,4,3,4,3,3,3,5,3,4,5,4,1,4,4,2,26,6,4,5,6,35,1,15,1
"ita",3,3,2,4,4,4,2,3,4,4,4,325,3,3,4,25,33,7,5,4,5,34,1,15,1
"ita",5,2,1,5,2,5,2,4,3,3,4,1,3,4,3,1,17,5,4,4,3,32,2,15,2
"za",4,3,4,4,2,4,3,3,3,2,5,35,2,3,3,25,21,6,3,7,6,34,1,14,1
"uk",4,1,4,5,4,5,1,4,2,4,5,325,4,4,3,125,3,3,4,6,6,32,1,18,1
"uk",3,2,2,4,5,4,2,5,4,2,4,325,4,2,4,125,25,3,6,5,9,37,2,18,2
"ita",4,2,3,5,3,3,1,4,3,3,5,325,2,3,3,1,25,7,5,7,3,27,2,17,2
"ita",3,4,1,5,3,4,3,4,4,2,3,NA,4,3,4,1,21,5,4,4,3,20,1,19,1
"ita",4,2,1,5,3,4,2,5,3,4,4,NA,2,5,2,125,2,2,3,6,4,28,2,25,2
"uk",4,2,2,5,4,4,2,4,3,5,5,4,4,4,3,1,26,4,4,4,6,45,2,18,2
