"ID","BSMBS_1u","BSMBS_2u","BSMBS_3u","BSMBS_4u","BSMBS_5u","BSMBS_6u","BSMBS_7u","BSMBS_8u","BSMBS_9u","BSMBS_10u","BSMBS_11d","BSMBS_12d","BSMBS_13d","BSMBS_14d","BSMBS_15d","BSMBS_16d","BSMBS_17d","BSMBS_18d","BSMBS_19d","BSMBS_20d","SMBS_1","SMBS_2","SMBS_3","SMBS_4","SMBS_5","SMBS_6","SMBS_7","SMBS_8","SEIS_1","SEIS_2","SEIS_3","SEIS_4","SEIS_5","AC_1","Gender","Age","Nacionality","Marital_Status","Education","Occupation","Household_Income","Household_members_1","SSS","PoliticalOrientation"
79,2,2,3,2,6,3,7,2,2,2,6,5,4,6,4,6,3,6,3,4,5,1,2,4,2,1,3,6,NA,6,7,NA,5,NA,1,18,1,1,5,1,1500,1,6,2
93,1,4,3,4,2,4,7,4,5,5,5,3,4,2,4,4,1,3,3,4,1,3,1,4,5,5,1,1,2,7,6,1,7,5,2,49,1,2,5,5,8000,2,5,4
170,2,4,5,4,3,3,5,4,5,3,5,5,2,4,4,2,3,3,2,4,3,1,5,2,1,2,5,6,1,6,5,1,7,5,1,28,1,3,7,4,NA,NA,6,1
101,6,5,5,5,5,5,6,4,4,5,3,3,5,1,4,3,5,2,3,2,3,7,5,6,7,6,2,1,2,6,6,2,7,5,1,47,1,1,7,5,1200,2,8,6
72,5,5,3,5,5,5,7,5,5,4,2,3,3,3,2,4,3,4,3,1,1,6,2,5,5,5,1,4,2,5,7,1,7,5,2,58,NA,2,6,5,650,2,8,2
39,3,3,3,4,6,2,6,3,3,2,5,7,5,3,7,5,2,4,6,6,5,4,1,3,5,3,4,4,1,3,5,1,6,5,1,44,1,2,6,1,0,3,6,2
150,4,4,5,5,2,3,7,4,5,5,4,2,3,2,4,2,2,2,2,5,4,3,5,2,2,4,6,6,1,7,7,1,7,5,1,44,1,2,5,5,2100,NA,5,4
96,6,6,7,3,7,6,6,5,6,6,5,1,2,4,2,2,7,3,1,2,2,5,1,5,5,5,1,5,1,7,7,1,6,5,2,49,1,3,6,5,5000,4,8,6
137,2,3,5,3,6,4,7,2,4,2,4,1,2,5,3,1,3,4,1,4,5,2,4,3,3,3,4,5,2,6,7,NA,5,NA,2,49,1,1,2,3,4e+05,3,8,NA
72,7,5,5,4,6,4,5,5,5,4,2,3,1,4,2,1,2,3,2,4,4,5,5,3,6,6,2,3,1,5,5,1,7,NA,1,58,1,2,7,5,1500,3,9,4
170,3,2,3,5,4,5,7,3,3,5,1,4,2,2,3,2,4,1,2,3,4,3,5,2,3,4,4,3,2,7,7,NA,4,5,2,39,1,2,5,2,90000,1,7,4
88,3,4,4,3,1,1,6,3,2,3,4,5,4,5,7,4,1,5,5,7,2,1,4,3,1,2,5,3,1,7,7,1,7,5,2,36,1,2,6,5,0,2,6,1
40,2,3,4,4,4,1,5,3,3,3,6,5,2,3,4,4,1,4,5,5,6,2,1,3,2,4,3,4,2,7,7,1,7,5,1,34,1,1,3,5,1800,NA,4,1
99,5,5,5,6,4,5,7,4,6,4,3,4,2,4,4,3,2,5,5,6,5,5,5,5,4,7,3,5,2,7,6,1,7,NA,1,34,1,1,6,5,0,2,7,NA
132,7,5,5,5,1,2,6,5,5,7,1,4,1,3,4,1,4,1,3,4,1,1,4,3,1,2,3,5,1,6,5,1,7,5,2,27,1,1,7,4,NA,NA,4,2
116,2,2,1,3,5,2,2,2,4,2,3,4,5,5,5,4,4,4,5,6,5,4,3,3,2,2,3,2,1,5,7,1,7,5,1,58,1,3,7,5,38000,3,6,2
46,5,3,5,5,4,4,6,4,5,5,2,4,1,4,2,1,3,2,3,4,3,7,3,4,3,5,2,5,3,7,4,2,7,5,2,31,1,2,7,5,2500,NA,6,3
6,2,4,2,2,3,2,4,4,3,4,2,3,4,5,5,4,2,5,3,4,5,1,3,3,1,3,6,5,1,7,7,1,7,5,1,64,1,3,5,NA,2e+05,NA,7,1
18,5,5,5,6,4,4,7,4,7,7,2,4,1,2,4,2,2,1,3,4,2,7,4,5,5,7,2,1,6,4,5,7,5,5,1,52,NA,3,4,5,800,4,6,NA
134,5,5,3,4,3,2,7,2,6,5,3,2,2,3,4,3,1,1,2,5,1,4,2,6,2,5,1,4,1,7,7,1,7,5,2,40,1,3,6,3,120000,2,7,3
85,2,2,2,1,1,1,4,1,2,2,3,6,4,6,7,6,6,6,7,7,4,2,2,3,1,2,3,6,1,7,7,1,7,5,1,38,1,2,7,5,2000,1,6,2
85,6,6,3,4,4,3,6,5,5,4,1,4,5,4,3,4,2,3,2,3,5,1,4,3,1,1,6,7,1,7,7,1,7,NA,2,60,1,2,7,6,1900,3,9,2
21,5,4,4,4,5,4,2,4,5,5,2,1,4,2,4,4,3,3,1,5,2,3,1,3,2,6,3,1,2,5,7,1,7,5,2,48,1,3,6,NA,4e+05,5,7,2
116,3,5,2,2,4,1,5,3,5,2,4,4,3,3,4,3,1,4,5,4,5,1,6,3,4,2,6,6,2,6,6,1,6,5,1,50,1,1,6,5,1300,1,6,2
89,5,4,5,4,4,5,6,4,5,5,3,2,1,2,3,1,2,1,1,1,3,2,4,5,1,4,6,6,1,7,5,1,7,5,2,28,1,1,4,5,3500,4,5,2
8,3,5,3,4,6,3,5,3,4,3,5,5,3,2,3,4,7,4,4,6,3,3,4,3,5,2,2,3,2,6,5,1,7,5,1,33,1,2,6,1,NA,NA,6,2
56,2,3,5,3,4,4,4,2,5,3,4,4,2,4,5,4,3,4,4,4,2,4,1,5,4,3,2,2,1,6,7,1,7,5,1,47,1,2,5,1,1200,4,6,2
30,4,4,3,6,4,5,6,4,4,4,5,5,5,4,5,3,3,2,4,6,3,3,1,5,4,5,2,4,4,5,5,1,7,5,2,58,1,3,4,5,2800,1,3,2
93,3,4,3,2,1,2,5,4,1,2,4,5,4,6,4,5,2,3,3,6,5,2,2,5,2,4,6,5,1,7,7,1,7,NA,2,52,1,2,7,2,0,2,8,3
22,4,2,4,5,1,2,5,3,3,3,5,7,6,5,7,5,5,4,7,7,3,5,5,6,5,2,3,5,1,7,6,1,7,5,2,34,1,3,7,5,2600,4,7,3
90,4,6,7,6,6,4,7,5,7,5,6,5,1,3,5,3,1,3,6,5,2,4,2,6,5,6,1,3,2,7,6,1,7,5,2,40,1,1,5,5,NA,NA,6,4
92,6,4,5,5,4,3,5,4,5,4,1,3,4,2,3,3,2,4,5,4,2,3,4,4,2,2,4,4,1,7,7,1,7,5,1,33,1,1,7,5,NA,NA,6,2
166,5,6,6,4,6,6,7,5,5,4,5,3,5,5,3,2,1,2,2,2,6,1,5,2,1,3,7,6,2,3,3,5,1,5,1,30,1,2,7,5,2600,2,4,5
128,7,5,4,5,4,2,6,5,5,5,2,2,3,3,5,4,2,4,3,3,3,5,1,6,7,6,2,1,1,5,7,1,7,5,1,45,1,3,6,5,3000,2,4,2
100,4,4,4,2,5,3,6,3,5,4,3,7,4,4,5,2,1,3,2,6,1,5,2,6,4,4,2,5,2,7,7,1,7,5,2,74,1,3,7,6,4000,2,7,2
121,2,2,2,2,3,2,5,2,3,3,4,2,4,2,4,1,3,4,3,3,5,1,5,3,1,2,6,6,2,6,7,1,7,5,2,60,1,2,6,5,1748,2,4,2
7,2,4,4,2,5,3,2,3,3,6,4,6,3,3,6,4,5,3,4,4,2,5,1,5,6,3,5,3,1,6,6,1,7,5,2,26,NA,2,7,NA,4500,3,7,NA
57,5,6,5,4,4,1,7,5,3,4,5,5,4,4,7,4,2,4,4,6,2,1,3,3,4,4,4,6,1,6,4,7,7,5,1,58,1,2,4,5,0,2,5,NA
109,2,2,2,3,1,2,2,1,3,1,7,5,5,7,4,5,3,5,4,7,7,1,6,1,3,4,6,7,6,7,5,5,5,NA,1,52,1,1,2,5,1100,2,5,5
43,5,7,5,4,3,3,6,4,5,6,2,1,2,2,3,3,2,1,1,1,4,2,4,5,2,4,5,3,2,5,6,NA,2,5,2,30,1,1,2,5,2e+05,1,4,4
27,3,5,2,2,5,2,5,2,2,4,5,3,5,4,5,6,5,6,7,7,6,2,5,3,3,4,5,5,1,7,7,1,7,5,1,30,1,3,4,2,3000,3,3,2
154,4,5,6,5,1,5,7,5,5,7,5,3,2,3,4,3,1,3,2,2,1,1,2,3,1,4,4,4,1,7,7,1,7,5,2,40,1,2,4,NA,NA,NA,5,5
88,5,5,5,5,3,4,6,4,7,6,3,2,1,2,4,2,1,1,1,3,2,6,1,3,5,5,1,4,2,5,6,1,6,5,1,50,NA,2,4,NA,NA,NA,6,NA
48,1,4,4,5,3,4,7,3,4,6,4,2,2,3,1,4,1,1,4,3,4,1,1,2,1,4,2,2,1,6,7,1,7,5,1,45,1,2,4,5,2600,NA,6,2
25,2,4,3,2,3,2,6,2,3,1,6,5,4,5,5,5,3,7,3,6,1,1,3,5,2,5,2,3,6,5,4,2,1,NA,1,22,1,1,6,5,0,1,8,4
115,6,1,4,4,5,6,4,4,2,4,5,2,5,3,3,4,6,3,2,3,1,5,1,3,5,7,1,3,2,7,7,1,7,5,1,41,1,2,6,NA,NA,NA,6,2
96,5,6,5,4,4,7,7,2,5,5,3,2,3,3,3,2,2,2,4,2,5,3,4,3,5,4,3,1,2,6,5,2,6,5,2,44,1,2,6,3,NA,NA,4,3
155,2,3,2,3,1,1,6,2,3,5,5,4,3,2,7,3,3,1,2,3,3,6,1,3,7,4,1,1,2,3,3,1,7,5,1,58,1,3,7,5,NA,NA,7,2
151,2,1,3,2,1,1,5,3,3,4,3,4,2,4,5,3,2,2,2,2,1,2,3,2,1,3,3,4,1,7,7,1,7,NA,2,45,1,1,7,5,0,1,7,1
171,6,4,4,4,3,3,7,2,5,5,2,4,2,3,4,3,1,3,4,3,6,2,6,2,1,3,6,7,2,7,7,1,7,5,2,22,1,2,7,5,3000,2,5,3
12,1,4,2,3,3,2,6,1,3,2,6,3,4,4,5,4,4,4,4,6,5,4,2,3,5,3,2,4,1,7,7,1,7,5,1,39,1,2,6,2,800,2,6,2
145,3,5,5,3,3,6,6,3,1,4,3,1,2,5,3,3,3,4,3,3,2,1,1,5,4,4,2,1,1,7,7,1,7,NA,1,39,1,1,7,5,1300,3,9,4
47,6,7,7,7,5,6,5,6,5,6,3,3,2,3,4,1,5,2,3,2,5,3,4,2,2,3,6,5,2,6,7,2,7,5,1,42,1,2,6,5,0,2,5,2
139,5,5,2,2,3,4,7,2,3,2,5,3,3,3,1,4,1,3,3,2,2,4,3,5,1,3,4,5,2,7,7,1,7,5,1,31,NA,1,7,5,2200,NA,6,2
84,4,5,3,5,4,2,6,2,4,5,3,3,3,3,3,2,1,2,2,1,4,1,2,3,2,3,3,3,NA,5,5,6,6,NA,1,47,NA,1,7,5,0,2,7,NA
128,5,6,5,5,5,7,7,5,7,6,1,1,2,2,2,3,2,1,1,1,2,6,2,5,5,4,2,1,2,4,6,NA,2,5,2,33,1,2,2,NA,NA,NA,7,6
23,3,4,5,2,3,3,5,3,5,4,4,6,4,6,6,2,2,5,5,7,2,5,5,7,6,4,3,3,1,7,6,1,7,5,2,52,1,3,7,NA,4e+05,5,8,2
44,7,6,6,5,6,6,6,5,7,7,2,3,4,3,3,2,3,1,4,3,2,5,4,4,4,4,2,1,NA,6,7,NA,5,5,2,30,1,2,6,5,NA,NA,5,5
91,6,6,6,5,6,6,7,4,5,5,2,1,1,2,1,2,3,1,3,2,1,7,3,5,6,7,1,1,2,7,6,1,7,NA,1,52,1,2,5,5,1990,NA,9,4
6,5,6,4,2,4,4,7,6,2,5,2,4,2,3,4,3,1,2,2,2,2,2,1,5,1,5,4,2,2,5,6,1,6,5,1,58,1,3,6,5,2400,2,7,NA
114,1,2,3,3,4,1,6,3,3,2,6,4,4,4,5,5,3,4,4,5,7,1,4,1,1,4,5,7,1,7,7,1,7,5,1,43,1,2,6,5,3000,2,7,2
92,5,5,5,5,5,5,5,4,5,5,1,2,4,5,4,2,4,3,4,5,5,5,1,5,4,3,2,2,2,6,6,1,7,NA,2,50,1,1,7,2,2000,4,9,4
123,1,1,2,2,1,1,7,1,2,2,2,5,3,3,4,3,2,4,3,4,5,1,4,3,2,4,4,5,1,7,7,1,7,5,1,59,1,3,7,5,3500,3,6,NA
68,4,4,4,4,4,4,5,2,5,3,2,1,3,2,4,3,1,2,2,2,3,5,1,6,6,5,4,3,1,7,6,1,6,NA,2,42,1,1,6,1,0,4,8,NA
136,4,3,2,5,5,4,2,2,4,4,4,3,5,6,3,4,4,3,3,4,6,1,4,1,1,3,5,3,1,7,7,1,7,5,2,36,1,1,6,5,30000,3,6,2
12,7,6,6,5,6,6,4,5,6,4,1,4,2,5,3,4,2,4,3,4,2,6,4,5,6,3,1,3,2,7,5,1,7,5,1,27,1,1,7,5,NA,NA,7,2
152,1,5,3,4,4,3,4,3,3,2,2,2,2,2,3,2,1,1,2,2,3,3,1,2,4,5,4,5,1,5,5,1,7,5,2,52,1,1,7,5,2600,2,7,2
87,3,3,5,5,4,4,5,3,4,5,4,3,3,2,4,3,4,2,3,2,2,2,1,5,5,5,1,2,1,7,4,1,6,5,1,28,1,1,6,5,0,3,8,4
88,3,5,4,5,4,5,6,4,5,3,5,3,3,2,4,3,3,2,3,3,3,2,2,5,5,6,3,3,1,6,6,1,7,NA,2,53,1,1,5,5,0,2,9,4
125,5,4,7,4,3,4,5,4,5,5,3,1,2,3,3,1,4,4,4,4,3,5,5,3,2,4,3,5,1,6,7,1,7,5,2,59,1,4,7,5,12000,NA,7,2
73,4,2,3,4,3,2,6,3,5,5,3,5,5,3,5,3,3,4,3,4,2,1,2,3,2,3,3,5,2,7,6,1,7,5,2,48,1,3,7,5,3000,4,8,2
123,5,4,6,4,4,5,7,5,5,5,3,3,5,3,4,3,3,4,6,4,3,2,2,5,2,2,5,3,1,7,7,1,7,NA,1,44,1,1,4,5,0,3,4,4
120,2,2,4,2,4,2,3,1,1,2,6,7,4,6,5,2,6,3,4,6,5,1,5,2,2,2,5,7,1,7,7,2,7,5,1,25,NA,1,7,5,NA,NA,3,NA
112,3,5,4,6,4,2,7,4,3,5,2,3,2,4,4,4,2,1,4,4,5,3,4,2,2,2,7,3,1,7,7,2,7,5,1,60,1,3,7,5,10000,2,7,2
149,3,4,2,2,2,3,6,3,2,2,7,4,5,5,5,3,4,4,2,4,2,1,2,4,5,4,3,4,1,5,6,1,5,5,2,36,1,2,6,5,1100,1,6,2
112,2,1,2,2,3,1,1,3,2,2,6,6,5,4,5,5,2,2,2,4,5,1,4,1,2,1,7,5,2,6,5,1,7,5,2,33,1,1,6,5,1500,1,6,1
58,1,4,1,3,3,3,5,1,3,3,3,3,2,3,3,3,1,3,2,3,3,2,3,2,2,2,3,3,1,7,6,NA,6,5,2,41,1,2,6,NA,4e+05,5,9,3
37,4,4,4,4,3,2,6,4,3,4,3,4,4,2,3,2,3,2,1,3,6,2,6,2,2,5,6,5,2,6,4,1,6,5,2,40,1,1,7,5,1990,2,6,3
141,5,5,4,5,4,4,4,4,5,6,6,4,4,5,4,4,3,3,5,3,2,2,2,4,2,1,3,6,1,7,7,5,7,5,1,40,1,3,6,5,1500,1,4,2
164,5,5,3,4,5,4,4,4,5,3,6,3,5,6,5,4,5,4,3,6,6,1,3,2,1,3,5,4,1,7,7,1,7,5,2,43,1,2,7,5,6000,1,7,1
69,5,7,6,3,5,2,6,3,4,5,6,3,4,6,7,2,1,4,4,6,4,2,1,1,5,3,3,3,1,7,6,1,5,5,1,30,1,2,6,5,NA,NA,4,1
107,5,6,4,2,3,4,7,6,6,4,3,4,2,3,5,3,1,4,4,6,1,5,4,7,5,4,2,4,3,5,5,1,7,5,2,49,NA,2,6,5,1300,1,6,NA
119,2,2,3,5,3,4,7,2,2,3,4,4,3,3,5,2,2,3,2,4,2,2,2,2,4,4,5,2,4,1,5,5,6,5,2,64,1,3,5,5,1500,NA,7,4
81,5,6,3,5,4,5,7,6,5,4,2,1,3,3,2,2,2,2,2,1,4,6,2,5,6,4,3,5,1,6,7,1,7,5,1,50,1,3,4,5,2500,4,5,NA
64,7,7,5,4,6,6,5,4,5,5,4,3,2,5,2,3,3,3,3,2,2,5,3,5,4,5,1,4,1,6,5,1,7,5,2,42,1,1,6,5,NA,NA,4,2
35,7,6,5,7,4,6,5,5,5,6,1,1,1,4,3,3,3,1,2,1,1,3,2,4,2,4,4,6,2,6,6,2,5,NA,1,19,1,1,5,2,0,3,9,NA
6,2,4,4,3,2,3,6,3,3,4,3,4,2,3,3,2,5,3,1,3,3,1,2,3,2,3,2,3,1,7,7,1,7,5,2,42,1,2,4,NA,NA,3,5,3
