"","ID","BSMBS_1u","BSMBS_2u","BSMBS_3u","BSMBS_4u","BSMBS_5u","BSMBS_6u","BSMBS_7u","BSMBS_8u","BSMBS_9u","BSMBS_10u","BSMBS_11d","BSMBS_12d","BSMBS_13d","BSMBS_14d","BSMBS_15d","BSMBS_16d","BSMBS_17d","BSMBS_18d","BSMBS_19d","BSMBS_20d","SMBS_1","SMBS_2","SMBS_3","SMBS_4","SMBS_5","SMBS_6","SMBS_7","SMBS_8","SEIS_1","SEIS_2","SEIS_3","SEIS_4","SEIS_5","AC_1","Gender","Age","Nacionality","Marital_Status","Education","Occupation","Household_Income","Household_members_1","SSS","PoliticalOrientation"
"29",25,2,6,2,2,2,1,6,2,2,2,6,4,6,6,6,5,3,6,3,6,3,1,1,4,1,5,2,5,1,7,6,1,5,5,1,30,1,1,4,5,1200,1,6,2
"30",68,5,6,3,2,4,5,5,2,2,5,3,1,3,2,2,2,3,3,3,2,3,1,1,3,1,5,3,2,1,6,6,1,6,5,1,34,1,2,7,5,2600,3,4,2
"31",30,3,3,3,3,4,4,5,3,2,5,5,3,5,5,4,4,2,4,4,3,6,2,4,4,1,4,5,5,6,6,5,1,6,5,1,27,1,1,7,5,2500,3,7,2
"32",53,1,6,2,3,5,5,7,4,4,3,4,2,4,4,2,3,1,4,2,4,2,3,3,4,2,4,5,3,3,4,5,3,4,5,1,28,1,1,6,5,1400,1,5,4
"33",165,3,3,4,3,4,3,5,3,3,3,5,4,4,3,3,3,5,4,5,4,2,3,3,5,3,3,3,3,NA,5,5,NA,5,NA,2,40,1,1,6,5,2200,1,7,3
"34",100,5,4,3,4,2,4,7,3,4,4,2,3,2,3,4,2,1,2,3,3,2,3,3,3,3,4,3,5,1,7,6,1,7,5,1,38,1,2,6,5,3200,2,6,2
"35",64,2,5,4,3,2,3,3,3,2,4,5,6,5,5,6,5,3,6,5,5,5,1,1,2,3,2,5,5,1,7,7,1,7,5,2,39,1,2,7,5,1990,1,4,2
"36",41,1,4,1,1,4,1,1,1,4,1,5,4,4,5,5,4,2,5,4,5,6,2,4,2,2,2,6,6,1,7,7,1,7,5,1,29,1,1,7,5,NA,1,3,1
"37",92,4,6,4,4,5,6,3,4,6,4,4,1,3,3,2,3,4,4,2,3,3,2,2,5,5,4,2,3,2,7,7,2,6,5,1,28,1,2,7,5,39000,2,7,4
"38",106,6,5,6,6,5,4,6,3,6,5,6,2,2,4,2,2,2,3,2,3,2,3,3,5,5,4,2,5,4,5,2,5,3,5,1,35,1,2,4,5,1000,2,4,4
"39",56,3,5,4,4,3,4,4,4,4,3,6,6,5,4,5,6,3,4,5,6,4,5,4,4,6,3,4,3,4,3,5,5,4,4,1,25,1,2,5,1,3000,4,5,4
"40",61,2,2,1,2,1,1,6,2,1,1,5,5,3,5,5,4,7,4,1,6,5,2,3,2,3,4,5,5,1,7,6,1,7,5,1,42,1,3,7,5,10000,2,7,2
"41",125,1,5,7,4,1,5,7,1,5,1,4,1,1,7,1,1,2,7,3,7,3,5,5,3,3,7,2,3,1,7,7,1,7,5,1,18,1,1,6,2,2500,4,6,4
"42",91,5,5,5,5,5,5,6,5,5,5,2,2,2,2,2,2,2,2,2,2,2,5,2,2,5,5,2,3,5,3,5,3,6,5,1,29,1,2,7,5,3500,2,7,3
"43",93,7,7,7,1,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,3,5,3,6,5,5,3,5,1,7,7,1,7,5,1,51,1,3,6,5,45000,2,6,6
"44",87,4,5,3,4,5,4,6,4,4,4,4,3,4,4,3,3,3,4,3,4,3,2,3,2,2,2,1,5,1,7,7,1,7,5,2,41,1,1,7,5,1400,1,6,2
"45",96,2,1,1,2,4,1,5,1,4,2,4,4,4,3,4,4,4,4,4,4,5,1,1,2,2,2,6,7,1,7,7,1,7,5,1,43,1,2,7,5,4600,4,7,1
"46",117,3,5,4,3,4,3,3,3,3,3,4,4,4,3,4,4,3,4,3,3,2,3,2,4,2,2,2,2,1,7,7,1,7,5,1,60,1,3,7,5,90000,3,7,2
"47",1,3,4,3,3,4,5,5,4,3,3,5,5,5,5,4,5,3,4,4,5,3,3,4,5,5,4,3,3,2,6,2,1,6,5,2,24,1,2,7,3,1300,2,7,3
"48",170,5,5,5,5,5,2,5,5,5,5,2,1,2,2,2,2,2,2,2,3,4,1,2,2,2,5,5,3,1,7,6,1,7,5,1,49,1,3,6,5,90000,5,7,3
"49",80,4,5,2,4,5,3,6,3,5,4,3,5,2,2,5,2,1,2,2,5,5,3,5,3,1,2,5,5,1,6,7,1,7,5,1,40,1,1,7,5,2600,1,6,2
"50",42,6,5,4,5,4,5,6,4,5,6,6,3,4,6,5,3,2,4,3,5,5,3,5,4,2,3,5,5,2,6,7,1,6,5,2,25,1,2,6,4,1100,1,7,2
"51",167,6,4,5,6,4,5,7,3,3,6,2,1,1,4,2,2,1,1,1,4,2,3,1,3,1,3,1,1,2,7,7,1,7,5,1,63,1,3,6,6,60000,4,7,3
"52",132,3,5,3,3,5,3,6,3,3,5,5,3,2,3,3,2,2,2,2,2,5,1,1,3,1,5,3,5,1,5,7,1,7,5,1,45,1,3,6,5,2800,3,6,2
"53",52,4,4,5,5,4,2,6,2,4,4,3,4,3,4,3,4,3,3,4,4,4,4,5,2,1,3,2,6,1,7,7,1,7,5,1,36,1,3,6,5,5500,3,8,2
"54",113,2,3,2,1,2,3,6,2,3,2,5,3,4,5,5,4,1,3,4,6,3,1,2,4,2,5,5,6,1,7,7,1,7,5,2,43,1,3,6,5,3000,2,7,2
"55",91,5,5,5,5,5,5,6,5,5,5,2,2,2,2,2,2,2,2,2,2,2,5,2,2,5,5,2,3,5,3,5,3,6,5,1,29,1,2,7,5,3500,2,7,3
"56",54,6,5,5,4,4,3,5,4,5,3,3,3,4,4,5,3,2,3,3,5,2,6,2,6,4,4,2,3,2,2,3,2,7,5,1,50,1,3,7,5,4000,4,6,3
"57",152,7,5,6,7,6,5,7,6,6,7,6,7,5,4,5,4,5,4,5,5,1,4,6,4,5,1,3,5,4,4,4,7,6,5,2,47,1,3,2,1,12000,3,5,4
"58",144,3,4,5,5,4,4,5,4,6,4,2,2,2,2,5,2,4,2,2,2,2,5,1,3,5,5,2,2,2,5,4,2,5,5,1,25,1,2,6,5,NA,NA,6,4
"59",125,1,5,7,4,1,5,7,1,5,1,4,1,1,7,1,1,2,7,3,7,3,5,5,3,3,7,2,3,1,7,7,1,7,5,1,18,1,1,6,2,2500,4,6,4
"60",45,2,2,3,3,5,6,4,3,4,3,3,6,3,4,4,3,3,4,4,4,5,1,1,1,1,2,6,6,5,5,4,4,4,5,1,45,1,3,3,5,1000,5,4,NA
"61",79,3,5,5,5,5,3,6,2,5,4,3,2,3,3,3,2,2,2,2,3,5,1,5,2,3,3,6,5,1,6,6,7,7,5,1,64,1,3,6,5,4000,2,6,2
"62",27,5,3,4,4,5,3,5,4,4,4,3,3,4,4,3,4,2,3,3,3,2,6,1,3,5,5,2,3,2,6,6,1,7,5,1,45,1,3,6,5,3300,4,7,2
"63",93,7,7,7,1,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,3,5,3,6,5,5,3,5,1,7,7,1,7,5,1,51,1,3,6,5,45000,2,6,6
"64",122,4,3,3,5,5,4,5,5,4,3,4,4,4,6,3,3,3,3,4,5,6,2,6,2,2,2,6,6,1,7,7,1,7,5,2,52,1,3,7,5,56000,2,7,2
"65",94,5,5,6,5,5,6,6,5,5,4,1,1,1,1,2,1,1,3,1,1,2,5,2,5,5,5,2,2,6,2,3,6,2,5,1,52,1,2,7,5,4500,1,8,5
"66",60,7,6,3,4,4,2,4,3,4,4,1,3,3,4,5,4,3,4,4,4,4,1,4,1,1,1,5,4,1,5,5,2,5,5,1,36,1,3,7,5,5000,3,4,3
"67",58,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,3,3,2,2,5,5,1,7,5,2,49,1,2,6,5,4200,3,7,2
"68",129,3,1,2,2,2,2,2,2,2,2,3,6,4,5,7,6,3,4,6,6,4,1,1,4,2,2,4,4,1,7,7,1,7,5,2,39,1,1,7,5,1600,2,5,1
"69",29,1,1,3,6,1,1,7,2,2,4,2,4,2,2,3,1,6,1,3,2,4,7,2,2,7,7,1,1,4,6,6,1,7,5,2,30,1,2,5,5,1000,2,6,3
"70",89,1,1,1,1,1,1,7,1,1,1,1,1,1,4,5,4,1,4,3,1,1,7,1,7,7,4,1,1,1,7,7,1,7,5,2,41,1,1,7,5,2000,1,7,2
"71",154,4,6,7,7,3,6,7,3,6,4,1,4,3,1,4,4,1,1,2,1,2,6,2,5,7,6,1,1,6,3,4,4,6,5,2,53,1,2,5,5,2000,3,7,6
"72",18,6,5,4,5,5,3,7,4,4,6,2,5,4,2,3,3,1,2,2,2,3,3,3,4,5,5,2,2,2,6,6,1,7,5,1,54,1,3,6,5,3000,4,7,3
"73",117,3,5,4,3,4,3,3,3,3,3,4,4,4,3,4,4,3,4,3,3,2,3,2,4,2,2,2,2,1,7,7,1,7,5,1,60,1,3,7,5,90000,3,7,2
"74",147,5,4,5,4,6,5,5,4,3,2,5,5,3,3,6,2,6,4,5,6,4,4,4,5,5,4,4,4,2,7,6,2,3,5,2,30,1,1,6,5,1000,1,6,4
"75",33,2,4,4,3,4,3,3,4,4,2,6,4,4,6,4,3,4,3,3,6,3,5,3,5,4,5,4,3,2,6,6,1,7,5,3,22,1,1,6,2,1200,3,4,1
"76",27,5,3,4,4,5,3,5,4,4,4,3,3,4,4,3,4,2,3,3,3,2,6,1,3,5,5,2,3,2,6,6,1,7,5,1,45,1,3,6,5,3300,4,7,2
"77",92,4,6,4,4,5,6,3,4,6,4,4,1,3,3,2,3,4,4,2,3,3,2,2,5,5,4,2,3,2,7,7,2,6,5,1,28,1,2,7,5,39000,2,7,4
"78",31,5,5,4,5,5,5,5,4,5,5,3,3,3,3,3,3,3,3,3,3,5,4,3,3,2,2,5,4,1,7,6,1,7,5,1,48,1,2,7,5,5000,4,8,3
"79",95,4,5,4,4,5,5,5,4,5,4,4,3,4,4,3,3,3,4,3,4,3,5,3,4,2,2,3,4,1,6,6,1,7,5,1,46,1,3,6,5,2800,4,6,2
"80",6,5,3,5,5,5,5,5,6,5,4,3,5,2,2,3,3,4,3,4,4,3,6,2,6,5,5,3,4,2,6,3,1,7,5,2,59,1,3,7,5,40000,2,7,4
"81",103,1,1,2,3,1,1,2,1,3,3,5,6,5,6,5,5,4,4,5,7,5,1,1,1,1,1,5,7,1,7,7,1,7,5,1,33,1,1,6,1,2400,2,8,1
"82",95,4,5,4,4,5,5,5,4,5,4,4,3,4,4,3,3,3,4,3,4,3,5,3,4,2,2,3,4,1,6,6,1,7,5,1,46,1,3,6,5,2800,4,6,2
"83",134,1,1,1,1,1,1,6,1,1,2,7,7,1,1,3,3,1,1,1,1,1,1,1,1,1,1,5,7,1,1,7,1,7,5,2,69,1,1,5,6,1200,1,5,2
"84",146,2,3,3,3,3,3,6,2,3,3,5,6,3,4,4,4,2,5,4,6,5,3,5,3,3,4,3,4,1,6,6,1,7,5,2,26,1,1,6,1,2000,4,5,6
"85",76,3,4,3,3,3,3,5,3,3,3,5,4,4,5,5,5,1,5,4,4,4,4,4,4,3,4,3,5,1,7,7,1,7,5,2,33,1,1,7,5,1800,1,5,5
"86",18,6,5,4,5,5,3,7,4,4,6,2,5,4,2,3,3,1,2,2,2,3,3,3,4,5,5,2,2,2,6,6,1,7,5,1,54,1,3,6,5,3000,4,7,3
"87",70,4,4,1,2,3,2,6,2,2,4,4,2,2,2,2,1,2,1,2,4,3,2,2,2,4,5,4,5,2,6,6,1,7,5,1,31,1,2,5,3,850,1,4,2
"88",13,4,5,4,4,4,4,6,4,4,4,5,4,4,4,4,4,3,4,4,6,3,4,4,5,5,4,3,4,4,6,6,1,7,5,2,60,1,3,5,6,2800,2,5,4
"89",52,4,4,5,5,4,2,6,2,4,4,3,4,3,4,3,4,3,3,4,4,4,4,5,2,1,3,2,6,1,7,7,1,7,5,1,36,1,3,6,5,5500,3,8,2
"90",133,3,5,3,4,4,3,5,4,4,4,3,3,5,4,5,5,3,4,4,4,3,4,4,3,4,3,3,5,2,7,7,1,7,3,1,45,1,2,4,5,1900,2,6,2
"91",159,6,6,2,2,7,7,7,7,7,6,2,4,2,2,7,2,7,1,4,2,1,7,1,7,7,1,1,1,2,2,7,4,6,5,2,50,1,3,5,5,30000,2,5,5
"92",120,2,3,3,3,4,2,5,1,2,6,6,5,5,5,5,5,2,4,6,4,5,2,4,3,2,4,4,4,1,7,7,1,7,5,1,36,1,2,6,5,1900,2,6,2
"93",22,7,7,4,4,4,7,7,7,7,7,1,4,1,1,4,1,7,1,1,1,1,7,4,6,6,7,1,1,2,6,5,1,6,4,2,40,NA,2,6,5,1800,3,7,NA
"94",134,1,1,1,1,1,1,6,1,1,2,7,7,1,1,3,3,1,1,1,1,1,1,1,1,1,1,5,7,1,1,7,1,7,5,2,69,1,1,5,6,1200,1,5,2
"95",27,5,3,4,4,5,3,5,4,4,4,3,3,4,4,3,4,2,3,3,3,2,6,1,3,5,5,2,3,2,6,6,1,7,5,1,45,1,3,6,5,3300,4,7,2
"96",170,5,5,5,5,5,2,5,5,5,5,2,1,2,2,2,2,2,2,2,3,4,1,2,2,2,5,5,3,1,7,6,1,7,5,1,49,1,3,6,5,90000,5,7,3
"97",132,3,5,3,3,5,3,6,3,3,5,5,3,2,3,3,2,2,2,2,2,5,1,1,3,1,5,3,5,1,5,7,1,7,5,1,45,1,3,6,5,2800,3,6,2
"98",152,7,5,6,7,6,5,7,6,6,7,6,7,5,4,5,4,5,4,5,5,1,4,6,4,5,1,3,5,4,4,4,7,6,5,2,47,1,3,2,1,12000,3,5,4
"99",13,4,5,4,4,4,4,6,4,4,4,5,4,4,4,4,4,3,4,4,6,3,4,4,5,5,4,3,4,4,6,6,1,7,5,2,60,1,3,5,6,2800,2,5,4
"100",87,4,5,3,4,5,4,6,4,4,4,4,3,4,4,3,3,3,4,3,4,3,2,3,2,2,2,1,5,1,7,7,1,7,5,2,41,1,1,7,5,1400,1,6,2
"101",50,1,4,4,4,1,1,7,4,7,7,1,7,1,1,7,4,1,1,7,1,1,1,1,7,1,1,4,1,1,5,7,1,7,5,2,51,1,3,2,5,1500,4,6,4
"102",51,5,6,5,5,5,5,6,5,5,6,2,1,2,4,2,4,2,2,2,2,2,5,1,5,2,4,2,2,3,2,5,3,5,5,1,40,1,2,7,5,5000,2,8,3
"103",70,4,4,1,2,3,2,6,2,2,4,4,2,2,2,2,1,2,1,2,4,3,2,2,2,4,5,4,5,2,6,6,1,7,5,1,31,1,2,5,3,850,1,4,2
"104",72,2,2,3,3,3,2,6,2,2,4,5,5,4,3,5,1,1,1,3,4,1,4,1,6,4,6,1,1,1,5,4,1,7,5,2,28,1,2,7,4,1500,2,7,1
"105",164,3,5,3,3,3,1,6,2,5,2,5,1,2,3,2,4,3,2,4,3,5,2,3,3,2,3,4,6,1,7,7,1,7,5,2,27,1,1,6,5,1500,1,5,2
"106",140,5,6,6,7,6,5,6,5,6,7,2,3,2,2,4,1,3,2,2,3,3,1,3,4,2,5,6,6,3,6,5,1,5,5,1,33,1,2,7,5,1500,1,7,3
"107",36,4,6,4,4,5,4,6,4,5,5,3,3,2,2,2,2,2,1,3,3,2,5,2,5,5,5,3,2,2,5,6,1,6,5,1,40,1,3,6,5,4000,2,8,4
"108",12,3,4,4,4,5,4,5,4,4,5,5,4,5,4,3,3,2,3,4,5,3,4,3,5,6,6,3,2,2,2,6,1,7,5,2,74,1,4,6,6,1800,1,6,2
"109",86,4,5,4,3,2,4,7,2,3,4,4,4,2,4,5,3,1,3,3,5,3,2,6,2,1,2,7,7,1,7,6,1,7,5,1,49,1,3,4,5,42000,2,4,2
"110",2,6,7,7,5,2,6,7,5,4,4,6,6,2,3,6,1,1,2,2,2,2,4,6,5,6,4,4,2,2,7,6,1,6,5,2,53,1,3,6,5,NA,NA,7,2
"111",163,2,2,2,2,2,2,6,2,6,2,2,2,2,2,2,2,1,2,2,2,5,1,5,3,1,3,5,7,5,6,6,1,5,5,1,42,1,3,7,5,6000,3,9,3
"112",34,1,1,1,1,1,1,7,1,2,5,1,4,1,4,4,4,1,1,1,4,4,1,4,4,1,4,5,4,1,7,7,1,7,5,2,50,1,3,5,5,34120,4,6,2
"113",172,4,5,5,3,5,2,5,2,3,4,4,3,3,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,1,7,7,7,7,5,1,42,1,2,7,5,3500,4,7,2
"114",54,6,5,5,4,4,3,5,4,5,3,3,3,4,4,5,3,2,3,3,5,2,6,2,6,4,4,2,3,2,2,3,2,7,5,1,50,1,3,7,5,4000,4,6,3
"115",80,4,5,2,4,5,3,6,3,5,4,3,5,2,2,5,2,1,2,2,5,5,3,5,3,1,2,5,5,1,6,7,1,7,5,1,40,1,1,7,5,2600,1,6,2
"116",149,6,1,4,5,1,5,6,4,6,6,3,5,4,4,6,4,1,4,4,4,1,4,4,7,4,4,1,3,1,7,7,1,7,5,2,57,1,3,6,5,1500,4,4,3
"117",115,2,2,2,3,3,2,6,3,3,2,7,5,6,2,6,6,3,6,5,6,5,1,1,5,5,3,1,6,1,7,7,1,7,5,1,61,1,3,5,1,2000,2,6,2
"118",112,1,5,2,1,5,5,2,1,5,2,6,2,6,6,3,4,2,5,4,6,6,1,6,3,2,2,5,5,1,7,7,1,7,5,1,41,1,3,6,5,3500,3,5,2
"119",169,3,5,3,4,2,2,7,2,3,3,6,5,4,4,4,4,1,4,6,6,7,1,4,1,1,4,7,7,1,7,7,1,7,5,2,30,1,2,7,5,3500,2,4,2
"120",90,2,6,2,3,4,6,5,3,5,3,6,3,3,4,3,2,3,3,5,6,2,4,2,3,2,4,2,2,3,6,6,2,6,5,1,58,1,3,4,5,3000,2,6,2
"121",44,5,5,3,5,5,5,4,5,5,5,2,1,2,3,2,4,2,2,3,2,2,4,2,5,4,4,3,2,2,6,7,1,7,5,1,58,1,2,6,5,3000,2,7,2
"122",4,4,4,3,4,4,4,3,4,4,3,3,4,5,5,3,3,5,3,5,4,6,3,5,5,3,4,2,5,2,7,2,1,7,5,2,59,1,3,6,5,38000,3,7,4
"123",163,2,2,2,2,2,2,6,2,6,2,2,2,2,2,2,2,1,2,2,2,5,1,5,3,1,3,5,7,5,6,6,1,5,5,1,42,1,3,7,5,6000,3,9,3
"124",65,2,4,2,2,2,3,5,1,1,2,2,4,4,4,5,4,3,5,1,4,2,1,1,2,3,5,4,3,1,7,7,1,7,5,2,52,1,2,7,5,2500,2,7,2
"125",9,4,5,5,4,3,3,4,4,4,5,3,2,3,3,3,2,3,3,3,4,1,5,2,6,7,7,1,2,2,6,5,2,6,5,2,52,1,1,6,5,1900,1,6,3
"126",67,5,7,6,5,6,5,7,5,6,5,2,2,1,2,2,2,1,1,2,2,1,5,1,5,4,6,2,1,6,2,2,6,4,5,1,46,1,3,7,5,0,4,8,NA
"127",48,3,4,5,4,4,3,5,3,5,3,5,4,5,4,4,4,4,3,4,5,3,6,3,6,6,5,1,1,1,7,6,1,7,5,2,42,1,2,7,5,2000,4,6,2
"128",172,4,5,5,3,5,2,5,2,3,4,4,3,3,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,1,7,7,7,7,5,1,42,1,2,7,5,3500,4,7,2
"129",155,1,4,3,6,6,4,7,4,4,1,6,1,1,1,1,1,1,1,1,1,7,2,1,6,3,6,1,7,1,2,4,1,7,5,2,68,1,3,6,6,6000,2,7,5
"130",58,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,3,3,2,2,5,5,1,7,5,2,49,1,2,6,5,4200,3,7,2
"131",106,6,5,6,6,5,4,6,3,6,5,6,2,2,4,2,2,2,3,2,3,2,3,3,5,5,4,2,5,4,5,2,5,3,5,1,35,1,2,4,5,1000,2,4,4
"132",10,5,6,5,6,5,5,6,2,5,5,2,3,2,4,4,3,2,2,4,3,6,2,2,2,2,3,2,3,1,6,6,2,6,5,2,61,1,3,5,1,NA,3,4,NA
"133",163,2,2,2,2,2,2,6,2,6,2,2,2,2,2,2,2,1,2,2,2,5,1,5,3,1,3,5,7,5,6,6,1,5,5,1,42,1,3,7,5,6000,3,9,3
"134",168,3,3,2,1,2,2,4,2,3,3,4,4,4,3,3,4,3,3,3,3,5,2,3,2,2,2,5,5,2,7,6,1,7,5,1,49,1,3,7,5,3000,3,6,2
"135",97,3,3,3,3,3,4,3,3,3,3,5,5,4,4,4,5,5,4,4,4,4,2,2,3,2,3,1,5,1,7,6,1,6,5,1,52,1,2,6,5,1800,1,4,2
"136",160,7,7,7,7,4,7,7,7,7,7,1,1,1,1,4,1,7,1,7,4,1,4,1,7,4,4,1,1,1,4,7,1,7,5,2,58,1,3,6,5,6000,3,8,4
"137",5,6,6,6,6,6,5,7,6,6,7,7,6,2,6,5,2,2,2,2,1,1,3,1,6,6,4,1,7,4,5,6,6,6,5,2,59,1,3,6,5,2000,3,7,4
"138",15,4,1,7,3,1,2,4,7,4,3,3,5,4,4,4,4,3,7,2,5,4,1,2,2,1,4,2,4,1,7,7,1,7,5,2,60,1,3,5,5,1000,2,5,2
"139",159,6,6,2,2,7,7,7,7,7,6,2,4,2,2,7,2,7,1,4,2,1,7,1,7,7,1,1,1,2,2,7,4,6,5,2,50,1,3,5,5,30000,2,5,5
"140",78,5,7,6,5,6,6,7,5,7,5,2,1,2,2,2,2,1,2,2,2,2,6,2,6,7,6,2,1,6,1,1,3,2,5,1,29,1,2,6,5,4000,2,6,4
"141",155,1,4,3,6,6,4,7,4,4,1,6,1,1,1,1,1,1,1,1,1,7,2,1,6,3,6,1,7,1,2,4,1,7,5,2,68,1,3,6,6,6000,2,7,5
