ID;BSMBS_4u_I1;BSMBS_8u_I2;BSMBS_9u_I3;BSMBS_10u_I4;BSMBS_11d_I5;BSMBS_13d_I6;BSMBS_14d_I7;BSMBS_18d_I8;MBS_1;MBS_2;MBS_3;MBS_4;MBS_5;MBS_6;AC_1;ESJS_1;ESJS_2;ESJS_3;ESJS_4;ESJS_5;ESJS_6;ESJS_7;SAS_1;SAS_2;SAS_3;SAS_4;SAS_5;AC_2;Gender;Age;Nacionality;Marital_Status;Education;Occupation;PoliticalOrientation;SSS;Household_Income;Household_members_1
38;2;1;1;2;7;4;2;1;3;1;1;2;1;2;5;1;1;2;1;1;1;1;3;6;1;1;1;5;1;24;1;1;4;3;1;5;4000;4
39;4;5;4;4;4;4;3;4;1;2;2;2;1;2;5;3;2;1;3;3;1;5;4;5;4;4;4;5;1;43;1;3;6;5;2;6;2500;4
40;6;2;5;2;6;6;6;5;1;2;1;2;2;1;5;1;1;1;1;2;1;2;4;2;6;6;5;5;1;47;1;3;6;5;2;5;4000;5
41;3;2;2;2;3;3;3;3;1;1;1;1;1;1;5;1;1;1;1;2;1;4;2;6;3;7;3;5;1;23;1;2;6;2;1;6;4500;3
42;3;2;2;2;5;2;2;2;1;1;1;1;2;1;5;2;1;1;2;1;1;5;3;6;3;1;1;5;2;31;1;1;6;1;2;6;2500;2
43;4;3;4;2;5;5;5;6;3;2;2;1;6;2;5;1;2;1;2;2;1;3;4;5;6;5;3;5;1;25;1;1;6;2;2;7;2400;3
44;6;6;6;6;2;2;3;2;2;5;1;7;2;4;5;5;2;6;2;5;1;6;4;7;4;4;4;5;2;23;1;1;7;5;2;8;3000;4
45;4;4;4;5;2;2;2;2;1;1;5;1;4;5;5;4;1;1;1;1;1;5;6;7;7;7;7;5;1;28;1;1;5;4;3;6;2500;3
46;2;4;4;4;4;4;4;4;1;1;1;2;1;1;5;1;1;1;3;1;1;6;4;7;6;6;6;5;1;47;1;2;6;5;2;7;50000;1
47;5;3;5;5;3;3;3;3;3;3;2;2;3;3;5;2;2;1;2;3;1;5;1;4;1;1;1;5;1;42;1;3;5;5;2;4;5000;3
48;1;2;2;1;4;6;5;5;1;1;1;1;2;1;5;2;1;2;1;1;1;7;4;7;7;7;6;5;2;19;1;1;6;2;2;5;3500;4
49;4;4;4;5;3;2;2;3;3;2;1;1;2;2;5;2;1;1;1;2;1;3;2;5;2;4;6;5;1;33;1;2;7;5;1;7;2000;1
50;3;1;4;3;6;4;5;2;1;1;1;2;2;1;5;1;1;1;1;1;1;3;6;6;6;7;6;5;1;24;1;2;6;5;1;3;1100;1
51;6;3;5;5;5;4;4;3;3;5;2;5;4;5;5;2;2;2;2;2;1;2;5;5;2;5;5;5;1;44;1;3;3;5;5;5;2800;4
52;4;2;5;2;6;5;4;4;3;1;1;1;1;2;5;1;1;1;2;3;1;4;5;6;5;5;3;5;1;37;1;2;6;5;2;5;1600;2
53;4;3;5;5;1;2;5;2;2;1;1;1;1;1;5;1;1;1;2;1;1;1;3;6;7;7;7;5;1;27;1;1;7;5;2;8;NA;NA
54;2;6;2;2;4;2;6;2;1;2;1;2;2;1;5;1;1;1;1;1;1;1;4;4;6;7;4;5;2;59;1;3;6;5;2;5;3500;3
55;2;2;2;4;4;4;5;4;1;1;1;1;1;1;5;1;1;1;1;1;1;1;2;4;5;5;5;5;1;58;1;2;4;5;2;5;30000;2
56;4;2;4;4;2;1;1;1;1;3;2;3;3;1;5;1;1;6;1;3;1;6;1;4;1;1;1;5;2;47;1;2;7;5;2;7;4200;2
57;2;2;3;3;4;4;3;3;2;2;2;2;2;1;5;2;4;4;2;2;4;5;6;6;6;6;5;5;1;46;1;3;6;1;4;6;0;2
58;3;2;4;5;2;3;3;2;2;1;1;1;1;1;5;2;1;1;1;1;1;5;3;6;3;3;2;5;1;23;1;2;7;5;3;5;1050;2
59;3;4;5;4;3;2;3;3;5;3;2;2;2;2;5;3;2;2;2;5;2;6;2;1;2;2;2;5;1;54;1;3;7;5;2;8;3000;3
60;5;5;5;5;3;2;3;3;3;3;2;5;3;2;5;3;2;2;4;4;1;5;4;5;6;5;6;5;2;52;1;3;6;5;2;5;2000;4
61;2;2;3;2;2;2;4;1;1;1;1;1;1;1;5;1;1;1;2;1;1;2;6;5;5;3;3;5;2;28;1;2;7;5;1;2;1500;1
62;6;5;4;6;5;4;5;4;2;1;1;1;2;1;5;1;1;1;5;1;1;7;2;2;2;2;2;5;1;42;1;3;7;5;3;9;5600;3
63;4;4;4;4;4;4;3;4;4;4;2;2;4;3;5;4;3;1;2;3;2;4;2;3;3;2;2;5;1;52;1;3;7;5;3;8;3500;3
64;5;5;6;5;2;3;2;2;6;6;3;4;5;6;5;5;3;2;4;5;3;7;2;5;4;5;4;5;2;53;1;3;7;5;3;8;90000;3
65;4;5;5;6;2;2;2;2;1;1;2;2;2;2;5;2;1;1;1;2;1;5;1;2;1;2;1;5;1;42;1;1;7;5;2;7;3000;1
66;3;2;5;3;4;4;5;5;2;3;1;1;3;1;5;3;1;5;2;2;1;7;5;7;7;7;7;5;2;18;1;2;4;2;2;6;2500;4
67;3;2;5;3;5;5;5;5;2;1;2;2;2;2;5;2;1;2;1;2;1;4;7;7;7;7;7;5;1;33;1;2;6;5;3;4;3500;2
68;3;3;3;3;5;5;4;4;2;2;2;2;2;2;5;2;3;1;3;2;1;3;4;6;5;6;2;5;2;27;1;2;7;5;2;7;3150;2
69;3;1;4;2;3;2;4;1;1;1;2;1;2;1;5;2;1;1;1;3;1;4;7;7;7;7;4;5;2;52;1;4;7;5;4;3;1100;2
70;6;6;6;6;6;2;2;4;6;4;4;4;6;6;5;4;2;4;6;6;1;7;4;6;4;6;4;5;1;59;1;3;7;5;2;6;6000;3
71;6;3;6;5;2;3;1;2;2;2;2;1;2;2;5;2;1;1;1;1;1;1;4;4;5;4;4;5;2;44;1;2;7;5;2;6;3500;4
72;2;2;5;1;6;3;6;3;2;2;3;1;1;2;5;2;1;5;2;2;1;2;5;6;7;5;4;5;1;48;1;3;6;5;2;6;1800;3
73;3;3;6;3;3;3;3;3;2;1;2;5;1;2;5;2;1;1;1;2;1;5;4;7;6;6;6;5;2;29;1;2;6;4;1;4;1900;2
74;3;3;7;2;6;6;7;6;2;2;2;4;2;2;5;2;3;2;3;2;1;7;6;6;7;7;6;5;2;53;1;3;6;4;3;6;3000;2
75;5;4;5;5;4;2;4;2;5;5;6;6;5;5;5;6;5;1;5;6;2;7;1;3;3;5;4;5;1;52;1;3;6;5;3;7;50000;2
76;3;3;5;3;5;5;5;5;3;2;1;2;2;2;5;2;2;1;2;2;5;6;2;5;2;2;2;5;1;35;1;3;7;5;2;7;4800;2
77;6;5;6;6;2;1;2;3;5;5;6;5;5;5;5;5;2;1;3;5;1;6;1;6;1;1;1;5;2;58;1;2;6;5;2;8;2000;1
78;6;5;7;7;1;1;1;1;6;6;2;4;6;6;5;6;2;1;5;6;2;6;1;1;1;1;1;5;1;54;1;3;6;5;2;7;4000;2
79;4;5;3;5;3;3;3;2;5;5;3;3;4;5;5;5;1;1;5;5;1;6;1;6;1;5;1;5;1;52;1;3;6;5;2;7;40000;4
80;2;2;2;2;4;2;2;5;5;5;3;4;3;3;5;5;2;5;3;4;2;7;6;6;6;6;3;5;1;46;1;2;7;5;2;5;2000;2
81;4;4;5;4;4;3;4;4;6;5;2;2;4;5;5;5;2;2;5;5;3;5;1;7;3;7;3;5;2;21;1;2;4;2;4;8;5000;4
82;3;2;2;4;5;5;5;4;1;1;1;1;1;1;5;2;1;1;2;1;1;3;4;4;4;4;4;5;2;53;1;2;4;5;NA;4;24000;3
83;2;3;2;4;5;3;2;3;2;1;1;1;1;1;5;1;1;1;1;1;1;5;3;6;1;4;6;5;2;20;1;1;4;2;2;6;2000;4
84;2;2;2;2;6;6;5;6;2;2;2;2;2;2;5;2;1;4;1;2;1;5;2;5;6;6;6;5;1;26;1;2;7;5;2;7;30000;2
85;4;5;5;5;4;2;2;2;4;4;2;4;4;4;5;4;4;4;4;4;2;5;2;2;1;3;1;5;2;62;1;3;4;5;4;5;NA;2
86;5;5;5;5;3;2;2;3;3;2;2;1;2;2;5;3;3;5;4;5;2;6;3;6;6;5;5;5;2;20;1;1;4;2;3;6;4000;4
87;4;4;4;4;4;4;4;4;1;1;1;1;1;1;5;1;1;1;1;1;1;7;4;6;5;5;5;5;2;31;1;2;7;5;1;4;1500;2
88;2;3;5;5;6;6;6;3;1;1;2;2;3;1;5;1;2;2;1;2;2;5;1;5;4;3;2;5;1;23;1;2;7;5;2;5;1200;1
89;3;3;5;4;3;4;2;3;5;3;5;3;3;5;5;5;1;1;2;5;1;3;7;7;6;7;7;5;2;24;1;2;6;5;2;4;1500;6
90;4;3;5;2;6;4;5;6;1;2;1;2;1;1;5;2;1;2;1;1;1;1;7;7;7;7;7;5;2;24;1;1;7;2;2;5;2000;4
91;3;4;4;5;4;4;4;5;4;6;6;6;5;7;5;5;4;5;5;6;7;7;7;7;7;7;7;5;2;27;1;2;5;2;5;5;20000;4
92;5;4;4;5;3;3;3;3;3;3;3;7;3;2;5;2;1;3;1;4;1;3;2;7;6;2;2;5;2;18;1;1;4;2;2;6;16000;5
93;4;4;4;5;3;3;2;1;5;5;4;4;4;6;5;5;1;4;5;5;3;5;3;5;4;5;3;5;2;22;1;1;6;2;2;6;1300;4
94;4;3;4;2;4;4;3;4;2;2;2;2;2;2;5;2;2;2;2;2;2;3;4;5;4;4;3;5;2;18;1;1;4;2;2;6;1800;4
95;4;4;4;2;4;3;3;3;6;5;2;1;3;3;5;5;2;6;3;4;2;4;1;7;3;3;3;5;2;21;1;2;4;2;2;6;2000;4
96;4;4;5;6;3;2;3;3;4;1;1;1;1;1;5;1;1;1;1;4;2;5;2;7;4;5;4;5;1;18;1;1;4;2;2;6;2800;5
97;4;5;5;5;4;4;4;4;5;5;5;4;5;5;5;5;2;2;4;4;2;4;4;6;4;4;4;5;2;21;1;1;4;3;2;5;NA;4
98;2;3;3;3;5;5;5;5;3;3;2;2;2;2;5;4;3;7;3;3;3;5;5;7;6;6;5;5;1;28;1;2;7;3;2;4;3000;4
99;5;5;6;5;2;2;2;2;5;3;4;3;2;5;5;3;3;5;4;5;4;6;2;1;3;1;1;5;2;35;1;3;4;5;4;1;1000;4
100;2;4;4;5;2;2;2;2;6;6;6;6;6;6;5;6;5;1;4;6;2;7;3;6;4;4;2;5;2;59;1;3;6;5;3;7;3500;3
101;5;4;5;5;5;3;4;5;5;5;6;5;6;5;5;5;2;6;2;3;2;4;6;6;4;6;4;5;2;50;1;4;6;5;4;5;1300;2
102;1;1;1;7;1;1;1;1;7;6;5;7;7;7;5;6;6;1;6;7;2;7;1;6;1;1;1;5;1;52;1;3;6;5;5;5;50000;4
103;4;4;4;4;4;4;4;4;4;4;3;2;5;3;5;4;2;5;3;4;2;6;4;6;4;4;4;5;2;19;1;1;4;2;2;5;30000;3
104;6;6;5;3;4;6;2;2;5;6;7;5;2;6;5;7;2;4;2;4;1;6;2;6;5;5;2;5;2;53;1;4;6;5;3;6;2200;1
105;4;2;6;2;2;2;4;4;6;2;6;6;6;5;5;5;5;6;5;6;2;5;1;6;2;4;1;5;1;18;1;1;6;2;6;4;3000;4
106;3;5;3;5;6;5;5;3;4;2;2;2;2;2;5;2;1;1;1;3;2;5;4;6;4;4;3;5;2;31;1;2;5;3;3;6;1600;2
107;2;2;4;3;4;3;3;3;3;1;1;1;2;2;5;2;1;2;3;4;2;7;1;7;4;7;1;5;3;26;1;1;7;5;2;4;1492;1
108;2;3;4;3;6;3;5;3;4;3;2;2;2;1;5;3;2;1;3;3;2;7;3;7;4;5;3;5;1;26;1;1;4;2;4;7;1000;4
109;4;2;2;5;4;3;2;2;2;2;1;1;1;1;5;1;1;1;1;2;1;6;5;7;7;6;6;5;2;22;1;2;6;2;1;5;1800;4
110;3;2;3;3;4;4;5;4;1;1;1;1;3;1;5;2;2;1;3;1;1;3;4;3;4;4;3;5;2;23;1;1;5;3;2;6;4043;4
111;5;5;4;5;3;3;3;3;6;5;5;3;5;5;5;5;2;4;5;5;3;7;4;6;6;4;6;5;1;18;1;1;4;2;3;6;3000;4
112;6;4;6;6;2;2;2;2;5;4;3;5;5;5;5;4;1;1;3;4;2;6;2;3;2;3;1;5;1;55;1;3;7;5;3;8;4700;5
113;5;3;5;5;6;2;3;3;5;6;3;3;5;5;5;6;2;6;5;5;1;6;6;6;6;6;6;5;2;26;1;2;6;5;2;7;4500;3
114;4;5;6;5;4;3;3;3;4;4;2;3;4;4;5;4;2;1;3;4;4;5;5;6;6;6;6;5;2;28;1;3;7;2;2;7;2000;2
115;2;2;2;2;2;2;4;2;1;1;1;1;2;1;5;2;1;6;1;2;1;4;4;7;5;4;6;5;2;18;1;1;4;2;2;7;3900;4
116;5;5;5;5;2;1;3;2;5;5;3;4;4;4;5;5;4;1;4;5;3;5;1;3;2;2;2;5;2;34;1;1;7;1;2;5;1300;1
117;3;4;4;4;4;4;3;3;5;5;5;5;3;3;5;5;2;3;4;5;2;5;3;6;3;3;3;5;2;32;1;3;7;5;5;7;2100;3
118;3;4;2;2;3;4;5;4;3;2;1;1;1;1;5;2;2;5;3;3;1;4;3;7;4;6;1;5;2;19;1;2;4;2;2;4;2500;4
119;5;4;5;5;2;2;3;2;4;4;2;2;4;4;5;3;2;5;4;5;3;5;3;7;3;5;5;5;1;25;1;1;7;2;3;8;2000;2
120;1;2;3;2;6;2;5;6;1;1;1;1;3;1;5;1;1;1;1;1;1;1;4;7;6;7;5;5;2;20;1;2;4;2;1;6;5000;4
121;1;1;3;3;3;2;3;3;3;3;1;1;3;3;5;2;1;1;1;1;1;3;1;5;1;1;4;5;2;42;1;2;6;5;2;4;2500;2
122;5;4;5;5;3;3;3;2;5;5;3;3;5;3;5;5;2;1;4;5;2;5;3;7;3;3;3;5;2;18;1;1;4;2;2;8;NA;2
123;3;3;4;3;2;3;3;3;4;4;4;2;3;4;5;3;3;4;4;4;2;6;2;5;2;5;2;5;2;18;1;2;4;2;5;4;3500;4
124;5;5;5;5;3;3;3;3;5;5;5;3;5;5;5;5;3;4;3;5;2;5;3;3;3;3;3;5;1;25;1;1;6;3;6;3;4000;3
125;3;3;3;3;4;3;2;3;2;2;1;4;2;2;5;2;2;2;5;2;2;5;6;6;6;6;6;5;2;27;1;1;7;5;4;4;1200;1
126;5;4;4;4;4;2;4;2;3;1;1;4;4;2;5;4;4;4;4;4;2;4;5;5;5;4;4;5;1;26;1;2;7;3;4;7;5000;4
127;4;2;3;2;3;4;3;4;1;2;1;7;1;1;5;1;1;1;2;1;1;2;1;4;2;5;2;5;1;18;1;2;4;2;1;6;5000;3
128;5;4;6;4;2;2;3;2;3;5;6;4;5;6;5;4;2;5;5;5;2;7;6;7;7;6;6;5;2;49;1;3;4;5;6;6;25000;4
129;5;6;3;4;6;4;2;3;3;2;2;2;2;2;5;4;2;4;2;3;1;6;1;7;2;6;2;5;2;18;1;1;6;2;2;4;1500;2
130;6;6;7;6;1;1;1;1;5;4;3;4;3;5;5;5;1;6;3;5;2;7;5;7;5;5;4;5;2;26;1;1;7;3;2;6;600;1
131;5;3;5;5;2;2;2;2;3;4;3;5;4;4;5;4;2;1;2;4;2;5;2;3;2;2;2;5;1;19;1;1;4;2;3;8;40000;4
132;5;5;3;5;4;3;3;3;3;2;3;3;2;1;5;3;2;1;3;3;3;3;7;7;5;7;7;5;2;27;1;2;6;3;5;6;60000;5
133;4;3;5;3;5;2;4;4;4;4;3;2;2;5;5;5;3;2;4;5;2;4;2;6;6;6;5;5;2;23;1;1;6;4;4;6;2500;4
134;2;2;2;2;4;3;4;4;1;1;1;1;1;1;5;1;1;1;1;1;1;1;7;7;7;7;7;5;3;18;1;1;4;2;1;5;2494;5
135;4;1;4;7;7;7;7;4;7;4;1;4;1;7;5;7;1;7;4;4;4;7;7;4;7;7;7;5;1;51;1;3;6;5;6;7;6000;2
136;2;5;3;2;5;3;5;5;2;4;3;3;2;5;5;4;2;1;2;3;1;5;3;6;7;7;3;5;2;49;1;2;3;3;2;5;1000;2
137;3;5;3;4;6;3;5;3;3;2;2;2;2;2;5;2;2;1;2;2;1;6;6;6;6;7;6;5;1;50;1;3;6;5;4;6;25000;4
138;7;7;6;6;2;1;1;2;3;1;7;7;2;2;5;1;4;4;1;4;1;7;7;5;5;6;6;5;2;50;1;3;6;5;2;6;2000;3
139;3;2;4;2;7;5;5;2;1;1;1;1;1;1;5;1;1;1;1;1;1;5;5;7;4;6;6;5;2;23;1;2;6;2;2;3;1200;5
140;4;4;5;5;5;5;5;5;5;5;4;3;4;5;5;5;1;1;5;6;1;7;4;4;4;4;1;5;2;59;1;3;6;6;3;7;46000;2
141;5;4;3;5;2;3;1;2;2;2;2;3;2;2;5;2;1;1;1;4;1;4;2;7;3;6;1;5;2;20;1;1;4;2;2;6;1200;4
142;5;5;5;3;3;4;3;3;5;5;5;5;5;5;5;5;3;3;4;5;3;5;3;5;4;5;4;5;2;45;1;1;6;5;3;6;30000;1
143;5;5;5;5;3;3;4;2;4;5;4;2;5;4;5;4;2;1;3;7;4;7;2;4;3;1;1;5;2;20;1;2;4;2;3;7;5000;5
144;3;5;3;3;3;3;5;3;3;3;2;2;5;4;5;3;3;4;5;5;1;6;3;7;7;7;3;5;2;18;1;1;4;2;5;5;1400;4
145;4;4;3;2;6;1;2;2;2;1;1;1;2;3;5;2;1;1;2;2;1;4;6;5;4;5;4;5;1;29;1;2;7;5;2;5;18000;1
146;1;2;4;3;6;7;7;7;1;1;1;7;1;1;5;1;2;4;1;1;1;6;6;6;7;7;6;5;2;30;1;1;7;2;1;4;4600;4
147;4;6;4;4;2;3;2;4;1;4;1;4;1;1;4;1;1;4;1;1;1;7;4;7;7;7;7;4;2;53;1;3;6;1;4;5;2700;4
148;3;3;3;3;4;4;4;4;2;2;2;2;1;1;5;2;1;1;1;3;1;3;2;7;6;5;7;5;2;18;1;1;4;2;2;6;2300;4
149;6;4;5;5;1;2;2;1;5;1;2;2;1;4;5;3;3;1;1;5;1;6;4;5;3;6;2;5;1;58;1;3;6;5;2;6;50000;4
150;3;3;3;3;5;5;3;4;3;3;3;3;3;5;5;3;2;1;3;3;1;6;1;3;3;3;1;5;1;42;1;3;6;5;3;6;1800;4
151;4;3;4;3;3;4;4;5;4;3;3;3;3;3;5;2;2;1;3;2;1;3;3;3;3;4;3;5;1;73;1;3;6;6;2;8;2600;2
152;5;3;3;3;4;3;2;3;1;1;1;1;1;1;5;1;1;2;1;1;1;2;4;6;5;6;5;5;2;21;1;1;4;3;3;5;1200;4
153;2;2;1;2;6;6;5;5;1;1;1;2;2;2;5;1;1;6;1;2;1;1;5;4;6;5;4;5;1;29;1;2;7;5;1;5;1200;1
154;3;4;4;5;5;4;5;4;4;5;3;3;4;5;5;5;3;4;5;4;5;5;6;6;6;6;6;5;2;24;1;2;6;2;5;5;3000;4
155;4;4;4;3;4;4;4;3;5;4;3;3;5;4;5;5;2;4;5;4;1;7;1;7;5;5;2;5;2;18;1;1;4;2;3;7;2900;4
156;3;4;5;1;6;3;3;1;2;1;1;1;3;2;5;3;1;2;3;2;6;4;2;7;4;6;5;5;1;25;1;1;7;2;2;6;2000;2
157;5;6;4;5;2;1;1;2;5;4;2;4;6;5;5;5;1;1;2;2;1;7;1;4;5;5;1;5;2;69;1;1;6;5;3;8;2700;1
158;5;5;5;4;6;3;4;3;5;5;3;4;4;5;5;4;2;3;3;4;2;5;2;6;4;5;6;5;2;18;1;1;6;2;3;6;3500;5
159;1;1;5;1;7;7;7;1;5;1;1;1;1;2;5;3;1;2;3;3;1;6;5;7;7;7;7;5;2;23;1;1;5;5;2;6;2300;2
160;4;2;4;3;2;4;4;3;3;1;1;1;2;2;5;1;1;1;1;1;1;2;1;7;2;5;3;5;2;20;1;2;4;2;2;1;1800;3
161;3;4;4;1;6;6;5;5;1;2;1;4;1;2;5;1;1;1;1;1;1;4;5;7;7;5;7;5;1;33;1;1;6;2;4;5;300;2
162;6;5;5;4;3;1;3;1;5;3;3;4;5;2;5;6;4;4;5;5;3;7;1;5;3;1;1;5;2;69;1;4;6;6;2;6;1900;1
163;3;3;5;4;3;3;2;3;6;6;5;3;5;5;5;7;2;5;5;5;2;5;3;5;3;3;3;5;2;19;1;1;4;2;5;7;3500;5
164;5;2;2;2;5;4;2;1;2;1;1;1;1;1;5;1;1;6;1;1;1;6;2;6;6;5;6;5;1;32;1;1;7;3;2;4;5000;1
165;5;4;4;4;4;2;3;3;3;3;1;1;2;3;5;2;1;1;2;2;1;6;4;7;5;6;5;5;2;39;1;2;7;5;2;6;1500;1
166;5;5;5;4;2;2;2;2;5;1;2;2;5;2;5;3;1;1;4;5;1;5;2;6;2;4;4;5;1;46;1;3;7;5;3;9;5500;5
167;5;5;5;4;3;3;2;3;3;2;6;5;7;7;5;3;4;2;6;7;2;7;1;1;2;2;1;5;1;32;1;1;6;5;4;6;6000;5
168;4;3;5;4;4;4;4;5;7;7;5;7;7;7;5;7;4;4;5;7;3;4;1;5;5;5;4;5;2;50;1;2;5;5;2;7;1800;2
169;4;4;3;4;7;6;4;4;3;3;5;2;5;4;5;2;3;1;2;2;1;1;1;5;1;1;1;5;2;49;1;1;6;5;3;6;22000;1
170;3;4;4;4;6;2;6;4;2;2;2;6;2;6;5;4;2;1;2;2;5;6;6;2;4;6;4;5;1;61;1;3;6;5;5;7;36400;4
