"id","estimation_condition","low_rep_est1","low_rep_est2","low_rep_est3","low_rep_est4","low_rep_est5","low_rep_est6","low_rep_est_all","addiction1","addiction2","addiction3","addiction4","addiction5","addiction6","imc","addiction7","addiction8","dependency1","dependency2","dependency3","dependency4","dependency5","hour","minute","rm1","rm2","rm3","rm4","rm5","rm6","rm7","rm8","rm9","rm10","rm11","rm12","female","age"
200,0,3,4,3,3,4,4,3,2,1,1,1,5,3,2,1,1,1,1,1,1,1,0,5,4,5,5,4,4,5,4,4,3,5,4,4,1,57
117,1,4,3,2,4,4,3,2,4,4,3,5,5,4,2,4,3,1,1,3,1,2,1,30,4,4,5,4,3,3,4,3,3,4,4,4,1,42
280,0,2,3,5,2,2,2,5,1,3,4,3,2,2,2,2,1,2,1,2,2,4,0,15,4,3,5,4,4,5,3,3,3,4,3,3,2,45
419,0,4,3,2,3,2,3,3,2,1,2,3,2,2,2,1,1,2,1,1,1,1,0,2,3,3,4,5,4,3,3,6,3,6,3,3,2,52
491,1,3,4,5,3,3,3,4,1,2,1,2,5,2,2,2,1,2,1,1,2,3,0,40,3,3,4,3,3,4,4,5,3,5,3,4,1,43
130,1,2,2,3,2,3,2,3,1,1,1,4,5,3,2,2,6,2,1,2,1,1,0,30,3,3,4,3,3,5,4,4,4,5,3,3,2,49
449,1,3,2,3,2,1,3,4,1,1,1,1,1,1,2,1,1,2,1,1,2,2,0,15,3,4,4,4,5,4,4,3,4,4,4,4,1,24
576,1,2,1,4,1,1,1,4,2,1,1,1,2,2,2,2,2,2,1,1,1,3,0,10,5,5,6,2,3,4,3,5,3,5,4,3,1,53
664,0,2,2,3,2,2,3,3,2,2,1,4,4,2,2,3,2,2,1,1,1,1,0,30,2,3,5,3,3,4,3,2,4,5,3,2,2,46
220,1,4,5,1,4,4,4,2,5,4,1,2,5,2,2,5,2,2,2,2,2,1,2,0,3,3,4,3,3,4,4,4,3,4,3,5,2,45
238,1,3,4,1,4,5,3,1,3,3,2,4,5,2,2,2,3,4,2,3,2,2,0,30,4,3,3,3,3,4,4,4,4,4,3,4,2,37
338,0,3,3,4,2,2,3,3,1,1,1,1,3,1,2,1,1,1,1,1,1,2,0,20,3,4,5,4,3,4,3,4,4,4,4,4,1,57
537,0,3,3,3,2,4,3,3,3,3,2,5,2,2,2,2,3,1,1,1,1,2,0,10,3,2,4,4,4,3,5,3,4,3,5,6,1,68
621,0,4,4,5,4,5,6,3,2,2,1,3,4,1,2,2,1,4,1,1,3,3,0,15,3,5,5,4,4,3,4,3,3,5,2,3,2,50
683,1,1,1,4,1,2,2,3,1,5,2,2,2,3,2,1,2,3,2,3,1,3,0,30,5,4,4,5,5,3,4,4,4,4,4,3,1,44
133,0,4,4,1,3,3,3,3,2,5,4,4,4,3,2,3,3,2,1,2,2,4,0,0,4,3,5,4,5,5,4,4,4,4,4,4,2,33
708,1,4,5,3,4,3,3,3,3,2,3,4,2,3,2,3,3,1,2,1,1,2,0,10,3,4,3,4,4,1,2,4,2,2,2,2,2,63
683,0,1,1,6,2,2,2,6,4,4,3,3,4,3,2,2,6,4,4,4,4,2,1,30,3,2,4,3,4,3,4,3,4,3,3,4,1,19
692,1,1,2,5,1,2,2,4,3,5,3,3,5,4,2,5,4,2,1,2,3,2,0.5,0,3,4,3,4,4,2,2,2,5,2,3,4,1,39
171,0,2,2,4,2,1,2,5,3,1,1,5,5,5,2,3,4,3,2,3,2,1,1,5,3,2,5,4,5,5,3,4,3,5,3,3,1,28
638,1,3,2,5,3,2,2,3,1,1,1,2,2,2,2,2,1,1,2,1,2,2,2,0,3,4,3,5,4,3,4,4,4,4,4,4,1,55
686,0,1,1,5,1,1,1,6,2,1,2,2,5,1,2,4,2,2,1,2,1,2,0,20,5,4,4,3,5,4,4,3,2,5,2,3,1,42
199,1,3,3,2,2,3,3,3,1,1,1,2,2,2,2,1,1,1,1,1,1,2,0,30,5,5,5,4,6,3,5,4,3,5,4,3,1,47
171,1,2,1,6,2,1,1,5,3,2,2,2,5,1,2,4,4,2,1,1,1,2,0,30,5,4,4,4,4,3,3,4,4,4,4,3,2,59
690,0,5,4,2,4,3,3,3,1,2,2,2,2,2,2,2,1,3,2,2,1,2,0,20,3,3,4,3,3,3,4,3,3,3,4,4,2,37
330,0,1,1,4,1,1,2,5,4,2,1,2,5,2,2,2,2,2,2,3,1,2,0,5,5,4,5,4,4,4,4,3,3,3,3,3,1,55
615,0,1,1,4,1,1,1,6,1,1,2,2,2,1,2,1,1,1,1,1,1,3,0,10,4,3,3,3,3,3,4,3,5,3,4,3,2,50
559,0,3,2,3,2,2,3,4,3,5,2,3,4,2,2,2,2,3,3,2,2,1,2,10,3,3,5,4,4,4,4,4,3,4,4,4,1,50
456,0,1,2,5,3,1,2,6,4,5,3,4,5,2,2,3,3,2,1,2,2,3,0,3,4,4,6,5,6,4,4,5,3,4,2,2,1,37
641,0,3,2,5,3,2,2,5,2,3,1,4,5,2,2,4,5,3,1,2,1,2,0,5,3,3,4,2,3,5,3,4,3,5,3,3,2,43
125,1,1,1,5,1,1,1,5,3,4,1,5,5,3,2,5,4,1,1,2,1,1,1,15,2,1,2,3,2,3,2,3,3,4,3,4,1,56
492,0,1,2,4,2,1,2,6,2,2,1,5,3,2,2,2,1,2,2,2,1,2,0,5,4,3,5,4,4,4,5,3,3,4,3,3,1,55
296,1,2,3,4,2,3,2,3,4,5,1,4,5,1,2,2,2,5,3,4,4,3,0,10,3,3,4,4,3,4,4,2,4,3,3,3,1,39
368,1,3,5,4,4,4,3,3,2,2,1,4,2,1,2,2,1,1,2,2,1,3,0,1,3,3,3,3,4,4,3,4,4,3,3,4,1,42
654,0,3,3,3,3,3,4,3,2,3,3,2,2,3,2,2,4,2,2,3,3,2,0,5,3,3,4,4,3,3,3,2,3,4,2,3,1,57
276,1,1,1,5,1,2,2,5,4,2,2,1,4,1,2,4,2,1,1,2,2,1,0,5,3,3,3,4,4,2,4,1,5,2,5,5,1,70
474,0,1,1,5,3,1,2,5,4,2,1,1,4,5,2,2,2,2,1,1,1,1,0,0,4,3,3,4,5,4,4,4,6,5,4,5,2,49
445,0,2,2,4,2,2,1,4,3,2,2,1,1,1,2,2,2,2,1,1,2,3,0,20,2,4,5,5,5,4,4,2,6,4,4,4,1,38
463,1,2,3,3,3,2,3,3,3,3,4,4,4,3,2,2,2,3,2,4,2,4,0,60,3,3,4,5,3,2,4,4,4,4,5,4,1,49
119,0,2,3,5,3,3,3,3,2,2,2,3,5,2,2,2,2,2,1,1,2,2,0,5,4,4,4,2,5,4,4,4,4,4,4,4,2,20
179,1,3,5,4,4,4,3,3,1,1,1,4,4,1,2,2,1,1,1,2,1,2,0,15,3,3,4,4,4,4,4,4,2,4,3,3,1,56
503,1,3,3,3,3,1,2,4,2,1,1,2,2,4,2,3,4,2,2,3,2,2,0,10,3,3,2,4,4,4,5,3,5,3,4,4,2,53
627,1,2,3,4,2,3,3,3,5,6,5,6,5,3,2,5,4,2,3,2,2,1,0,15,3,4,3,4,4,3,3,3,4,3,3,3,1,54
640,0,3,3,4,2,3,3,3,1,2,3,1,3,3,2,3,2,2,1,1,1,2,1,30,3,4,2,3,2,3,3,3,3,2,3,3,2,23
465,0,3,3,5,3,2,2,4,3,3,1,4,3,1,2,5,4,4,2,2,1,2,1,5,5,5,4,5,4,4,5,4,3,4,3,3,2,45
642,0,2,2,3,3,2,3,3,4,2,1,3,4,1,2,1,2,2,2,2,1,3,0,0,3,3,4,4,4,5,4,3,4,4,3,3,2,43
332,1,2,3,4,2,2,1,4,4,3,1,3,5,3,2,3,2,1,1,2,1,2,1,15,4,4,3,3,3,4,3,4,3,4,2,3,1,39
526,0,2,2,4,5,3,3,6,3,2,2,3,7,2,2,5,2,2,2,2,2,1,0,5,4,4,4,4,4,4,4,4,4,4,3,4,1,65
441,1,3,3,3,3,3,3,3,5,5,5,6,5,3,2,5,2,3,1,2,3,3,0,30,4,4,4,4,4,3,3,4,4,4,4,4,1,37
633,1,3,3,4,2,2,2,5,2,3,2,4,5,2,2,3,4,3,2,3,3,2,0,10,3,4,5,2,3,3,3,2,3,4,2,2,1,65
287,1,2,2,3,2,3,1,4,3,5,2,1,4,2,2,2,1,2,3,3,2,2,1,30,4,3,5,4,4,4,6,3,4,4,6,5,1,50
422,1,1,2,6,2,4,2,6,2,2,1,1,5,4,2,4,2,2,2,2,2,2,0,0,4,5,3,4,4,4,3,3,4,2,3,3,1,59
466,1,3,3,4,3,4,1,5,2,4,5,3,5,4,2,3,2,3,2,2,2,3,1,1,3,2,3,4,3,1,3,3,3,4,4,4,1,60
366,1,4,3,4,3,3,3,3,1,1,1,3,3,2,2,1,1,1,1,1,1,1,0,30,3,4,3,4,5,2,3,4,4,4,5,4,1,40
706,0,2,1,4,1,1,2,5,3,1,1,1,4,4,2,4,4,2,2,1,1,1,1,5,4,4,4,5,5,5,5,5,5,6,5,4,1,69
637,0,3,3,3,3,3,3,4,3,2,1,4,5,5,2,3,4,3,3,2,3,1,2,5,4,5,5,4,5,3,4,4,3,5,4,3,1,50
506,0,2,3,5,1,2,2,4,2,4,2,2,2,1,2,1,1,2,1,2,3,1,0,10,3,3,3,3,2,4,4,2,4,3,3,4,1,48
389,1,3,3,4,3,3,3,3,2,1,1,2,5,3,2,4,2,4,2,2,2,3,0,30,4,3,5,2,2,4,4,3,2,4,3,3,1,36
477,1,3,3,4,2,3,2,4,1,1,1,4,1,1,2,1,1,3,1,1,1,2,0,30,3,3,4,4,2,3,3,2,3,3,3,3,1,63
276,1,2,2,5,3,3,2,5,3,2,2,5,7,3,2,5,2,1,3,3,1,1,0,5,2,2,4,3,3,4,2,4,3,3,3,3,2,39
513,1,4,4,4,4,4,4,3,3,2,2,5,3,3,2,5,3,3,2,3,2,2,0.5,10,3,3,3,3,3,3,4,2,3,4,4,4,2,34
717,1,1,2,3,1,2,1,6,1,2,1,3,5,1,2,1,1,1,1,1,2,1,0,10,4,3,4,5,3,3,3,4,3,4,3,4,2,35
301,1,4,3,2,3,3,3,3,1,2,2,3,4,3,2,2,1,1,1,1,1,1,0,0,4,2,3,5,4,4,4,4,3,4,3,3,1,49
609,0,3,2,5,2,2,2,4,2,1,3,2,6,4,2,3,2,1,2,1,1,2,1,5,3,3,4,4,4,4,4,4,4,4,4,4,1,25
271,0,3,3,5,4,3,3,3,4,5,1,5,6,4,2,5,4,2,1,4,2,1,0,6,4,4,4,3,3,4,2,4,2,4,2,2,1,65
179,0,1,1,4,2,1,1,5,2,2,1,2,3,1,2,1,1,2,1,1,1,2,0,0,4,4,5,4,4,4,5,5,3,6,3,4,2,21
73,0,3,2,4,2,2,2,4,3,4,2,1,4,2,2,2,4,3,2,2,2,1,1,15,4,3,4,3,4,4,3,5,1,4,2,3,2,55
699,1,2,2,5,3,3,3,3,3,3,1,4,1,2,2,1,3,2,1,2,1,1,1,30,4,4,4,4,3,4,4,4,3,4,3,3,1,44
494,1,1,1,3,1,1,1,5,1,2,1,2,5,3,2,2,1,2,1,1,2,1,0,10,4,5,4,4,4,4,4,3,3,5,3,3,1,50
397,1,3,4,3,3,3,3,4,3,4,1,5,4,3,2,4,2,1,1,2,1,2,0,10,4,4,2,4,4,3,4,3,4,3,4,4,2,62
508,1,5,5,3,5,5,3,2,3,2,2,1,1,1,2,1,1,2,1,1,1,2,0,15,3,3,3,3,4,2,4,4,3,5,2,3,1,48
422,0,2,1,3,2,1,2,4,1,1,2,4,4,2,2,1,2,3,1,2,1,2,0,5,3,2,3,2,4,3,4,3,4,3,3,4,1,42
497,1,2,2,3,2,1,1,3,1,2,1,3,4,3,2,4,3,1,2,2,1,2,0,45,4,4,6,4,4,5,5,4,4,5,5,5,1,53
220,0,1,1,4,1,2,3,6,3,2,3,3,5,2,2,1,2,2,2,2,1,3,1,3,4,5,4,3,3,4,3,5,2,5,3,3,1,46
576,1,3,3,5,2,2,3,4,5,4,5,4,1,3,2,2,2,1,2,1,2,2,0,10,3,3,3,1,3,3,2,4,2,3,3,3,1,54
284,0,1,1,4,1,2,2,4,3,3,3,2,5,2,2,2,1,2,1,2,1,3,0,0,3,4,3,4,4,4,4,4,3,5,3,4,1,58
515,0,1,1,6,2,3,1,5,3,2,3,2,4,2,2,3,2,2,1,1,1,2,0,45,3,3,5,5,3,4,5,4,4,4,5,6,1,45
688,1,2,3,5,2,4,2,4,2,3,1,3,1,4,2,3,3,2,2,3,2,2,0,10,4,2,2,5,5,3,5,2,6,3,5,5,2,32
499,0,1,3,6,2,2,3,4,5,5,3,5,6,4,2,4,6,3,2,4,3,2,1,30,3,3,4,3,4,5,3,4,2,4,3,3,1,47
479,1,1,1,4,2,3,2,3,1,1,1,1,5,1,2,1,2,1,1,2,1,1,0,25,4,3,3,4,3,4,4,3,3,3,4,3,1,41
321,0,3,4,4,4,3,3,3,3,3,4,3,2,3,2,2,1,1,1,2,1,1,1,0,2,2,1,3,3,4,4,3,3,3,4,4,1,51
608,0,3,2,4,1,2,3,5,1,1,2,1,1,4,2,2,1,4,2,4,3,2,1,0,4,4,4,4,6,4,5,3,4,4,3,4,1,22
250,0,3,3,3,1,1,2,3,1,1,1,1,6,2,2,4,2,2,1,1,1,1,0,5,2,3,3,1,4,4,4,3,4,4,4,4,1,49
313,0,1,2,6,2,2,1,4,2,3,2,3,3,3,2,1,1,2,1,1,1,2,0,5,6,4,4,4,4,4,5,3,3,4,3,4,1,62
533,0,3,3,5,3,3,3,3,3,2,2,2,2,3,2,1,2,2,1,2,2,3,0,30,5,5,5,5,4,3,4,3,4,5,3,4,1,48
574,0,1,3,5,1,2,2,5,2,2,1,4,6,2,2,2,2,1,1,3,1,2,0,15,3,3,6,3,3,4,3,3,3,5,2,3,1,63
532,1,4,4,4,3,3,4,3,2,1,1,5,5,3,2,4,2,3,2,1,2,2,0,0,3,3,4,3,3,3,4,3,4,4,3,3,4,47
438,0,4,5,3,3,3,3,3,1,1,1,2,3,1,2,1,1,3,2,1,1,2,0,20,2,1,4,3,4,3,5,2,4,3,6,6,1,24
127,0,1,1,5,1,1,1,5,2,4,1,4,6,2,2,2,2,2,2,2,1,3,1,10,3,3,3,2,3,4,3,3,1,4,2,3,2,45
621,0,1,1,4,1,1,2,5,3,2,1,2,4,3,2,1,2,1,1,1,1,2,0,10,4,5,5,3,4,4,4,5,4,4,4,3,1,49
495,0,5,4,6,3,3,4,4,4,3,2,6,6,4,2,5,6,4,4,4,4,3,0,15,4,4,4,4,4,4,4,5,3,5,3,2,2,38
625,1,3,4,4,3,3,3,3,2,3,1,1,3,2,2,2,1,1,1,2,2,2,0,20,4,4,5,5,4,5,4,5,4,5,3,4,1,60
467,1,3,3,1,3,4,2,2,1,1,1,2,3,2,2,1,2,1,1,3,2,2,0,10,1,2,2,4,2,3,4,2,5,4,5,4,1,48
321,0,2,2,4,1,2,3,5,1,1,1,1,4,2,2,1,1,1,1,1,1,2,0,40,2,2,2,4,3,2,4,3,3,2,4,4,1,34
427,1,6,5,2,3,4,4,3,1,1,2,3,5,1,2,3,2,1,1,1,1,2,0,3,5,4,5,5,5,4,5,4,5,5,4,4,1,54
719,1,4,3,3,3,2,3,3,2,2,1,3,4,1,2,2,1,2,1,1,1,3,0,15,3,4,5,4,3,5,3,4,2,4,3,2,1,52
390,0,2,2,3,1,1,2,5,3,2,2,4,3,3,2,1,1,2,1,1,1,1,0,30,4,3,2,5,4,1,2,2,4,3,4,3,1,42
106,0,2,1,4,3,3,1,3,1,3,1,1,5,1,2,1,1,2,1,1,1,1,0,30,5,4,5,4,3,3,3,3,4,4,3,4,1,52
111,1,2,2,3,1,2,2,5,1,1,1,1,2,3,2,1,1,2,1,1,1,2,0,5,3,3,2,3,4,3,4,2,5,3,4,4,1,48
338,1,3,2,2,3,4,2,2,3,2,1,3,3,3,2,2,2,3,2,2,2,4,0,5,4,3,5,1,3,3,4,2,4,3,3,3,1,40
657,1,4,4,3,3,4,3,1,1,2,2,1,2,1,2,1,2,1,2,2,1,3,0,10,3,2,2,3,3,1,4,1,5,3,4,4,1,21
584,1,3,2,3,3,3,3,3,1,1,1,1,1,3,2,1,1,1,1,1,1,1,0,15,3,3,4,5,5,3,4,2,3,3,3,3,1,36
673,0,2,1,5,1,1,2,5,4,2,3,7,5,2,2,3,6,2,2,2,2,2,0,30,3,3,5,3,3,4,4,4,4,5,4,3,1,54
160,1,3,4,4,3,1,4,4,7,6,7,7,5,5,2,7,6,5,3,4,5,4,1,20,3,2,2,2,2,3,2,2,3,2,3,3,1,44
702,0,1,2,5,1,1,1,6,1,1,1,2,4,1,2,1,1,1,1,1,1,2,0,30,3,3,5,6,4,3,5,4,3,4,4,3,1,56
380,0,3,2,6,2,4,3,5,2,3,3,1,4,2,2,1,1,2,1,2,1,2,0,30,6,6,4,4,4,4,2,4,3,4,3,3,1,50
378,0,3,3,3,4,2,1,5,5,5,4,5,5,3,2,5,4,1,2,4,1,1,1,10,2,2,2,2,3,3,4,3,3,4,4,4,1,55
263,0,2,2,3,2,1,2,6,5,4,6,5,6,2,2,5,4,2,4,4,2,2,0,3,2,2,1,4,4,3,3,4,5,2,5,4,1,59
466,0,2,1,6,2,2,1,5,1,2,1,1,4,1,2,3,2,1,1,2,1,1,0,5,3,4,4,4,5,3,4,4,2,4,3,2,1,58
305,0,1,3,5,2,2,3,5,2,1,1,3,4,3,2,1,2,2,1,1,1,2,0,30,3,3,5,4,4,3,4,3,3,4,3,4,1,41
523,0,1,1,6,1,1,1,6,2,2,2,3,3,4,2,3,1,2,1,1,1,2,1,10,2,3,3,3,4,3,3,1,5,3,5,4,1,51
404,0,2,1,3,3,2,3,4,3,5,1,4,5,2,2,2,2,2,1,2,1,2,0,30,2,1,2,1,2,2,3,2,3,3,3,3,2,37
579,0,3,3,5,3,3,1,3,4,5,3,5,3,4,2,3,3,2,1,3,2,3,0,10,3,3,4,3,2,3,3,3,3,4,3,4,1,50
168,0,3,3,4,2,3,4,3,3,2,2,2,1,3,2,2,2,3,1,2,2,3,0,30,4,4,3,3,4,3,4,3,3,4,4,5,1,48
476,0,2,2,3,2,1,2,6,3,4,1,1,5,2,2,1,2,4,2,1,3,1,1,0,3,3,6,5,3,4,4,5,1,4,2,2,1,69
160,1,4,4,3,3,2,3,3,3,3,1,2,4,3,2,3,2,4,2,2,3,3,0,15,4,3,5,4,4,4,3,3,3,4,3,3,2,56
350,0,4,4,3,3,3,4,3,2,1,1,1,4,1,2,1,1,3,2,3,2,2,0,0,4,3,5,4,5,4,5,3,4,4,3,2,1,30
401,1,1,1,3,2,2,1,4,1,1,1,4,5,3,2,4,3,2,1,3,1,3,0,30,3,3,5,3,4,3,3,3,4,3,4,4,2,45
601,1,3,4,2,4,4,2,3,4,4,1,5,4,1,2,3,2,3,1,3,1,2,0,0,5,5,4,4,4,4,3,5,3,4,4,4,1,47
224,0,1,1,4,2,3,2,5,2,2,3,3,3,5,2,2,1,4,2,2,2,1,0,0,3,3,5,2,4,5,3,4,4,4,4,4,1,35
471,0,3,4,3,4,4,3,4,2,4,2,1,1,3,2,1,2,2,2,2,1,4,0,15,3,3,4,3,5,3,3,4,2,4,3,3,2,20
105,0,2,2,5,1,2,2,3,2,2,2,2,4,2,2,1,2,1,1,1,2,1,0,20,2,2,3,4,4,2,4,3,4,4,4,4,1,42
609,1,1,2,6,1,2,1,5,1,1,1,3,1,1,2,1,1,2,1,3,2,1,0,30,4,4,4,5,4,3,4,3,3,5,4,3,1,41
679,1,4,4,2,3,4,3,3,2,1,2,2,3,1,2,1,1,2,2,1,1,1,0,20,4,3,5,4,5,4,4,5,3,6,4,4,1,55
393,0,2,2,3,3,3,2,5,4,4,2,5,4,4,2,4,4,2,1,4,2,2,0,30,3,4,5,5,5,5,4,6,5,6,5,5,1,62
604,1,2,2,3,2,1,1,4,3,2,1,3,5,2,2,4,1,2,1,1,1,3,0,20,3,3,4,4,5,3,5,1,5,4,5,4,2,60
707,0,2,2,3,2,3,2,3,2,4,1,2,2,4,2,2,1,2,1,2,1,2,0,0,3,4,5,4,3,5,4,4,3,4,3,3,1,53
200,0,2,2,4,1,3,3,4,3,4,2,5,2,2,2,2,1,1,1,1,2,1,0,5,3,2,3,4,4,3,5,3,5,4,5,5,1,44
482,1,2,2,5,3,3,3,6,2,2,5,2,2,2,2,4,2,1,3,2,2,2,1,10,4,4,3,4,5,4,4,3,3,1,3,2,1,50
483,1,2,2,4,1,3,2,6,3,4,4,6,4,3,2,2,2,1,1,4,2,2,0,30,3,3,2,3,2,3,3,2,4,4,4,4,1,69
413,0,3,2,5,3,4,3,3,3,2,3,3,3,3,2,2,2,2,2,2,1,3,0,10,5,4,4,4,5,5,3,4,3,4,3,3,1,36
659,1,3,3,4,3,3,2,3,4,4,4,2,5,3,2,4,2,3,1,2,2,2,0,10,4,5,4,4,3,4,2,4,3,4,3,3,1,37
466,1,3,3,2,3,3,3,4,3,3,1,5,5,3,2,3,4,2,2,2,1,2,0,15,4,3,4,5,4,3,4,4,3,4,4,4,2,46
502,1,3,3,4,3,4,4,3,4,3,3,6,4,2,2,5,4,1,2,2,1,1,0,0,4,5,4,5,3,3,3,4,3,3,5,5,1,72
646,1,3,3,4,3,3,2,3,1,1,2,2,2,3,2,1,1,2,2,3,1,1,1,0,5,5,2,4,5,1,2,2,3,3,2,3,1,49
224,0,1,2,4,1,2,1,4,1,2,1,1,4,1,2,2,2,2,1,1,1,2,0,1,5,4,5,5,4,6,5,3,5,6,5,6,1,31
251,0,4,4,2,3,3,3,3,3,3,2,5,6,5,2,3,2,3,3,4,3,1,1,15,4,3,6,4,3,4,4,3,4,5,3,3,1,44
558,0,2,2,6,2,2,2,4,1,4,1,2,4,4,2,1,2,3,1,3,2,2,1,30,4,4,4,4,4,6,3,6,2,5,2,2,1,53
685,0,4,4,3,4,4,2,3,1,2,1,1,4,2,2,3,2,1,1,1,1,1,0,5,3,4,6,5,4,4,4,4,5,5,4,3,1,75
408,1,2,1,4,1,2,1,5,1,2,2,4,5,2,2,1,1,1,1,1,1,2,0,15,4,3,4,5,4,4,4,4,4,4,4,4,1,47
518,1,2,1,4,1,1,1,5,2,2,5,2,5,3,2,5,3,3,2,3,2,2,0,5,4,4,5,4,4,5,4,3,4,5,3,3,1,65
324,1,3,3,3,2,2,3,3,5,5,4,6,5,3,2,6,6,4,4,4,4,2,1,10,4,3,5,5,4,2,3,4,2,4,2,3,1,42
612,0,1,2,5,1,2,1,4,2,3,1,2,3,1,2,1,1,1,1,1,1,2,0,10,4,4,5,4,4,3,4,5,3,6,4,3,1,43
471,0,2,2,5,2,2,2,5,3,3,3,3,6,3,2,4,4,2,2,3,2,4,0,10,5,5,5,4,4,3,3,3,3,4,3,3,2,38
158,1,4,5,3,4,3,4,2,1,2,1,1,2,1,2,1,1,2,1,1,1,1,0,3,5,3,5,3,4,3,4,4,2,4,3,4,1,36
170,1,3,3,4,3,3,2,3,2,1,1,4,1,2,2,3,3,1,1,1,1,1,0,40,4,4,3,5,5,3,4,3,5,3,6,6,1,57
