"","id","estimation_condition","low_rep_est1","low_rep_est2","low_rep_est3","low_rep_est4","low_rep_est5","low_rep_est6","low_rep_est_all","addiction1","addiction2","addiction3","addiction4","addiction5","addiction6","imc","addiction7","addiction8","dependency1","dependency2","dependency3","dependency4","dependency5","hour","minute","rm1","rm2","rm3","rm4","rm5","rm6","rm7","rm8","rm9","rm10","rm11","rm12","female","age"
"12",534,1,4,3,3,1,2,4,5,3,5,2,1,6,1,2,5,6,2,1,1,1,2,0,5,4,4,3,3,5,6,3,3,5,2,4,3,1,59
"13",604,1,2,3,3,3,3,4,6,2,6,3,5,6,3,2,2,3,3,1,1,1,2,0,30,3,3,5,4,4,2,2,3,3,2,4,4,1,59
"14",464,1,3,4,3,3,1,2,5,3,3,2,5,2,1,2,3,4,1,2,4,3,4,0,0,3,5,6,5,5,5,5,4,3,3,5,3,1,59
"15",133,1,2,2,5,2,2,2,5,1,4,2,5,5,1,2,1,2,1,2,4,1,1,0,0,3,4,3,4,4,4,6,2,4,5,2,3,1,56
"16",305,0,4,4,5,3,3,3,3,3,5,1,5,5,2,2,1,2,3,1,1,1,2,0,5,4,5,3,3,5,5,3,3,4,6,4,2,1,55
"17",628,1,2,3,5,2,6,2,3,4,4,3,5,6,5,2,6,2,1,2,1,2,1,1,0,4,3,4,2,6,2,4,6,4,3,5,3,1,37
"18",208,0,3,1,4,3,3,2,3,3,4,2,1,4,5,2,3,2,3,3,2,2,3,0,0,2,3,5,4,4,4,5,2,3,5,4,2,1,55
"19",685,1,2,2,5,1,2,2,5,1,1,1,2,4,2,2,1,2,2,2,1,1,4,0,20,2,5,4,4,5,3,4,4,4,3,3,4,1,59
"20",417,1,2,3,2,1,5,4,4,2,1,2,4,3,1,2,2,1,3,4,2,1,2,0,0,3,4,5,4,3,4,3,3,3,6,3,3,2,52
"21",421,1,4,2,3,3,1,3,4,3,2,4,1,3,5,2,3,3,1,2,3,2,3,0,5,5,3,6,4,3,4,3,2,2,4,3,3,1,53
"22",560,0,3,1,6,4,3,2,3,2,2,1,3,4,3,2,2,5,2,1,3,3,2,1,5,4,4,5,3,4,3,4,2,4,4,4,4,2,42
"23",623,1,4,3,3,3,1,2,3,2,2,2,2,2,2,2,3,6,1,2,4,1,3,0,20,5,3,4,5,3,4,4,4,3,5,3,4,2,51
"24",629,1,1,1,3,2,2,3,6,3,1,4,2,6,1,2,1,3,1,2,4,2,1,0,10,5,5,2,4,4,4,3,3,4,4,4,4,1,50
"25",217,0,3,3,5,2,4,2,3,1,6,1,2,5,5,2,5,4,2,1,4,2,3,2,20,3,3,3,5,5,5,4,3,4,4,5,4,1,43
"26",587,1,2,5,5,2,1,4,4,3,2,4,4,5,3,2,5,1,3,3,2,1,1,0,1,4,2,5,4,4,3,2,3,3,4,4,6,2,33
"27",425,1,3,1,4,3,1,3,5,1,4,2,4,5,2,2,3,1,2,4,2,2,1,0,10,4,5,5,4,4,2,4,2,3,4,3,5,1,25
"28",111,0,5,1,4,3,3,3,3,3,5,2,1,2,1,2,3,3,1,1,1,1,3,0,5,3,5,4,3,4,3,3,3,3,4,4,3,2,44
"29",519,1,1,5,4,2,3,2,4,2,3,5,4,4,2,2,1,5,2,2,1,4,2,1,20,3,4,4,4,4,3,4,4,3,5,3,6,1,34
"30",163,1,3,1,3,1,1,2,5,3,5,2,5,7,3,2,2,2,2,5,2,1,1,0,5,4,2,5,4,6,6,4,3,3,4,3,2,2,30
"31",397,1,2,2,4,1,4,3,4,1,3,1,1,6,2,2,3,1,1,1,3,1,2,0,30,4,4,4,3,3,3,6,3,3,5,3,6,1,45
"32",266,0,2,1,4,1,3,3,3,1,2,1,2,4,1,2,2,1,2,2,1,2,1,1,15,3,3,2,4,5,5,4,2,4,5,3,3,1,47
"33",556,1,5,3,4,1,2,2,1,2,2,6,4,4,2,2,5,2,1,4,1,3,1,4,20,5,3,3,3,4,2,3,5,4,4,4,4,2,44
"34",94,1,3,3,6,1,2,2,5,3,2,1,1,3,3,2,2,1,1,1,1,2,1,0,5,3,3,5,3,6,2,3,3,5,5,3,2,2,26
"35",519,0,3,2,1,2,3,2,5,1,5,2,1,4,1,2,3,6,3,2,2,2,2,0,5,3,4,5,3,5,5,3,5,3,5,4,4,1,35
"36",494,1,4,3,4,1,1,3,3,3,1,1,2,1,5,2,5,2,1,1,4,1,1,0,10,4,5,6,4,5,3,6,3,5,4,4,5,2,50
"37",692,0,3,2,4,1,2,4,5,1,6,2,6,4,1,2,3,3,3,1,2,1,3,0,5,5,1,4,3,4,5,2,3,3,5,4,4,2,51
"38",433,1,2,2,4,3,3,1,3,5,4,1,4,5,2,2,1,2,2,3,2,1,2,0,3,3,4,4,5,2,3,4,5,4,4,4,4,1,59
"39",720,0,1,5,4,3,3,4,5,2,1,1,3,6,2,2,1,1,1,1,2,1,3,1,0,4,4,5,3,4,4,2,5,4,4,3,5,1,40
"40",325,0,4,4,4,3,2,3,2,3,3,1,2,5,1,2,5,4,2,1,1,1,2,0,5,5,4,5,2,3,3,3,5,3,2,5,3,1,49
"41",572,1,3,1,2,1,5,2,3,2,2,1,2,5,4,2,1,1,2,1,1,1,1,1,3,1,3,6,4,4,5,1,4,3,3,5,2,1,29
"42",388,1,3,4,3,3,2,3,6,2,5,2,1,6,2,2,2,2,4,2,1,2,1,1,30,4,3,5,3,2,4,2,2,4,3,4,3,1,45
"43",663,1,2,4,3,4,3,2,4,1,1,1,6,5,1,2,1,2,2,1,2,3,1,1,5,4,4,5,4,5,3,4,4,3,2,4,4,1,43
"44",720,1,1,2,2,4,2,4,3,3,4,4,4,3,3,2,1,1,2,3,4,1,2,0,10,4,4,4,4,5,5,5,3,3,5,4,4,1,53
"45",266,0,2,3,4,2,2,3,4,2,5,2,3,1,1,2,4,4,4,1,2,1,3,0,0,2,3,5,2,3,4,4,3,3,4,4,3,1,38
"46",427,1,4,3,6,1,3,4,3,2,2,1,4,4,2,2,6,2,3,1,4,2,1,0,45,4,3,3,4,6,4,3,5,4,2,4,3,1,49
"47",358,1,3,2,4,2,3,4,5,3,1,1,3,2,1,2,2,1,1,1,2,3,1,0,0,4,3,5,3,3,3,2,4,4,5,3,4,1,61
"48",140,0,2,3,3,2,3,2,5,2,1,1,3,1,3,2,4,1,2,4,3,2,4,2,15,5,4,1,2,3,2,3,4,3,4,3,2,2,35
"49",525,1,2,4,3,3,3,2,6,1,4,2,4,6,4,2,1,3,3,2,2,1,5,3,0,2,4,3,5,5,3,5,4,2,3,4,4,1,52
"50",405,1,2,2,3,1,1,3,3,1,2,1,7,5,3,2,3,1,2,1,3,1,2,0,10,4,3,4,4,4,4,5,3,4,5,6,3,1,40
"51",479,0,5,5,2,1,2,3,6,3,5,2,5,5,2,2,5,2,2,4,4,1,3,0,10,1,5,5,5,4,2,3,2,3,4,2,5,1,38
"52",346,1,4,3,4,2,3,1,5,1,1,3,3,4,2,2,3,2,2,1,2,3,2,0,2,3,3,5,4,4,4,3,3,3,3,3,5,2,33
"53",378,1,1,1,3,2,4,5,4,1,3,1,7,4,3,2,3,1,2,1,1,2,2,0,2,3,3,5,4,2,5,3,3,4,3,3,3,1,45
"54",581,1,3,4,3,4,1,3,5,3,2,2,3,5,2,2,2,1,3,1,2,2,3,0.5,10,3,3,5,4,3,4,6,4,3,4,3,4,2,56
"55",138,0,1,1,6,1,2,2,4,4,5,2,1,5,2,2,1,3,2,2,1,2,1,0,0,2,4,5,4,4,3,2,4,3,3,5,2,1,59
"56",160,0,2,4,5,2,4,3,2,2,3,5,1,1,2,2,2,2,5,3,2,1,3,0,5,3,4,3,3,4,2,4,4,3,4,4,4,1,45
"57",478,1,2,3,4,2,2,3,3,2,2,3,1,2,1,2,7,1,2,1,2,2,1,0,10,4,3,3,4,4,4,3,4,5,5,3,3,1,46
"58",495,0,1,2,3,3,2,1,4,1,3,2,2,4,2,2,2,1,2,1,3,2,2,0,10,3,3,5,3,4,3,3,4,4,3,3,2,1,35
"59",555,1,3,2,5,1,6,2,5,3,6,1,3,5,2,2,2,2,2,2,4,2,4,0,5,5,2,5,3,3,3,4,3,1,4,2,3,1,64
"60",217,0,2,4,3,3,3,2,3,3,2,1,2,7,3,2,4,1,2,1,3,3,2,1,10,3,3,6,4,4,3,3,5,3,3,4,1,1,56
"61",210,1,3,4,5,3,1,2,5,2,2,1,3,5,1,2,1,3,1,3,1,2,4,5,20,3,3,5,4,3,5,3,4,5,5,3,3,2,53
"62",234,0,3,2,3,2,3,2,3,1,3,1,5,6,1,2,1,2,1,2,1,1,3,0,0,6,3,5,4,4,2,4,4,3,4,5,3,2,25
"63",594,1,2,3,6,2,4,2,4,3,2,1,1,4,3,2,2,2,2,2,4,2,2,0,30,4,4,5,3,3,4,3,3,3,5,3,2,1,26
"64",195,1,2,3,1,2,3,4,6,2,2,1,2,7,5,2,5,3,2,3,1,1,2,0,10,3,4,4,4,3,2,5,4,2,6,3,2,2,45
"65",668,1,1,3,4,1,1,3,4,3,1,2,3,5,7,2,5,2,1,1,3,4,1,0,15,3,4,4,4,4,3,4,4,3,5,4,2,1,51
"66",597,0,2,3,3,1,3,4,6,2,2,2,4,5,2,2,4,2,2,1,4,2,3,0,5,4,4,3,3,5,4,3,4,3,4,3,4,1,48
"67",387,1,2,5,4,2,1,1,3,1,6,2,3,5,1,2,3,1,1,1,2,1,2,0,40,4,3,5,2,4,3,5,3,3,4,4,4,1,61
"68",417,1,3,2,3,2,3,2,5,1,2,1,3,1,1,2,5,7,2,1,1,2,2,2,0,1,4,4,4,4,3,3,6,3,4,3,4,2,63
"69",138,1,1,4,3,2,2,6,5,2,6,1,3,5,5,2,1,1,3,1,1,1,3,0,30,4,3,4,3,3,4,3,4,3,6,4,4,2,45
"70",389,1,3,3,4,2,1,3,3,5,6,1,2,6,1,2,5,2,2,1,2,3,1,0,30,5,3,2,3,2,3,3,4,4,3,4,6,2,32
"71",285,0,4,1,6,2,4,3,6,4,1,1,2,5,4,2,2,2,1,1,1,2,2,0,30,6,3,4,4,2,3,4,5,4,5,4,4,1,36
"72",628,1,1,4,4,3,3,1,6,5,2,1,4,4,2,2,3,5,1,3,1,2,2,1,0,3,3,3,4,4,2,4,3,2,3,4,2,1,59
"73",614,0,4,4,1,4,3,2,3,2,6,3,5,5,1,2,5,2,2,2,1,2,1,0,15,3,3,2,5,6,4,5,3,4,5,2,5,1,50
"74",503,0,1,1,2,1,3,1,5,5,4,1,1,7,3,2,3,3,2,1,2,3,2,1,0,2,3,5,5,3,4,5,4,3,4,5,4,2,53
"75",239,0,1,3,4,2,1,2,3,4,3,6,2,6,3,2,2,1,5,3,4,1,2,0,30,3,3,3,4,5,3,4,3,3,3,3,3,1,53
"76",465,0,3,2,4,2,2,3,4,3,5,1,2,2,1,2,1,2,4,3,1,2,4,0,30,3,3,2,4,4,4,5,2,5,4,3,4,2,45
"77",549,0,1,3,6,2,4,3,3,3,3,2,4,5,2,2,1,4,2,1,1,2,1,0,10,3,3,5,3,3,3,3,3,2,4,4,3,1,41
"78",489,1,3,1,6,2,1,2,4,2,2,5,1,4,1,2,2,1,3,1,1,4,3,1,30,3,4,6,4,2,5,5,4,4,2,2,4,2,21
"79",486,1,2,2,3,3,1,2,3,1,3,1,6,2,5,2,2,2,1,2,1,2,2,0,3,4,4,5,4,4,3,2,3,3,4,4,4,1,51
"80",682,0,2,3,4,4,1,1,5,3,3,2,4,5,3,2,2,2,2,1,2,1,2,0,15,3,3,4,1,5,4,4,4,4,4,4,4,1,44
"81",180,1,3,4,1,2,3,4,2,2,1,2,1,6,2,2,3,6,3,1,2,1,1,0,40,4,3,5,3,2,5,4,2,4,4,3,3,1,37
"82",422,0,4,5,4,2,2,3,5,4,2,2,5,1,2,2,3,2,4,1,2,1,1,0,30,3,4,5,5,3,2,3,4,3,4,3,4,1,34
"83",352,0,2,4,3,5,2,3,4,5,2,2,5,4,4,2,3,1,1,1,4,1,1,0,5,4,4,2,4,4,4,4,4,5,4,4,3,1,40
"84",592,1,2,4,4,3,2,4,3,2,5,4,4,4,3,2,4,4,1,4,1,2,2,0,20,4,1,4,4,5,3,4,3,4,4,3,3,1,46
"85",324,1,2,1,6,3,4,2,6,1,3,1,1,3,2,2,1,4,1,2,4,2,4,0,30,4,4,4,5,5,3,6,4,4,4,2,4,1,55
"86",127,1,1,1,4,1,2,3,4,1,5,1,4,3,1,2,1,1,2,4,2,2,2,0,40,4,3,5,3,3,4,5,4,3,5,3,4,1,45
"87",633,1,3,3,3,2,2,2,5,3,5,2,3,5,3,2,1,1,2,1,3,2,2,2,30,3,4,4,3,4,3,4,4,4,6,3,4,1,50
"88",268,0,1,3,2,1,4,3,3,4,3,1,2,6,1,2,1,2,1,2,1,3,4,0,15,2,3,4,5,3,4,4,5,3,5,4,4,2,57
"89",555,0,1,1,4,2,1,3,4,1,6,5,1,3,3,2,1,5,2,2,4,1,2,1,10,5,5,4,4,5,4,4,2,3,5,2,5,2,75
"90",106,1,3,1,6,4,2,3,3,2,1,5,2,4,3,2,2,4,2,1,2,2,2,0,1,3,3,2,3,5,2,6,3,4,3,3,4,1,39
"91",654,1,3,2,1,2,4,2,5,3,1,1,2,4,3,2,4,2,1,1,1,2,3,0,10,3,2,3,4,3,2,5,2,3,4,3,3,1,49
"92",330,0,1,1,4,2,2,1,5,3,1,2,2,3,2,2,1,2,4,4,1,3,2,0,5,5,3,4,4,5,3,4,3,2,4,2,4,2,77
"93",317,1,1,2,4,4,1,1,6,1,2,2,3,5,1,2,3,2,4,2,2,2,1,0,5,3,3,3,4,4,4,3,4,4,5,3,2,1,47
"94",140,0,2,3,3,3,3,2,2,5,1,2,1,2,2,2,1,1,1,2,4,2,4,1,3,2,4,5,4,2,3,3,4,4,4,3,4,1,21
"95",327,1,2,2,1,2,2,1,4,3,3,1,6,1,5,2,3,2,2,1,3,2,2,0,15,3,4,6,4,5,3,4,4,5,4,3,6,1,43
"96",197,0,1,1,4,1,2,3,3,1,4,1,1,5,1,2,4,2,1,4,3,2,3,0,40,3,2,4,5,3,6,3,4,4,4,3,4,1,61
"97",493,0,3,5,1,2,3,2,5,3,2,2,5,5,4,2,2,1,2,1,4,1,2,1,30,4,2,5,5,3,2,4,4,2,4,3,3,1,41
"98",287,1,3,3,6,3,2,1,3,1,2,2,5,5,1,2,2,1,1,1,1,1,3,0,0,2,5,4,4,5,2,3,3,3,3,2,3,1,45
"99",514,1,2,1,3,1,1,1,5,1,3,2,1,7,1,2,1,2,2,1,1,1,2,0,0,4,4,4,5,3,1,4,3,3,5,4,4,1,61
"100",164,1,3,2,2,1,2,3,3,1,4,1,4,3,1,2,2,2,2,2,2,1,2,0,5,2,5,5,6,3,4,3,3,3,5,4,4,1,33
"101",191,0,5,1,4,2,3,2,3,2,4,1,1,5,1,2,7,1,1,2,3,1,3,3,30,4,3,2,4,4,5,2,4,4,4,5,2,2,49
"102",545,0,1,2,3,4,5,1,5,4,1,1,4,1,4,2,2,3,1,3,3,2,2,0,0,4,4,2,6,2,4,2,3,2,5,3,3,1,58
"103",652,0,3,2,4,1,3,2,3,4,2,2,6,2,2,2,1,2,1,4,1,2,2,1,30,4,3,3,4,2,4,3,3,2,4,5,3,2,40
"104",647,1,2,2,4,3,1,1,6,3,1,1,5,5,2,2,1,2,1,3,2,1,1,0,0,4,3,4,4,5,4,4,4,3,3,4,4,1,37
"105",517,1,5,2,2,2,2,2,3,5,4,3,2,2,2,2,3,2,4,4,4,3,1,0,1,3,2,4,6,3,4,4,3,4,4,5,4,2,66
"106",453,0,5,5,2,1,3,2,3,2,5,2,3,5,1,2,4,3,4,2,1,1,2,1,30,2,4,4,3,5,5,3,3,5,4,4,3,1,57
"107",455,0,3,1,2,1,4,3,4,3,1,2,5,5,3,2,5,6,1,1,2,2,2,0,20,4,3,4,4,2,4,5,3,4,3,3,4,1,58
"108",251,0,4,1,3,2,3,2,6,3,2,6,2,3,2,2,2,1,2,1,3,2,3,0,10,4,2,5,3,3,3,4,4,3,3,4,3,2,53
"109",299,1,1,5,3,1,1,1,5,3,2,1,6,4,1,2,6,1,2,2,4,3,2,0,30,4,3,4,2,2,4,2,3,3,3,4,4,1,48
"110",397,0,3,3,3,2,3,1,5,5,1,1,3,4,5,2,4,1,1,4,2,1,1,0,30,3,2,2,3,4,3,4,4,3,5,2,2,1,49
"111",539,0,2,4,5,1,3,2,5,2,1,1,5,5,1,2,3,1,1,1,4,1,3,0,20,4,3,4,4,4,3,5,5,2,2,3,3,1,29
"112",641,1,1,4,3,3,1,4,4,3,2,5,3,4,5,2,3,1,2,1,1,3,2,0,5,3,4,5,5,4,5,5,4,3,4,3,6,2,77
"113",583,1,3,2,3,2,1,2,3,4,2,1,1,1,2,2,3,2,4,2,4,1,1,0,15,3,4,6,2,4,4,3,4,1,5,3,3,1,48
"114",461,0,1,4,6,3,1,1,6,1,2,1,1,5,3,2,3,4,4,1,1,1,1,0,30,3,4,5,4,5,3,3,2,5,3,2,3,2,22
"115",499,0,3,5,6,2,3,1,3,1,6,1,4,1,3,2,5,6,1,1,4,2,2,0,5,4,4,4,4,3,5,1,3,2,3,1,3,1,54
"116",545,0,1,5,3,2,2,3,3,4,2,5,5,6,3,2,1,1,1,2,2,2,2,0,5,6,1,6,4,2,4,4,5,3,3,4,4,2,50
"117",317,0,5,3,2,1,1,4,3,3,5,2,4,1,1,2,1,4,1,1,1,2,2,0,0,3,3,3,4,4,4,4,4,1,4,3,4,2,42
"118",674,1,3,1,3,1,3,1,3,1,2,1,2,4,1,2,1,1,4,1,2,1,2,0,0,4,5,2,5,2,5,4,4,3,4,3,4,1,67
"119",707,1,3,3,4,2,2,6,3,2,4,5,1,4,5,2,3,4,2,1,2,1,1,0,40,4,4,5,4,4,4,3,4,4,4,2,4,2,46
"120",597,1,3,4,5,3,3,3,3,4,2,5,1,5,5,2,4,6,3,1,2,1,2,1,30,4,3,5,4,3,5,3,3,3,4,2,3,1,68
"121",660,1,3,2,5,2,3,3,5,1,2,3,3,6,1,2,4,2,1,2,1,4,2,0,30,3,3,4,4,3,4,4,5,1,5,4,4,2,71
"122",573,0,4,3,6,1,5,3,4,2,2,1,4,1,1,2,1,1,3,4,4,1,2,2,40,4,4,3,4,4,4,4,2,4,5,4,4,2,28
"123",120,1,3,3,4,1,3,3,3,1,1,4,1,6,2,2,6,1,2,2,3,1,4,0,30,4,3,5,5,4,5,4,4,3,2,2,5,1,44
"124",311,0,5,3,3,1,1,2,5,2,3,1,5,1,5,2,1,1,1,2,5,3,3,2,20,5,6,3,3,6,3,5,4,5,5,3,3,1,24
"125",394,0,4,5,5,3,5,3,5,5,6,1,4,1,1,2,1,3,3,2,1,3,2,0,0,3,3,5,3,5,4,3,5,5,4,3,4,1,40
"126",699,0,3,4,4,1,1,1,5,1,1,3,1,5,4,2,5,1,1,2,2,3,2,0,20,3,3,4,3,4,6,4,3,4,4,3,3,1,19
"127",288,1,4,2,4,1,2,4,3,1,5,2,4,6,4,2,4,4,1,1,1,1,1,1,0,3,3,5,4,4,4,3,4,5,3,5,2,1,50
"128",383,1,2,2,3,4,4,2,5,1,1,2,1,5,1,2,4,3,1,2,4,1,1,0,15,3,2,5,4,4,5,3,3,3,4,5,3,1,26
"129",455,0,2,2,4,1,2,3,2,2,5,1,4,6,1,2,3,1,3,4,2,1,1,0,20,5,3,4,5,4,5,3,4,4,4,3,4,2,36
"130",442,1,6,3,5,2,3,2,4,1,1,1,3,5,6,2,3,2,1,3,3,1,3,1,20,3,3,3,2,4,4,3,4,2,4,2,4,1,63
"131",661,0,3,6,4,1,2,3,2,4,5,1,4,1,2,2,2,2,2,4,2,1,2,0,0,4,4,2,5,4,5,4,3,5,4,4,4,2,41
"132",610,1,4,4,4,1,6,3,2,2,1,1,4,1,2,2,5,4,4,1,3,2,3,1,30,3,2,5,5,3,2,3,4,4,4,4,3,1,53
"133",344,1,3,2,3,4,4,2,5,1,3,1,4,1,3,2,1,1,1,1,4,3,2,0,15,3,5,4,3,3,4,3,4,2,2,3,2,2,47
"134",250,1,3,1,3,2,2,2,3,7,2,5,1,1,3,2,2,1,2,1,4,1,2,0,30,4,3,4,4,4,3,4,2,3,3,2,5,1,45
"135",476,1,4,3,1,2,1,2,4,1,1,5,2,1,3,2,5,4,1,2,2,2,2,0,1,4,3,4,6,4,5,3,5,2,4,2,3,1,49
"136",218,1,1,2,1,2,1,1,4,3,2,1,4,1,2,2,1,4,2,3,3,1,3,0,10,2,5,5,5,4,5,3,4,6,2,2,3,1,36
"137",163,1,3,3,5,2,3,2,4,1,2,1,2,4,1,2,6,1,4,2,1,2,2,0,33,4,4,4,5,2,3,4,3,3,3,4,3,1,40
"138",670,1,2,4,4,2,2,1,4,5,1,3,3,3,1,2,5,1,2,1,3,1,3,0,0,3,1,4,4,3,5,4,5,2,4,2,3,1,44
"139",535,1,2,1,5,3,4,2,3,3,2,1,2,4,1,2,1,1,1,2,2,1,2,1,1,3,3,4,5,4,5,3,4,4,6,4,1,1,21
"140",252,1,3,1,4,4,2,1,3,5,4,1,3,3,1,2,1,1,3,2,2,3,1,0,40,3,3,4,3,4,3,3,4,3,4,3,1,1,55
"141",389,0,3,3,2,2,1,2,3,3,1,1,2,5,5,2,2,6,3,1,4,1,3,0,15,4,1,4,4,3,3,4,3,4,5,3,3,1,65
"142",469,0,1,3,6,4,2,2,3,1,3,1,3,4,3,2,5,1,2,1,2,1,3,0,20,3,4,4,3,4,2,3,4,4,4,4,3,2,59
"143",656,1,4,3,5,1,1,4,2,2,5,1,3,4,2,2,2,5,3,3,2,1,4,0,5,4,2,4,3,4,2,5,3,3,4,3,3,1,63
"144",104,1,2,3,6,1,3,3,5,4,1,3,4,4,3,2,1,2,3,2,1,1,3,3,3,3,2,5,4,4,4,3,5,4,3,3,5,1,38
"145",430,0,4,5,5,2,1,2,5,1,5,1,2,5,2,2,3,1,3,1,1,1,2,0,30,3,4,4,4,3,3,4,4,5,5,3,3,1,53
"146",401,0,4,1,3,2,3,4,3,2,1,2,1,2,4,2,3,2,1,2,2,1,2,1,1,3,3,5,3,5,3,3,5,1,4,3,3,2,50
"147",227,1,2,2,6,2,1,3,3,3,2,3,1,5,4,2,4,1,2,1,1,2,2,2,10,3,4,5,4,2,1,2,4,4,4,3,4,1,63
"148",133,0,1,1,2,4,2,3,5,1,4,1,4,3,4,2,4,2,3,1,2,4,2,1,30,4,4,3,4,4,1,2,4,3,5,1,4,1,62
"149",366,0,3,2,5,4,3,2,3,1,1,1,5,5,1,2,5,1,4,1,1,2,1,0,60,4,2,4,5,3,3,2,3,1,5,4,3,1,28
"150",224,1,1,2,6,2,2,4,6,3,4,1,5,2,1,2,5,4,3,2,2,3,3,3,15,3,2,3,3,4,4,2,3,4,3,4,3,1,65
"151",163,1,1,4,5,4,3,3,3,4,1,3,4,4,1,2,3,4,3,2,1,1,3,0,0,5,4,4,3,3,4,5,3,5,4,3,4,4,45
"152",650,0,1,4,4,2,2,1,4,2,1,1,1,7,2,2,6,3,1,1,1,1,4,0,10,4,2,5,4,4,3,4,4,5,3,3,3,1,52
"153",428,1,2,3,4,1,2,2,3,1,3,2,2,1,1,2,1,4,2,1,2,2,2,0,0,4,4,5,6,3,3,3,5,3,5,3,3,2,56
"154",323,1,1,2,3,3,1,3,3,4,1,3,1,6,3,2,3,2,2,1,4,2,3,0,0,3,2,4,3,4,2,4,5,3,4,4,5,1,35
"155",435,1,2,2,2,1,1,2,3,3,5,1,4,5,2,2,2,1,3,2,1,3,1,0,10,4,4,5,4,3,5,4,4,3,1,4,6,2,42
"156",436,0,1,3,3,2,1,1,3,2,5,4,2,4,3,2,2,1,1,2,1,1,1,1,0,4,2,3,4,4,5,3,3,4,4,4,5,1,54
"157",285,1,5,1,4,4,4,4,3,3,5,1,3,5,1,2,2,2,2,2,1,1,4,3,10,4,3,4,5,2,4,3,4,4,3,3,2,1,37
"158",682,1,2,4,3,3,3,3,2,6,1,1,4,5,1,2,5,1,2,1,2,1,2,2,10,2,5,2,4,2,5,4,5,4,3,4,4,2,61
"159",416,0,3,2,3,1,3,2,3,1,2,1,4,4,1,2,5,3,2,1,4,2,1,0,10,4,3,4,4,4,4,3,3,3,3,4,3,2,43
"160",273,0,1,4,4,2,1,4,5,1,3,3,1,4,2,2,5,5,1,2,2,2,3,1,10,4,2,4,5,3,3,3,2,3,2,3,2,1,48
"161",252,0,3,2,4,1,4,3,4,2,6,1,2,1,2,2,2,4,1,1,1,2,4,0,5,3,2,4,4,3,5,3,4,5,5,3,4,2,47
"162",691,1,3,2,4,1,2,2,3,1,1,2,2,6,5,2,4,3,1,2,1,1,1,2,10,4,4,5,4,4,3,5,4,3,4,3,3,2,42
"163",169,0,3,1,5,1,3,1,5,2,3,1,5,6,1,2,1,4,2,1,1,3,2,0,0,4,3,4,4,4,4,4,3,3,4,4,4,1,57
"164",419,0,3,5,1,2,4,3,4,4,4,1,2,4,1,2,1,2,3,1,1,2,3,0,20,4,4,2,4,3,4,5,2,3,4,4,4,1,48
"165",525,1,4,2,4,2,3,2,3,2,2,1,5,3,2,2,1,3,1,3,3,1,3,0,10,4,4,4,3,5,4,5,3,3,4,3,3,1,57
"166",243,1,2,2,6,1,3,4,3,1,5,1,4,6,6,2,2,3,2,3,2,3,3,1,15,4,2,3,4,3,4,4,4,3,4,3,2,2,35
"167",163,0,1,1,4,1,2,1,5,1,1,1,5,5,2,2,2,6,1,2,2,1,1,0,45,4,4,5,5,3,3,3,4,4,2,4,3,1,65
"168",220,1,2,1,4,1,3,2,4,4,5,2,1,5,4,2,6,5,4,3,4,4,3,0,15,4,2,3,4,3,4,3,3,5,5,3,4,1,43
