"","id","low_rep_est1","low_rep_est2","low_rep_est3","low_rep_est4","low_rep_est5","low_rep_est_all","low_rep1","low_rep2","low_rep3","low_rep4","low_rep5","low_rep_all","addiction1","addiction2","addiction3","addiction4","addiction5","addiction6","addiction7","addiction8","dependency1","dependency2","dependency3","dependency4","dependency5","line_time_hour","line_time_minute","extroversion1","extroversion2","network1","network2","network3","network4","lonely1","lonely2","lonely3","lonely4","lonely5","lonely6","rm1","rm2","rm3","rm4","rm5","rm6","rm7","rm8","rm9","rm10","rm11","rm12","sex","age"
"20",1125,4,2,1,3,1,6,2,2,4,3,4,3,1,1,3,1,4,7,3,2,1,1,2,2,1,0,0,3,2,3,2,2,3,1,4,2,4,3,1,4,3,5,3,4,3,2,4,4,4,6,2,1,31
"21",929,3,2,4,4,3,3,2,2,3,4,2,4,3,2,1,4,4,3,2,3,4,2,2,1,1,1,0,4,3,4,6,7,2,2,3,1,3,3,3,1,4,4,3,4,5,4,3,4,5,1,3,1,57
"22",756,5,2,1,2,3,4,4,1,4,4,2,4,3,3,1,1,2,4,1,4,3,2,3,1,3,1,5,5,5,5,1,4,1,3,2,3,4,4,2,3,4,3,4,4,4,3,4,2,4,4,3,2,61
"23",1051,4,2,3,2,5,4,4,3,1,1,3,4,1,1,1,2,1,1,6,1,1,3,3,2,3,1,20,2,3,2,4,4,1,5,2,3,2,4,3,2,3,5,3,1,3,4,3,3,4,3,3,1,58
"24",1501,3,5,3,4,4,3,3,3,4,2,4,4,3,3,5,3,5,2,2,3,2,1,1,1,1,0,30,5,6,2,4,5,6,4,3,1,3,3,2,1,3,3,4,2,3,3,5,3,4,2,1,1,29
"25",466,1,1,1,3,2,2,3,2,4,1,3,4,2,3,5,2,4,2,6,1,1,1,1,2,2,0,5,2,3,3,5,4,5,3,4,3,5,2,2,4,3,5,3,4,2,3,5,2,4,2,6,1,51
"26",1305,4,4,5,3,4,4,2,4,5,1,3,4,2,5,5,4,4,3,5,3,2,2,4,1,2,2,0,2,3,1,4,4,4,3,2,2,4,3,3,2,5,2,4,2,4,5,6,4,3,2,4,2,58
"27",733,3,2,4,4,4,3,3,2,2,2,3,4,3,4,1,5,5,1,2,2,4,2,1,1,1,0,0,1,3,4,5,4,1,1,4,3,3,3,3,4,3,4,2,5,4,4,3,3,5,5,4,2,47
"28",370,4,3,2,3,3,6,3,4,3,3,1,4,3,1,1,6,5,1,3,5,2,1,2,2,3,1,5,5,3,5,4,2,3,3,2,2,4,2,3,3,4,5,6,5,4,5,4,4,3,3,3,1,20
"29",347,4,2,1,5,2,2,3,4,2,4,4,2,3,5,1,4,5,3,2,1,1,1,2,2,2,0,5,3,3,4,2,2,2,3,2,4,4,2,3,3,4,3,3,2,5,4,3,4,3,3,4,1,54
"30",1199,4,5,4,3,3,3,3,2,4,2,1,2,3,1,1,7,5,3,5,3,1,2,2,3,2,0,0,2,3,5,5,7,5,3,2,3,5,4,2,5,4,4,6,4,4,3,3,4,5,4,2,2,52
"31",1222,5,4,4,1,3,4,4,3,4,3,3,1,2,3,5,4,2,1,1,2,2,2,2,2,3,0,0,1,5,7,5,6,4,5,3,4,5,3,3,4,3,3,3,4,4,4,5,4,4,4,3,1,64
"32",762,3,4,3,3,3,3,2,1,1,1,3,4,2,6,1,2,3,1,5,2,2,2,1,1,4,1,15,3,4,3,5,3,4,4,3,4,4,3,1,5,3,5,3,3,4,4,4,4,1,2,4,1,40
"33",684,1,2,3,2,5,3,4,2,1,4,1,2,1,2,4,1,1,1,3,2,1,2,2,3,4,0,0,2,4,4,3,4,2,3,2,1,2,5,4,4,4,2,5,5,4,5,4,3,4,4,4,2,57
"34",489,3,2,4,1,2,4,1,4,1,2,3,4,3,4,1,4,5,1,2,1,4,2,1,1,2,0,10,2,5,3,5,6,2,5,3,1,2,2,3,3,3,4,4,6,3,2,3,2,6,4,4,1,37
"35",1406,3,2,5,3,3,4,1,4,3,4,2,4,3,3,4,3,5,1,3,4,2,2,4,1,1,0,20,3,4,1,1,2,2,4,2,2,4,1,4,4,5,3,3,4,1,3,4,4,4,2,4,1,70
"36",1167,4,5,2,6,1,4,5,2,2,2,1,4,1,1,1,3,3,3,3,3,2,2,4,2,2,0,5,2,4,1,3,3,6,5,2,1,2,2,1,5,3,3,2,3,4,4,4,3,4,4,4,1,45
"37",1576,2,6,3,1,3,4,3,3,2,2,1,2,3,4,1,3,5,4,1,3,4,1,1,1,1,0,0,1,5,2,5,2,3,2,3,2,2,3,4,5,4,2,4,5,3,4,5,4,2,6,4,1,33
"38",445,3,4,3,4,4,5,3,4,3,3,2,4,3,2,1,3,2,1,2,7,3,2,1,1,2,0,15,3,3,1,3,6,6,3,2,3,2,5,2,1,4,4,3,5,4,3,5,3,4,3,4,2,54
"39",1170,6,2,2,4,3,5,1,3,3,3,2,1,3,1,1,3,1,1,1,2,2,2,1,1,2,1,10,5,4,3,4,4,4,3,2,3,3,4,4,4,4,5,3,5,4,5,3,3,3,4,2,1,58
"40",1466,2,6,3,4,2,5,3,3,5,2,3,4,5,1,1,4,2,1,7,2,2,1,4,4,2,1,0,1,6,5,2,4,2,4,1,2,5,3,4,4,4,4,4,4,3,4,4,3,5,4,3,2,53
"41",1436,2,1,6,5,3,2,4,3,2,1,4,4,2,3,4,5,3,3,3,3,1,1,3,1,2,0,0,5,3,6,4,5,5,2,2,2,4,4,2,5,6,4,3,6,3,5,3,4,3,4,4,1,66
"42",551,1,1,4,3,4,2,6,4,3,4,3,2,3,2,2,2,3,3,1,1,1,3,1,1,2,0,30,2,1,4,4,4,4,3,3,3,5,2,2,5,5,4,4,5,3,3,5,6,3,6,4,1,45
"43",361,3,4,3,4,1,1,1,4,3,3,2,5,4,1,5,3,5,2,1,1,1,5,1,2,2,1,0,2,7,2,1,2,3,3,3,5,2,3,2,3,2,5,5,4,3,3,3,4,3,3,4,1,45
"44",1183,5,4,3,4,2,2,1,2,1,4,1,1,4,3,1,3,6,1,5,1,3,4,1,2,3,0,0,4,2,3,5,3,6,5,3,1,2,4,2,5,5,3,2,5,3,4,5,4,2,3,4,1,29
"45",928,3,4,4,3,3,4,3,3,4,1,3,4,2,3,1,5,6,1,2,1,1,3,2,1,1,0,30,2,4,2,2,4,5,3,5,2,4,3,5,4,4,3,3,4,2,5,3,4,4,4,3,1,51
"46",1472,4,4,3,2,2,4,5,3,3,2,3,4,4,2,2,4,5,6,1,5,2,1,3,2,4,0,5,2,3,5,4,5,4,2,2,2,4,3,3,6,3,5,5,4,5,4,3,3,3,6,4,1,45
"47",897,4,4,3,4,5,4,4,2,4,1,3,2,2,3,1,5,4,5,3,1,4,1,2,1,1,0,30,4,7,4,1,3,2,1,1,3,2,2,2,2,4,4,3,4,3,4,5,4,5,3,4,1,46
"48",1362,4,1,4,3,1,4,1,2,1,3,3,2,3,2,4,1,4,4,1,1,1,1,2,2,1,0,5,5,5,3,2,5,3,3,4,3,1,5,3,3,2,4,5,2,3,4,5,4,4,5,4,2,45
"49",611,4,5,4,5,3,4,3,3,4,2,1,4,1,3,1,2,5,5,3,2,4,2,2,1,3,0,40,1,6,5,5,3,5,3,1,3,3,2,3,5,3,4,3,4,4,4,4,4,3,3,3,1,63
"50",598,5,4,4,1,4,5,3,3,4,3,3,4,2,1,1,5,3,3,6,1,2,2,1,2,1,0,0,4,3,3,3,4,2,2,3,3,5,3,4,5,3,5,3,4,4,1,3,4,2,4,3,2,48
"51",1625,2,4,4,5,1,4,4,4,2,2,1,1,3,1,1,3,5,1,5,1,4,2,1,2,3,2,0,2,2,6,4,4,1,1,2,5,3,2,2,4,2,3,3,3,4,4,4,4,4,3,3,1,34
"52",920,5,2,4,1,2,4,3,2,3,2,1,3,4,2,1,3,5,2,4,3,2,2,1,1,2,1,2,2,4,1,5,2,4,3,3,3,2,1,1,3,3,4,4,2,4,3,4,4,3,3,4,2,45
"53",387,4,3,3,2,3,4,4,2,1,3,2,4,3,5,1,4,6,3,1,2,1,1,1,3,3,0,3,1,5,2,3,3,5,3,5,3,3,2,4,4,3,5,3,4,4,4,3,3,3,4,6,1,64
"54",1590,4,3,4,2,4,4,3,4,2,1,2,2,2,1,2,2,4,2,1,1,1,1,2,2,2,0,0,3,3,2,4,6,5,3,3,2,2,3,3,3,3,4,3,6,3,4,2,4,3,4,4,1,35
"55",495,6,6,3,4,4,4,2,4,2,3,2,1,3,3,1,3,5,2,6,4,1,3,1,1,1,0,0,5,3,4,4,7,5,1,3,3,4,4,2,4,2,2,2,5,4,3,3,3,3,4,4,1,55
"56",1298,2,2,1,3,4,3,1,1,4,3,2,2,2,1,6,2,3,4,1,3,3,1,2,1,1,0,0,4,3,3,4,5,4,1,3,1,4,4,4,5,2,4,6,4,4,3,3,4,3,4,4,2,64
"57",453,1,3,5,4,4,4,1,4,3,1,1,4,1,6,2,2,2,5,1,1,4,1,2,2,3,0,0,3,3,5,4,3,5,3,2,2,4,2,1,3,3,4,4,3,3,5,4,3,4,3,3,2,45
"58",1534,4,5,4,4,3,5,3,5,4,3,3,4,3,1,1,3,3,2,1,3,1,1,2,1,1,0,5,3,3,4,4,5,3,2,3,2,4,2,4,4,3,3,4,1,3,3,3,5,5,4,4,1,53
"59",475,6,2,1,3,4,4,2,4,1,3,3,4,2,1,2,1,5,1,2,3,4,2,3,2,2,0,0,3,7,6,2,3,5,3,3,1,3,4,3,3,6,3,3,4,5,4,3,5,4,4,3,1,44
"60",1766,3,4,3,4,2,1,2,4,5,3,2,2,5,1,2,4,4,2,4,1,2,3,3,2,4,1,10,4,4,4,3,2,3,1,1,1,4,5,4,4,2,5,3,4,4,2,4,3,4,3,3,1,45
"61",608,3,3,1,2,6,3,2,3,3,2,3,4,1,2,1,3,5,6,2,4,2,2,3,1,4,0,10,4,4,4,2,5,1,2,3,3,4,4,2,3,3,4,4,4,4,4,4,3,3,4,3,1,45
"62",713,4,4,1,1,3,4,4,1,1,4,1,2,2,1,1,3,4,2,1,1,2,1,4,1,1,0,20,3,5,4,2,4,3,3,3,1,2,2,4,5,4,5,2,4,3,4,4,4,2,3,3,1,45
"63",1177,3,3,3,3,1,4,3,2,3,2,3,2,1,2,2,3,1,3,5,1,2,2,2,2,2,0,0,2,4,1,2,4,5,4,3,1,4,5,3,4,3,5,4,4,4,4,4,4,5,3,3,1,46
"64",1491,4,4,2,3,3,4,6,2,1,3,4,3,2,1,2,2,4,2,2,1,1,1,2,3,2,0,40,5,6,6,2,2,4,4,3,2,5,3,4,4,4,6,4,2,1,2,3,3,4,3,4,2,33
"65",1777,1,3,4,4,3,3,4,1,4,4,4,4,2,1,3,3,4,1,2,4,3,2,3,3,1,0,30,5,3,2,2,1,3,4,2,4,3,1,3,4,3,4,4,2,3,5,3,3,4,3,4,2,41
"66",1700,3,5,3,2,3,4,1,4,3,2,3,4,5,1,1,4,5,3,1,3,2,2,2,1,3,0,0,5,4,6,2,1,4,3,1,3,2,3,2,3,3,5,3,4,3,4,4,3,4,3,4,2,63
"67",1071,2,4,4,3,4,4,5,1,3,2,2,4,2,1,2,1,6,2,4,3,2,2,3,2,2,1,30,3,2,2,2,1,3,3,3,3,2,2,3,5,3,4,4,4,3,3,2,3,3,2,4,1,51
"68",1673,1,4,1,3,3,4,1,2,3,4,1,2,3,2,6,5,5,1,1,1,1,1,3,2,2,0,30,3,6,5,2,1,2,2,4,1,4,4,3,5,3,3,4,5,3,4,3,3,3,3,3,1,39
"69",1734,3,3,1,4,3,3,2,1,3,3,2,4,3,5,1,1,6,1,3,1,2,2,3,3,3,0,10,1,4,2,4,4,3,4,2,3,3,3,5,3,2,4,4,4,3,3,3,3,5,3,3,2,71
"70",1432,3,4,4,4,6,5,3,1,2,4,2,4,3,3,5,3,6,1,4,1,2,1,4,1,2,0,0,4,2,2,4,5,5,3,4,1,4,4,2,3,5,4,2,3,3,3,3,3,5,2,4,1,54
"71",805,3,2,2,4,1,3,3,1,1,2,4,4,2,5,3,3,5,1,1,2,1,2,1,4,2,0,15,2,5,3,5,4,5,3,3,1,5,3,3,6,2,3,4,4,3,3,3,3,4,4,5,2,44
"72",225,3,3,3,3,4,4,3,3,4,2,2,4,1,1,2,2,5,1,2,4,1,1,4,2,1,0,30,3,5,3,1,4,1,4,3,3,4,4,4,3,4,3,4,6,5,4,3,3,4,3,5,2,43
"73",436,4,1,5,4,3,6,3,1,2,1,3,5,1,1,3,6,5,2,3,4,1,2,2,1,2,2,15,3,2,5,2,1,6,2,2,2,4,4,3,3,4,4,3,3,4,5,4,2,3,3,2,1,52
"74",1275,4,4,3,3,3,6,3,3,3,4,1,3,2,5,1,6,2,1,5,4,2,3,2,4,2,0,5,2,4,4,3,3,1,2,2,3,4,3,3,4,4,3,3,3,3,6,4,4,5,4,4,1,62
"75",341,1,3,3,2,4,4,3,2,5,3,1,3,2,3,2,3,4,2,3,1,4,2,1,2,1,0,5,4,4,4,4,4,5,2,5,1,5,5,2,2,5,4,4,2,3,5,4,2,4,3,3,1,62
"76",1037,3,3,5,1,3,4,4,4,2,3,2,4,2,2,1,1,1,1,2,3,2,3,1,2,2,1,10,6,4,3,5,4,2,3,1,2,5,2,3,3,2,5,3,2,2,3,4,2,4,3,3,1,67
"77",1625,4,3,2,1,4,4,1,5,5,3,5,5,2,3,3,1,3,2,2,2,1,2,2,2,4,0,15,5,3,6,1,6,5,3,5,3,4,2,5,2,2,6,4,4,5,3,3,4,5,5,3,1,54
"78",1135,4,2,2,2,4,4,1,3,1,3,3,4,3,1,1,3,2,1,2,1,3,3,2,3,3,0,10,4,3,5,4,5,1,2,4,1,4,4,4,4,3,3,4,4,4,4,4,3,1,3,3,1,47
"79",1586,3,5,4,1,3,4,2,3,2,1,1,1,1,1,1,2,2,1,2,3,3,4,2,1,2,0,0,1,1,4,4,5,5,4,2,2,3,2,3,4,3,4,4,4,4,4,4,5,6,2,4,1,50
"80",1469,3,4,5,4,4,4,1,1,4,3,2,1,1,5,1,3,2,1,4,2,4,1,3,1,2,0,10,5,6,2,4,2,4,5,2,1,2,2,3,5,5,2,2,3,3,4,5,2,6,3,4,1,46
"81",996,1,1,4,1,5,4,2,3,2,1,6,2,1,6,6,4,2,1,1,1,4,4,1,2,2,0,15,4,5,3,6,4,2,2,2,1,2,3,3,3,3,4,4,4,3,5,3,5,3,3,3,1,53
"82",1242,5,2,6,3,1,3,2,3,3,3,2,4,2,4,1,5,4,3,4,1,4,2,2,1,2,0,15,3,4,5,3,4,5,4,3,4,4,2,3,4,5,4,5,4,4,3,5,1,4,2,4,1,45
"83",446,1,6,5,5,4,4,3,3,3,3,2,4,1,3,2,5,4,1,4,1,1,1,3,1,1,0,15,2,3,1,2,4,4,3,4,2,3,3,3,4,3,1,5,4,2,4,2,3,4,3,3,1,23
"84",1233,5,4,2,3,4,5,3,3,1,2,4,1,3,5,1,2,3,2,2,1,3,1,2,2,2,0,0,6,4,2,5,5,2,3,3,1,3,2,2,4,4,5,2,4,4,4,3,3,4,3,6,1,52
"85",1606,3,3,4,2,3,2,2,1,4,1,1,4,2,5,1,1,4,1,3,4,2,3,2,1,1,1,0,4,3,6,5,5,4,2,3,3,2,2,2,3,3,4,3,4,4,5,6,3,4,4,5,1,62
"86",757,5,5,3,1,3,4,2,1,1,3,2,3,3,1,2,1,4,1,1,4,3,2,2,1,1,2,0,2,4,3,5,5,7,2,3,3,4,5,3,4,4,3,3,3,4,3,3,3,4,5,4,2,32
"87",693,3,2,5,4,5,2,2,2,3,2,3,4,3,5,1,3,6,2,1,3,4,1,1,3,4,0,30,2,5,3,1,4,5,2,3,4,3,2,3,3,4,4,3,4,2,3,3,3,4,3,3,2,30
"88",444,4,2,1,4,3,4,3,4,1,3,4,1,3,2,4,2,1,4,1,4,1,1,2,1,3,0,30,3,1,4,5,2,5,1,2,1,5,3,4,4,2,5,4,4,2,5,3,2,5,3,2,1,70
"89",1136,2,4,4,2,4,4,2,4,1,3,1,4,2,4,2,4,3,1,1,7,3,2,4,2,1,0,10,3,6,2,2,5,6,1,2,2,5,2,1,3,5,6,4,4,3,6,3,3,3,6,4,1,47
"90",800,1,6,2,4,3,4,3,3,2,3,3,4,1,1,2,1,3,1,1,3,1,2,4,1,3,0,30,5,5,1,3,2,4,3,4,3,2,3,4,4,3,5,3,4,4,3,4,3,3,2,3,1,35
"91",256,5,4,4,2,1,2,1,1,4,3,4,2,2,2,2,5,5,4,1,1,2,2,2,1,4,0,10,6,4,2,5,4,3,3,4,4,4,4,2,4,3,3,4,3,3,3,4,6,4,6,4,1,60
"92",1095,3,4,2,5,1,4,3,3,2,2,3,4,1,5,1,2,4,1,1,2,3,1,1,1,2,0,10,2,4,1,5,3,4,3,2,3,3,3,2,5,3,5,5,5,4,4,5,3,4,4,4,1,45
"93",1746,4,3,3,2,1,4,1,2,4,3,1,4,1,3,1,3,5,1,6,6,2,1,1,2,2,2,30,3,5,2,5,2,2,3,3,2,2,3,3,3,3,5,3,5,3,3,4,3,4,4,3,2,37
"94",320,1,5,3,5,1,4,1,4,6,5,3,4,3,3,1,5,4,2,1,2,4,2,3,1,3,0,10,5,7,1,4,4,5,4,1,3,3,5,4,5,5,6,2,4,3,4,4,3,6,4,4,1,51
"95",551,1,1,4,5,3,4,1,2,2,5,2,3,5,5,5,5,5,3,2,3,2,2,1,2,4,1,15,5,7,2,4,2,5,3,2,2,4,3,3,1,3,4,3,5,4,4,3,3,5,5,4,1,60
"96",389,3,4,1,3,1,3,1,4,3,5,4,4,5,1,5,2,5,4,1,3,2,1,1,4,2,0,30,3,5,2,4,6,3,2,3,2,4,2,2,5,4,5,3,3,4,3,4,3,5,3,3,1,30
"97",332,3,1,4,3,2,4,2,1,3,4,1,6,1,2,1,4,6,4,1,1,2,2,1,2,2,0,30,1,5,3,4,3,3,3,2,3,2,5,2,4,5,4,3,5,4,2,5,3,3,4,6,1,54
"98",878,4,3,4,3,4,2,2,3,4,2,3,4,1,4,1,4,5,1,2,1,2,3,4,2,1,0,30,5,3,4,4,4,3,3,4,5,3,3,2,4,4,4,4,2,5,4,4,3,1,3,3,2,23
"99",303,6,5,4,3,3,4,3,3,4,4,1,4,3,1,1,1,6,3,6,3,4,2,1,1,3,0,10,4,2,1,4,5,3,3,1,3,3,3,3,5,4,1,3,4,2,4,3,3,3,2,3,1,26
"100",626,3,4,1,2,3,4,2,3,4,4,2,3,3,5,2,5,4,1,2,3,1,1,1,2,3,0,2,1,5,5,4,2,1,5,2,2,5,3,2,4,3,6,2,6,4,4,6,5,4,4,4,1,41
"101",667,2,4,2,4,2,5,2,3,3,2,2,1,3,1,2,5,3,1,5,2,2,4,2,2,4,0,0,4,6,3,1,1,5,2,3,3,3,2,3,6,3,2,3,4,2,4,4,3,3,3,3,1,60
"102",1329,2,3,2,1,3,3,2,2,3,3,4,4,4,2,3,3,4,1,2,2,3,2,3,2,1,0,30,5,4,4,2,5,3,3,1,2,4,2,3,3,3,4,3,3,4,5,3,3,5,3,2,2,60
"103",992,3,2,5,2,3,4,3,3,1,3,2,3,3,1,3,4,6,2,2,3,4,2,2,3,2,0,0,6,2,4,6,1,4,3,3,1,5,3,2,3,5,3,5,4,3,4,3,4,1,4,4,2,46
"104",1564,4,3,3,5,4,4,3,3,4,3,2,3,1,1,2,3,4,3,2,1,2,1,2,1,1,0,3,4,5,1,4,4,3,4,1,3,2,2,4,2,4,1,4,4,3,3,3,5,3,4,4,1,40
"105",807,5,4,2,4,3,4,3,3,4,3,1,4,3,4,1,4,5,3,2,4,3,4,1,2,2,0,30,2,3,1,1,5,4,3,1,2,2,1,5,4,6,3,5,4,2,3,5,4,3,3,4,1,37
"106",1562,1,3,1,3,4,3,3,3,3,1,2,6,3,1,1,1,1,2,1,5,1,1,3,2,3,0,40,2,5,2,2,5,4,2,3,2,3,3,3,3,3,6,4,3,4,3,4,2,4,4,5,1,37
"107",852,4,2,4,3,3,4,1,1,3,3,1,4,2,3,1,5,2,1,1,1,2,2,2,4,4,0,20,4,2,3,4,3,7,2,2,3,1,2,2,4,3,3,4,3,1,4,3,4,4,4,4,2,53
"108",417,2,4,4,2,1,2,3,4,3,1,3,2,1,3,1,3,4,3,7,2,1,2,4,1,4,1,5,5,6,4,2,7,5,2,2,1,3,2,2,4,3,5,4,2,3,4,4,4,5,3,3,2,46
"109",1572,3,2,5,3,2,3,2,1,3,2,1,2,1,1,1,1,4,5,2,3,1,1,4,1,1,0,3,2,7,1,5,4,1,2,4,3,4,5,3,4,2,4,4,3,4,3,4,4,2,3,4,1,50
"110",1550,1,5,2,4,1,4,2,1,1,3,2,4,2,1,1,5,7,2,1,2,1,1,2,1,2,0,0,1,4,3,6,6,4,4,2,2,3,2,2,4,4,4,4,4,4,3,3,4,4,2,3,2,29
"111",1416,4,4,2,3,6,2,3,4,2,5,5,4,3,6,2,3,5,1,4,1,4,1,4,3,1,0,30,1,5,3,2,1,4,3,3,3,4,4,4,5,3,3,4,4,4,4,3,3,4,3,3,1,25
"112",1357,3,5,5,5,3,4,2,3,4,5,1,2,1,5,2,3,6,2,1,1,1,2,1,1,2,0,1,3,5,4,3,2,6,4,3,4,3,3,3,3,2,3,3,4,4,3,4,4,5,6,4,1,74
"113",1216,3,2,1,2,2,4,3,3,4,2,2,4,1,3,2,2,1,2,1,1,2,2,2,1,2,1,50,1,3,1,5,5,1,1,1,5,5,2,3,2,3,3,4,2,4,4,3,6,4,3,3,1,38
"114",1743,2,3,4,4,4,1,3,3,2,6,5,3,2,3,1,2,2,2,1,3,1,1,4,2,1,0,30,1,4,5,3,5,3,2,2,1,4,2,2,3,2,5,4,3,1,4,3,4,4,3,5,1,66
"115",1351,1,2,4,1,3,1,1,3,1,3,3,4,1,5,1,5,3,2,3,1,3,2,1,2,2,0,0,1,4,3,4,4,1,1,1,1,4,2,4,4,3,4,4,5,4,5,3,3,2,4,4,2,48
"116",656,2,4,4,3,4,3,2,3,1,3,4,2,4,1,1,2,5,1,2,3,1,1,1,2,3,0,40,6,6,5,5,1,6,2,1,2,3,2,3,4,2,3,2,4,3,4,3,4,5,2,3,1,64
"117",669,2,4,2,3,4,4,2,1,4,2,2,4,2,7,1,6,5,3,2,5,1,1,2,1,1,0,0,4,3,3,5,6,6,3,2,2,3,2,3,4,2,3,4,4,5,5,4,3,4,3,3,1,46
"118",1127,2,1,1,3,2,4,5,2,3,1,1,3,1,5,1,2,5,5,1,4,1,2,2,2,2,0,30,2,5,5,4,4,1,3,2,4,5,2,2,3,3,4,3,4,3,4,3,5,5,4,4,1,46
"119",1646,3,3,3,4,3,4,3,1,5,3,3,1,2,3,1,3,4,3,1,1,4,3,4,3,3,0,0,1,3,2,2,3,4,2,1,1,4,2,3,6,3,4,4,4,3,5,5,3,3,3,2,1,48
"120",812,2,3,3,2,3,1,4,4,3,3,4,3,3,4,2,5,3,1,5,3,2,1,1,3,2,0,15,1,6,4,4,1,1,3,2,4,2,4,4,4,4,4,3,3,4,4,3,3,3,3,3,1,55
