"","Concentrated","Petition_1","Petition_2","Petition_3","Petition_4","Petition_5","Petition_6","Petition_7","Petition_8","Age","Gender","Ethnicity_1","Ethnicity_2","Ethnicity_3","Ethnicity_4","Ethnicity_5","Ethnicity_6","Religion","Services","Confidence_religion","Pak","Politics","Morals","Conservative","Education","Income","Q215","Ladder","Ladder_resp","Employed","LostJob","Technical","code"
"16",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,1,NA,1,32,2,1,NA,NA,NA,NA,NA,1,2,-2,1,3,5,4,4,4,1,1,9,1,2,1,1
"18",NA,1,1,NA,NA,1,1,NA,1,29,1,1,NA,NA,NA,NA,NA,1,4,1,1,2,5,4,5,3,1,1,5,1,2,1,1
"19",1,1,1,1,1,1,1,1,1,48,1,1,NA,NA,NA,NA,NA,1,3,3,1,2,4,5,5,4,1,1,6,1,2,1,NA
"20",1,1,1,1,1,1,1,1,1,43,2,1,NA,NA,NA,NA,NA,1,3,2,1,4,5,3,8,5,1,1,2,1,2,1,NA
"21",1,NA,1,NA,1,1,1,1,1,32,1,NA,NA,1,NA,NA,NA,1,1,0,2,4,7,1,5,3,1,1,6,1,1,1,1
"22",1,NA,NA,NA,NA,NA,NA,NA,NA,36,1,1,NA,NA,NA,NA,NA,0,1,-4,1,1,3,3,4,3,1,1,8,1,1,1,NA
"23",1,NA,1,1,1,1,1,1,1,35,1,1,NA,NA,NA,NA,NA,1,1,-2,1,1,4,2,4,1,1,1,9,2,2,1,NA
"24",NA,NA,NA,NA,NA,NA,1,NA,NA,38,2,1,NA,NA,NA,NA,NA,7,1,-4,2,1,4,1,5,5,1,1,3,1,2,1,1
"25",1,1,1,1,1,1,1,1,1,67,1,1,NA,NA,NA,NA,NA,1,4,4,1,2,6,6,2,4,1,1,5,1,2,1,1
"26",NA,1,1,1,NA,1,NA,NA,NA,62,2,1,NA,NA,NA,NA,NA,8,1,4,2,1,5,3,7,2,1,1,8,1,1,1,1
"27",NA,NA,NA,1,NA,1,NA,1,NA,19,1,NA,NA,NA,NA,1,NA,8,1,-3,1,1,7,1,4,4,1,1,6,1,2,2,1
"28",1,NA,1,1,NA,1,1,NA,NA,22,2,1,NA,NA,NA,NA,NA,8,2,-4,1,2,5,3,4,1,1,1,5,1,2,2,1
"29",1,1,1,1,1,1,1,1,1,36,1,1,NA,NA,NA,NA,NA,0,1,-4,2,1,5,2,5,4,1,1,4,1,2,1,1
"30",1,1,NA,NA,NA,NA,NA,NA,NA,51,2,1,NA,NA,1,NA,NA,0,1,-4,1,2,6,6,3,2,1,1,8,1,2,1,1
"31",NA,NA,NA,NA,NA,NA,1,NA,NA,33,2,1,NA,NA,NA,NA,NA,7,1,-4,1,4,4,4,4,2,1,1,6,2,2,2,1
"32",1,1,1,1,1,1,1,1,1,53,2,1,NA,NA,NA,NA,NA,1,1,2,1,3,7,3,6,4,1,1,6,1,2,NA,NA
"33",NA,1,1,1,1,1,NA,1,1,23,2,1,NA,NA,NA,NA,NA,2,3,1,1,1,7,1,4,2,1,1,9,2,1,1,1
"34",NA,1,1,1,NA,NA,1,1,1,32,1,NA,NA,1,NA,NA,NA,1,2,1,1,3,5,3,2,1,1,1,8,1,2,1,1
"35",1,1,1,1,1,1,1,1,1,39,2,1,NA,NA,NA,NA,NA,8,1,0,2,1,5,1,5,3,1,1,6,1,2,1,1
"36",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1,NA,NA,NA,NA,NA,NA,NA,NA,31,1,1,NA,NA,NA,NA,NA,10,1,-4,NA,1,7,1,2,1,1,1,11,1,2,2,1
"38",1,NA,1,1,NA,NA,1,NA,NA,53,2,1,NA,NA,NA,NA,NA,1,2,1,2,1,5,2,4,2,1,1,5,1,2,1,1
"39",NA,1,1,1,NA,1,NA,NA,NA,25,1,NA,NA,NA,NA,1,NA,1,2,0,1,2,4,3,5,5,1,1,11,2,2,1,1
"40",1,1,NA,NA,NA,NA,NA,NA,NA,51,2,1,NA,NA,1,NA,NA,0,1,-4,1,2,6,6,3,2,1,1,8,1,2,1,1
"41",NA,NA,NA,NA,NA,1,NA,1,NA,39,2,NA,NA,1,NA,NA,NA,4,4,3,2,4,5,3,4,4,1,1,8,2,2,1,1
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,1,NA,NA,NA,NA,1,NA,NA,59,2,1,NA,NA,NA,NA,NA,1,1,3,1,2,4,7,2,2,1,1,7,2,1,1,1
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,1,1,1,1,1,1,1,1,34,2,1,NA,NA,NA,NA,NA,1,2,-3,1,1,5,1,2,2,1,1,10,2,2,1,1
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,27,2,1,NA,NA,NA,NA,NA,7,1,-3,1,1,4,1,7,2,1,1,4,1,2,NA,NA
"47",NA,1,1,1,NA,NA,1,NA,1,28,2,1,NA,NA,NA,NA,NA,8,1,-2,1,3,6,2,4,1,1,1,3,1,1,2,1
"48",NA,1,1,1,1,1,1,1,1,20,1,1,NA,NA,NA,NA,NA,8,1,-4,1,6,4,4,4,1,1,1,9,1,2,1,1
"49",NA,1,1,1,NA,1,1,NA,NA,41,1,1,NA,NA,NA,NA,NA,2,5,4,1,3,7,4,5,3,1,1,9,1,1,2,1
"50",NA,NA,NA,NA,NA,NA,NA,NA,1,29,2,1,NA,NA,NA,NA,NA,7,1,-4,1,6,4,4,2,3,1,1,6,2,2,1,1
"51",1,1,1,1,1,1,1,1,1,54,2,1,NA,NA,NA,NA,NA,5,1,-3,2,4,6,3,6,5,1,1,3,2,2,2,NA
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",1,1,1,1,1,1,1,1,1,34,2,NA,NA,1,NA,NA,NA,1,1,1,1,3,5,3,6,5,1,1,7,1,2,1,1
"54",1,1,1,NA,NA,1,NA,1,1,41,1,1,NA,NA,NA,NA,NA,7,3,-2,1,1,5,3,5,4,1,1,5,1,2,1,1
"55",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,1,1,1,NA,1,NA,NA,NA,62,2,1,NA,NA,NA,NA,NA,8,1,4,2,1,5,3,7,2,1,1,8,1,1,1,1
"57",1,NA,NA,NA,1,1,1,1,1,25,2,NA,1,NA,NA,1,NA,8,1,-4,1,1,5,1,5,2,1,1,8,1,2,1,1
"58",NA,1,1,1,NA,NA,1,NA,NA,65,2,NA,NA,NA,NA,NA,1,1,4,4,1,5,6,5,5,2,1,1,8,1,1,NA,NA
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,29,1,1,1,NA,1,1,1,1,1,3,1,3,5,4,4,2,1,1,9,1,2,1,1
"60",1,1,1,1,1,1,1,1,1,26,2,1,NA,NA,NA,NA,NA,1,3,2,1,1,3,3,4,1,1,1,7,1,1,2,1
"61",NA,NA,NA,NA,1,1,NA,NA,1,37,2,1,NA,NA,NA,NA,NA,1,4,0,1,1,6,1,5,2,1,1,9,2,2,1,1
"62",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",1,NA,NA,NA,NA,1,NA,1,1,32,2,1,NA,NA,NA,NA,NA,1,2,4,2,2,4,7,3,1,1,1,6,2,2,1,1
"64",1,NA,1,1,1,1,1,1,1,27,1,1,NA,NA,NA,NA,NA,0,1,-2,2,1,5,2,6,2,1,1,7,2,2,1,1
"65",1,NA,1,1,1,1,1,1,1,22,1,1,NA,NA,NA,NA,NA,1,3,-2,2,3,4,4,5,3,1,1,5,2,2,1,NA
"66",1,NA,1,NA,NA,1,1,NA,NA,28,1,NA,NA,NA,NA,1,NA,1,1,-2,1,1,4,2,4,2,1,1,10,2,1,1,1
"67",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",1,1,1,1,1,1,1,1,1,25,2,1,NA,NA,NA,NA,NA,1,2,1,1,1,5,2,5,4,1,1,6,1,2,1,NA
"69",1,1,1,1,1,1,1,1,1,25,2,1,NA,NA,NA,NA,NA,1,2,1,1,1,5,2,5,4,1,1,6,1,2,1,NA
"70",NA,NA,NA,NA,1,1,NA,NA,1,37,2,1,NA,NA,NA,NA,NA,1,4,0,1,1,6,1,5,2,1,1,9,2,2,1,1
"71",NA,1,1,1,1,1,1,1,1,37,1,NA,1,NA,NA,NA,NA,1,4,4,1,1,4,3,5,3,1,1,4,1,2,1,1
"72",1,NA,NA,NA,NA,1,NA,NA,1,38,2,NA,NA,1,NA,NA,NA,0,5,4,1,3,6,4,2,2,1,1,1,1,1,1,NA
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",1,1,1,1,1,1,1,1,1,23,2,1,NA,NA,NA,1,NA,0,1,-2,1,4,4,3,4,3,1,1,7,1,2,1,NA
"75",1,NA,1,1,NA,NA,NA,NA,NA,36,2,NA,1,NA,NA,NA,NA,10,3,4,1,5,2,5,6,3,1,1,6,1,2,1,1
"76",1,NA,1,NA,1,1,1,1,1,24,2,NA,NA,NA,NA,1,NA,1,4,2,1,4,5,3,5,5,1,1,5,1,2,1,1
"77",1,NA,1,NA,1,1,NA,1,NA,26,1,NA,NA,NA,NA,1,NA,1,1,-4,1,1,4,1,5,2,1,1,9,1,2,1,1
"78",NA,1,NA,NA,1,NA,1,NA,1,30,1,NA,NA,NA,1,1,NA,4,4,3,2,6,6,4,5,4,1,1,7,1,1,2,1
"79",1,1,1,1,1,1,1,1,1,34,2,1,NA,NA,NA,NA,NA,1,2,1,2,5,5,6,5,1,1,1,4,1,2,1,1
"80",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2,NA,NA,NA,NA,1,NA,8,1,-4,2,5,4,5,5,5,1,1,4,1,2,2,1
"82",NA,NA,1,1,NA,1,1,NA,1,38,1,1,NA,NA,NA,NA,NA,4,1,1,2,1,2,2,5,2,1,1,8,1,1,1,NA
"83",1,NA,NA,NA,NA,NA,NA,NA,1,42,1,NA,1,NA,NA,NA,NA,1,3,2,1,2,6,6,5,5,1,1,4,1,2,1,1
"84",NA,1,1,1,1,1,1,1,1,29,2,NA,1,NA,NA,NA,NA,0,1,-4,2,7,3,4,5,4,1,1,5,1,2,1,1
"85",NA,1,1,1,1,1,1,1,1,26,2,1,NA,NA,NA,NA,NA,7,1,2,1,3,1,1,4,3,1,1,6,2,2,1,NA
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,45,2,1,NA,NA,NA,NA,NA,8,1,-4,1,1,7,1,5,4,1,1,6,1,2,1,1
"87",NA,NA,NA,1,1,1,NA,1,1,33,2,1,NA,NA,NA,NA,NA,8,1,1,1,6,5,3,6,3,1,1,5,1,2,2,1
"88",NA,1,1,1,NA,1,NA,NA,NA,59,2,1,NA,NA,NA,NA,NA,1,3,4,1,2,7,6,5,5,1,1,4,2,2,1,1
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,24,2,1,NA,NA,NA,NA,NA,0,1,-1,1,4,6,2,5,2,1,1,8,1,2,2,1
"90",NA,NA,NA,1,NA,NA,1,NA,1,24,1,1,NA,NA,NA,NA,NA,1,3,3,1,5,3,5,4,3,1,1,5,1,2,1,1
"91",1,NA,1,NA,NA,1,1,NA,1,24,2,1,1,NA,NA,NA,NA,1,2,1,2,6,5,4,5,4,1,1,5,2,2,1,1
"92",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",NA,NA,1,1,NA,1,1,NA,1,38,1,1,NA,NA,NA,NA,NA,4,1,1,2,1,2,2,5,2,1,1,8,1,1,1,NA
"94",1,NA,NA,NA,NA,NA,NA,NA,NA,20,1,NA,NA,1,NA,NA,NA,1,4,2,1,1,3,2,2,1,1,1,9,2,2,2,1
"95",1,NA,1,1,NA,1,1,NA,NA,63,2,1,NA,NA,NA,NA,NA,1,4,3,1,2,6,6,5,2,1,1,6,2,1,1,1
"96",NA,NA,NA,NA,NA,NA,NA,NA,NA,23,2,NA,NA,NA,NA,1,NA,1,3,1,1,3,5,4,5,5,1,1,9,1,2,2,1
"97",1,NA,1,1,NA,NA,NA,NA,NA,46,1,1,NA,NA,NA,NA,NA,1,1,3,1,3,1,5,4,3,1,1,5,1,2,1,1
"98",1,1,NA,1,NA,NA,NA,NA,NA,65,1,NA,NA,NA,NA,1,NA,0,1,-3,2,2,7,5,4,2,1,1,9,2,2,1,1
"99",NA,NA,NA,NA,NA,NA,NA,NA,NA,58,1,1,NA,NA,NA,NA,NA,5,2,-1,1,2,7,6,3,5,1,1,5,1,2,1,1
"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",NA,NA,NA,NA,NA,1,NA,1,NA,53,2,1,NA,NA,NA,NA,NA,1,4,4,1,1,4,3,5,4,1,1,5,1,2,1,1
"102",NA,NA,NA,NA,NA,NA,NA,1,1,58,2,1,NA,NA,NA,NA,NA,1,1,3,1,5,7,5,4,2,1,1,8,1,2,1,NA
"103",1,NA,1,1,NA,NA,1,NA,NA,29,1,1,NA,NA,NA,NA,NA,7,1,-3,1,3,4,4,6,2,1,1,9,1,2,1,NA
"104",NA,NA,NA,1,NA,NA,NA,NA,NA,26,1,1,NA,NA,NA,NA,NA,8,1,-4,2,1,5,2,4,3,1,1,6,1,1,2,1
"105",1,1,1,1,1,1,1,1,1,31,2,1,NA,NA,NA,NA,NA,8,1,-4,2,1,6,1,6,4,1,1,3,1,2,2,NA
"106",NA,NA,NA,1,NA,NA,NA,NA,NA,32,1,1,NA,NA,NA,NA,NA,1,1,-3,1,5,6,6,8,3,1,1,3,1,1,2,1
"107",1,1,1,1,1,NA,1,NA,1,36,2,1,NA,NA,NA,NA,NA,7,1,-4,2,5,4,4,5,5,1,1,4,2,2,2,1
"108",NA,NA,NA,NA,NA,NA,NA,NA,NA,29,1,1,1,NA,1,1,1,1,1,3,1,3,5,4,4,2,1,1,9,1,2,1,1
"109",1,NA,1,1,1,1,NA,1,NA,30,1,1,NA,NA,NA,NA,NA,7,1,-4,1,1,7,2,4,2,1,1,9,1,1,1,1
"110",1,NA,1,NA,1,1,NA,1,1,21,1,NA,1,NA,NA,NA,NA,8,1,-4,1,1,7,1,4,1,1,1,11,2,2,2,1
"111",1,1,1,1,NA,1,1,1,1,25,1,1,NA,NA,NA,NA,NA,1,2,-2,2,3,7,3,4,2,1,1,8,1,2,1,1
"112",NA,NA,NA,NA,NA,NA,NA,NA,NA,54,2,1,NA,NA,NA,NA,NA,1,3,2,1,2,3,6,5,2,1,1,6,1,2,1,1
"113",NA,NA,1,NA,NA,NA,NA,NA,NA,27,2,1,NA,NA,NA,NA,NA,1,4,4,1,2,4,7,4,2,1,1,9,2,2,1,1
"114",1,NA,NA,NA,NA,NA,NA,NA,NA,24,1,1,NA,NA,NA,NA,NA,7,1,-4,1,3,4,4,2,2,1,1,7,1,2,1,1
"115",NA,1,1,1,1,1,1,1,1,28,1,1,NA,NA,NA,NA,NA,8,1,-4,1,1,7,1,4,2,1,1,10,1,2,2,1
"116",NA,NA,1,1,1,NA,1,1,NA,51,1,1,NA,NA,NA,NA,NA,0,1,-1,2,1,6,2,6,5,1,1,3,1,2,1,1
"117",1,NA,1,1,NA,NA,1,NA,NA,53,2,1,NA,NA,NA,NA,NA,1,2,1,2,1,5,2,4,2,1,1,5,1,2,1,1
"118",1,NA,1,NA,NA,1,1,NA,NA,28,1,NA,NA,NA,NA,1,NA,1,1,-2,1,1,4,2,4,2,1,1,10,2,1,1,1
"119",1,NA,NA,NA,NA,NA,NA,NA,NA,29,1,1,NA,NA,NA,NA,NA,0,1,-4,2,3,5,4,5,3,1,1,4,1,2,1,NA
"120",1,1,1,1,NA,1,1,1,1,24,2,1,NA,NA,NA,NA,NA,1,4,4,1,2,5,5,4,2,1,1,5,2,2,1,1
"121",NA,NA,NA,1,NA,NA,NA,NA,NA,20,2,NA,NA,1,NA,NA,NA,8,1,-4,1,3,7,5,2,3,1,1,5,1,1,1,1
"122",NA,NA,NA,NA,NA,NA,NA,NA,NA,24,2,NA,NA,NA,1,NA,NA,0,1,-1,1,4,4,3,2,1,1,1,11,2,2,2,NA
"123",NA,NA,NA,NA,NA,NA,NA,NA,NA,45,2,1,NA,NA,NA,NA,NA,8,1,-4,1,1,7,1,5,4,1,1,6,1,2,1,1
"124",1,NA,1,NA,NA,1,1,NA,1,24,2,1,1,NA,NA,NA,NA,1,2,1,2,6,5,4,5,4,1,1,5,2,2,1,1
"125",NA,1,1,NA,NA,NA,NA,NA,NA,31,2,1,NA,NA,NA,NA,NA,1,1,2,1,2,5,6,5,1,1,1,8,2,1,1,1
"126",1,NA,1,1,1,1,1,1,1,22,1,1,NA,NA,NA,NA,NA,1,3,-2,2,3,4,4,5,3,1,1,5,2,2,1,NA
"127",NA,NA,1,1,NA,1,1,1,NA,22,1,1,NA,NA,NA,NA,NA,7,1,-4,1,5,7,5,2,2,1,1,3,2,2,1,1
"128",NA,1,1,1,1,1,1,1,1,28,2,NA,NA,1,NA,NA,NA,1,2,0,2,4,4,4,4,2,1,1,6,1,2,2,1
"129",NA,NA,NA,NA,NA,NA,NA,NA,NA,24,2,1,NA,NA,NA,NA,NA,0,1,-1,1,4,6,2,5,2,1,1,8,1,2,2,1
"130",NA,1,1,1,1,1,1,1,1,42,1,NA,NA,1,NA,NA,NA,1,5,4,2,3,5,4,5,4,1,1,6,1,2,1,1
"131",NA,1,1,1,1,1,1,1,1,48,1,1,NA,NA,NA,NA,NA,4,5,4,1,3,7,7,5,1,1,1,11,1,1,2,1
"132",1,1,1,1,1,1,1,1,1,28,2,1,NA,NA,NA,NA,NA,8,1,-4,1,1,5,6,5,1,1,1,6,1,1,1,NA
"133",NA,NA,1,NA,1,1,1,1,1,21,2,1,NA,NA,NA,NA,NA,8,1,-4,1,1,7,2,5,2,1,1,8,1,2,1,1
"134",NA,NA,NA,NA,1,1,NA,NA,1,37,2,1,NA,NA,NA,NA,NA,1,4,0,1,1,6,1,5,2,1,1,9,2,2,1,1
"135",1,1,1,1,1,1,1,1,1,50,1,NA,NA,NA,NA,1,NA,1,4,3,2,5,5,5,5,3,1,1,6,1,2,1,1
"136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",NA,1,1,1,1,1,1,1,1,30,1,NA,NA,NA,1,1,NA,1,4,0,2,3,4,4,7,4,1,1,8,1,2,2,1
"138",NA,NA,1,NA,NA,NA,NA,NA,NA,27,2,1,NA,NA,NA,NA,NA,1,4,4,1,2,4,7,4,2,1,1,9,2,2,1,1
"139",1,1,1,NA,NA,1,NA,NA,NA,32,1,1,NA,NA,NA,NA,NA,1,4,4,1,5,5,6,3,3,1,1,7,1,2,1,NA
"140",NA,NA,1,1,NA,1,1,1,NA,25,1,1,NA,NA,NA,NA,NA,1,5,4,2,2,4,7,6,4,1,1,1,1,2,1,1
"141",1,NA,1,1,1,1,NA,1,1,25,1,NA,NA,NA,NA,1,NA,1,1,-2,1,5,4,6,5,2,1,1,8,1,2,1,1
"142",NA,NA,NA,NA,NA,1,NA,1,1,33,2,NA,NA,NA,NA,NA,1,0,1,-4,1,1,7,1,5,4,1,1,6,1,2,1,1
"143",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",NA,NA,NA,NA,NA,NA,NA,NA,NA,30,2,1,NA,NA,NA,NA,NA,1,5,4,1,2,7,7,2,2,1,1,10,2,2,1,1
"145",1,NA,1,1,NA,NA,NA,NA,NA,28,2,1,NA,NA,NA,NA,NA,1,1,-1,2,3,6,4,4,3,1,1,8,2,1,1,1
"146",NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1,1,NA,NA,NA,NA,NA,8,1,-4,1,2,4,7,2,3,1,1,5,2,2,1,NA
"147",1,NA,1,NA,NA,NA,1,NA,NA,38,1,1,NA,NA,NA,NA,NA,7,1,-4,1,2,5,5,5,3,1,1,8,1,2,2,1
"148",1,1,1,1,1,1,1,1,1,43,2,1,NA,NA,NA,NA,NA,1,3,2,1,4,5,3,8,5,1,1,2,1,2,1,NA
"149",1,1,NA,NA,NA,NA,NA,NA,NA,19,1,NA,NA,1,NA,NA,NA,1,1,-3,2,1,3,4,2,3,1,1,4,2,2,2,NA
"150",NA,1,1,1,1,1,1,1,1,44,2,1,NA,NA,NA,NA,NA,7,2,-2,2,1,6,1,6,3,1,1,5,1,2,1,1
"151",NA,1,1,1,1,1,1,1,1,24,2,NA,NA,NA,NA,1,NA,1,2,1,1,3,4,4,5,4,1,1,4,1,2,1,1
"152",NA,NA,NA,NA,NA,NA,NA,NA,NA,39,1,1,NA,NA,NA,NA,NA,7,1,-4,1,3,6,4,2,2,1,1,10,1,1,1,1
"153",1,NA,NA,NA,NA,1,NA,NA,NA,24,2,NA,NA,NA,NA,1,NA,2,1,-4,2,1,7,1,5,5,1,1,6,1,2,1,1
"154",NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1,1,NA,NA,NA,NA,NA,1,4,-2,1,2,7,7,6,4,1,1,6,1,2,2,1
"155",NA,1,1,NA,NA,1,1,NA,NA,32,1,1,NA,NA,NA,NA,NA,1,2,1,1,6,4,3,4,1,1,1,9,2,1,1,1
"156",1,1,1,NA,1,1,1,1,1,27,1,1,NA,NA,NA,NA,NA,0,1,-4,2,7,1,1,4,2,1,1,10,1,2,1,1
"157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",1,NA,1,1,1,1,1,1,1,28,1,1,NA,NA,NA,NA,NA,2,5,-4,2,1,6,2,5,3,1,1,6,1,1,2,1
"159",1,NA,1,1,1,1,1,1,1,26,2,1,NA,NA,NA,NA,NA,7,1,-4,1,4,6,2,5,2,1,1,6,1,2,2,1
"160",NA,NA,NA,1,NA,NA,NA,NA,NA,21,1,1,NA,NA,NA,NA,NA,1,1,-3,1,5,3,5,4,3,1,1,6,1,2,2,NA
"161",1,1,1,1,1,1,1,1,1,55,2,1,NA,NA,NA,NA,NA,1,2,2,1,3,4,5,4,5,1,1,4,1,2,1,1
"162",NA,NA,NA,NA,NA,1,NA,1,NA,39,2,NA,NA,1,NA,NA,NA,4,4,3,2,4,5,3,4,4,1,1,8,2,2,1,1
"163",NA,1,1,1,1,1,1,1,1,36,1,1,NA,NA,NA,NA,NA,1,4,2,2,1,4,5,6,4,1,1,5,1,2,1,1
"164",1,NA,1,1,NA,NA,1,NA,1,27,1,1,NA,NA,NA,NA,NA,1,4,4,1,1,5,4,4,2,1,1,8,2,1,1,1
"165",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",NA,NA,NA,1,NA,NA,NA,NA,NA,39,1,1,NA,NA,1,NA,NA,8,1,1,1,3,6,5,4,2,1,1,5,1,2,1,1
"167",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
